"","","EM Fittings","","From","2/1/2012","","","",""
"","","Master","","To","5/1/2014","","","",""
"SL.","","","","Stock","Total","Total","Total","Total","Total"
"No.","Code","Description","MRP","Opening","Purchase","Sales","Stock","Order","Pending"
"1","a","aa","","0","500","220","280","20","-480"
"2","b","bb","","0","0","150","-150","10","10"
"3","c","cc","","0","4140","1243","2897","50","-4090"
"4","d","dd","","0","220","20","200","30","-190"
"5","e","ee","","0","500","0","500","0","-500"
"6","f","ff","","0","400","20","380","40","-360"
"7","g","gg","","0","100","0","100","0","-100"
"8","h","hh","","0","0","0","0","0","0"
"9","i","ii","","0","0","0","0","0","0"
"10","j","jj","","0","0","0","0","0","0"
"11","k","kk","","0","0","0","0","0","0"
"","","","","","","","","",""
