"TABLE 3. Number of hours worked and percent relative standard errors by detailed industry, 2020 [thousands]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","","",""
"Industry1                                                                                                              ","NAICS Code2                                                                                                            ","Total hours worked","Percent relative standard errors"
"All Ownerships Combined4","","224058021.9","000.2"
"Private Industry4","","194896195.3","000.2"
"Goods producing4","","40987381.5","000.3"
" Natural resources and mining4,5","","3269541.5","001.1"
"  Agriculture, forestry, fishing and hunting4","11","1987088.1","001.3"
"   Crop production4","111","788131.7","001.9"
"    Oilseed and grain farming4","1111","35953.8","007.0"
"    Vegetable and melon farming4","1112","144037.3","004.8"
"    Fruit and tree nut farming4","1113","261373.3","003.4"
"    Greenhouse, nursery, and floriculture production4","1114","268792.9","003.1"
"    Other crop farming4","1119","77974.5","007.2"
"   Animal production and aquaculture4","112","440496.8","002.3"
"    Cattle ranching and farming4","1121","272481.2","003.2"
"     Beef cattle ranching and farming, including feedlots4","11211","60542.0","006.8"
"     Dairy cattle and milk production4","11212","211939.2","003.6"
"    Hog and pig farming4","1122","50001.3","005.5"
"    Poultry and egg production4","1123","85188.4","004.5"
"    Other animal production4","1129","21989.0","012.2"
"   Forestry and logging","113","104257.2","005.1"
"    Forest nurseries and gathering of forest products","1132","4211.3","014.3"
"    Logging","1133","94124.2","005.5"
"   Fishing, hunting and trapping","114","-","-"
"    Fishing","1141","12875.9","017.9"
"   Support activities for agriculture and forestry","115","638311.1","002.8"
"    Support activities for crop production","1151","550746.4","003.1"
"     Support activities for crop production","11511","550746.4","003.1"
"      Soil preparation, planting, and cultivating","115112","44607.9","008.6"
"      Postharvest crop activities (except cotton ginning)","115114","169096.6","004.3"
"      Farm labor contractors and crew leaders","115115","263670.1","005.2"
"    Support activities for animal production","1152","54797.8","007.5"
"    Support activities for forestry","1153","32766.9","010.4"
"  Mining, quarrying, and oil and gas extraction6","21","1282453.4","001.7"
"   Oil and gas extraction","211","251141.2","004.1"
"    Oil and gas extraction","2111","251141.2","004.1"
"     Crude petroleum extraction3","21112","178780.5","005.4"
"     Natural gas extraction3","21113","72360.7","004.8"
"   Mining (except oil and gas)5,7","212","376935.1","    -   "
"    Coal mining5,7","2121","89553.8","    -   "
"     Coal mining5,7","21211","89553.8","    -   "
"      Bituminous coal and lignite surface mining5,7","212111","37574.5","    -   "
"      Bituminous coal underground mining5,7","212112","50121.1","    -   "
"      Anthracite mining5,7","212113","1858.2","    -   "
"    Metal ore mining5,7","2122","78312.2","    -   "
"     Iron ore mining5,7","21221","9190.9","    -   "
"     Gold ore and silver ore mining5,7","21222","32356.3","    -   "
"      Gold ore mining5,7","212221","29649.7","    -   "
"      Silver ore mining5,7","212222","2706.6","    -   "
"     Copper, nickel, lead, and zinc mining5,7","21223","30593.5","    -   "
"     Other metal ore mining5,7","21229","6171.4","    -   "
"      Uranium-radium-vanadium ore mining5,7","212291","224.4","    -   "
"      All other metal ore mining5,7","212299","5947.0","    -   "
"    Nonmetallic mineral mining and quarrying5,7","2123","209069.2","    -   "
"     Stone mining and quarrying5,7","21231","102843.1","    -   "
"      Dimension stone mining and quarrying5,7","212311","11792.5","    -   "
"      Crushed and broken limestone mining and quarrying5,7","212312","56979.7","    -   "
"      Crushed and broken granite mining and quarrying5,7","212313","13316.0","    -   "
"      Other crushed and broken stone mining and quarrying5,7","212319","20754.9","    -   "
"     Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying5,7","21232","81218.8","    -   "
"      Construction sand and gravel mining5,7","212321","69282.2","    -   "
"      Kaolin and ball clay mining5,7","212324","8477.5","    -   "
"      Clay and ceramic and refractory minerals mining5,7","212325","3459.1","    -   "
"     Other nonmetallic mineral mining and quarrying5,7","21239","25007.3","    -   "
"      Potash, soda, and borate mineral mining5,7","212391","7728.6","    -   "
"      Phosphate rock mining5,7","212392","4438.8","    -   "
"      Other chemical and fertilizer mineral mining5,7","212393","6735.0","    -   "
"      All other nonmetallic mineral mining5,7","212399","6104.8","    -   "
"   Support activities for mining","213","654377.1","003.0"
"    Support activities for mining","2131","654377.1","003.0"
"     Support activities for mining","21311","654377.1","003.0"
"      Support activities for oil and gas operations","213112","527713.0","003.4"
" Construction","","13720307.5","000.5"
"  Construction","23","13720307.5","000.5"
"   Construction of buildings","236","2990226.5","001.3"
"    Residential building construction","2361","1421351.8","002.0"
"    Nonresidential building construction","2362","1568874.7","001.6"
"   Heavy and civil engineering construction","237","2168563.8","001.3"
"    Utility system construction","2371","1166581.3","001.9"
"     Water and sewer line and related structures construction","23711","380762.6","003.0"
"     Oil and gas pipeline and related structures construction","23712","355286.6","004.0"
"     Power and communication line and related structures construction","23713","430532.1","003.1"
"    Land subdivision","2372","69238.3","006.4"
"    Highway, street, and bridge construction","2373","700930.2","001.9"
"    Other heavy and civil engineering construction","2379","231814.0","004.4"
"   Specialty trade contractors","238","8561517.2","000.7"
"    Foundation, structure, and building exterior contractors","2381","1648137.9","001.5"
"     Poured concrete foundation and structure contractors","23811","440138.3","002.8"
"     Structural steel and precast concrete contractors","23812","163858.9","004.8"
"     Framing contractors","23813","140452.5","005.2"
"     Masonry contractors","23814","246732.0","003.8"
"     Glass and glazing contractors","23815","129184.8","004.9"
"     Roofing contractors","23816","369017.3","002.9"
"     Siding contractors","23817","67334.4","008.5"
"     Other foundation, structure, and building exterior contractors","23819","91419.6","008.0"
"    Building equipment contractors","2382","4190916.0","001.0"
"     Electrical contractors and other wiring installation contractors","23821","1816713.1","001.5"
"     Plumbing, heating, and air-conditioning contractors","23822","2095186.2","001.3"
"     Other building equipment contractors","23829","279016.8","003.3"
"    Building finishing contractors","2383","1425301.5","001.8"
"     Drywall and insulation contractors","23831","468361.1","002.6"
"     Painting and wall covering contractors","23832","336942.9","004.0"
"     Flooring contractors","23833","131328.3","006.7"
"     Tile and terrazzo contractors","23834","97369.9","006.7"
"     Finish carpentry contractors","23835","251561.1","004.4"
"     Other building finishing contractors","23839","139738.1","005.4"
"    Other specialty trade contractors","2389","1297161.8","001.8"
"     Site preparation contractors","23891","688222.8","002.4"
"     All other specialty trade contractors","23899","608939.0","002.8"
" Manufacturing","","23997532.5","000.5"
"  Manufacturing","31-33","23997532.5","000.5"
"   Food manufacturing","311","3211424.1","000.7"
"    Animal food manufacturing","3111","132883.0","003.3"
"     Animal food manufacturing","31111","132883.0","003.3"
"      Dog and cat food manufacturing","311111","61296.0","004.3"
