"Waterfront Leisure Complex","","","","",""
"","","","","",""
"Ice Booking Sheet  16 / 17","","","","",""
"","","","","",""
"","","","","",""
"Sheet","Monday","Tuesday","Wednesday","Thursday","Sunday"
"","03.10.16","04.10.16","05.10.16","06.10.16",""
"","10.00am","10.00am","10.00am","10.00am","11.00am"
"A","","7","","",""
"B","","5","","5",""
"C","","7","","5",""
"D","","5","","",""
"","","","","",""
"","1.30pm","12.15pm","12.15pm","12.15pm","1.15pm"
"A","3","","","1",""
"B","1","","","1",""
"C","1","","","1",""
"D","4","","","3",""
"","","","","",""
"","2.00pm","2.30pm","2.30pm","4.00pm","3.30pm"
"A","","","2","1",""
"B","","","1","3",""
"C","","","1","4",""
"D","","","1","1",""
"","","","","",""
"","5.40pm","5.40pm","5.40pm","5.40pm","5.45pm"
"A","14","2","1","2",""
"B","2","3","2","1",""
"C","1","3","1","2",""
"D","2","2","2","1",""
"","","","","",""
"","8.00pm","8.00pm","8.00pm","8.00pm",""
"A","7","7","15","",""
"B","4","8","4","",""
"C","7","7","8","",""
"D","4","","4","",""
"","","","","",""
"Comments","","","","",""
"","","week5","2016/10/03-2016/10/09","",""
"","","","","",""
"","","","","",""
