"HOUSEHOLD DATA
ANNUAL AVERAGES 
20. Persons at work 1 to 34 hours in all and in nonagricultural industries by reason for working less than 35 hours and usual full- or part-time status","","","","","",""
"[Numbers in thousands]","","","","","",""
"","","","","","",""
"Reason for working less than 35 hours","2023","","","","",""
"","All industries","","","Nonagricultural industries","",""
"","Total","Usually
work
full time","Usually
work
part time","Total","Usually
work
full time","Usually
work
part time"
"","","","","","",""
"Total, at work 1 to 34 hours","34869","10377","24492","34282","10220","24062"
"","","","","","",""
"Economic reasons","4069","1431","2638","3996","1388","2609"
"Slack work or business conditions","2812","1195","1617","2765","1165","1600"
"Could only find part-time work","939","–","939","931","–","931"
"Seasonal work","207","126","81","191","113","77"
"Job started or ended during week","110","110","–","109","109","–"
"","","","","","",""
"Noneconomic reasons","30800","8945","21855","30286","8832","21453"
"Child-care problems","1230","92","1139","1217","90","1127"
"Other family or personal obligations","4792","663","4129","4706","653","4053"
"Health or medical limitations","1159","–","1159","1143","–","1143"
"In school or training","6029","71","5959","5975","70","5905"
"Retired or Social Security limit on earnings","2886","–","2886","2761","–","2761"
"Vacation or personal day","4231","4231","–","4193","4193","–"
"Holiday, legal or religious","978","978","–","974","974","–"
"Weather-related curtailment","258","258","–","232","232","–"
"All other reasons","9236","2653","6583","9084","2619","6465"
"","","","","","",""
"Average hours, economic reasons","23.1","23.6","22.8","23.1","23.6","22.8"
"Average hours, noneconomic reasons","21.3","24.7","19.9","21.3","24.7","20"
"","","","","","",""
"NOTE:  Full time is 35 hours or more per week; part time is less than 35 hours. Updated population controls are introduced annually with the release of January data. Dash indicates no data or data that do not meet publication criteria (value not shown where base is less than 35,000).","","","","","",""
