"HOUSEHOLD DATA
ANNUAL AVERAGES
10. Employed persons by occupation, race, Hispanic or Latino ethnicity, and sex","","","","","",""
"[Percent distribution]","","","","","",""
"","","","","","",""
"Occupation, race, and Hispanic or Latino ethnicity","Total","","Men","","Women",""
"","2022","2023","2022","2023","2022","2023"
"","","","","","",""
"TOTAL","","","","","",""
"Total, 16 years and over (in thousands)","158291","161037","84203","85500","74089","75537"
"Percent of total employed","100","100","100","100","100","100"
"Management, professional, and related occupations","43","43.6","39.2","39.6","47.4","48.2"
"Management, business, and financial operations occupations","18.5","19","19.2","19.4","17.8","18.5"
"Professional and related occupations","24.5","24.7","20","20.2","29.6","29.7"
"Service occupations","16.1","16.3","13","13.1","19.6","19.8"
"Sales and office occupations","19.2","18.8","14","14","25.2","24.3"
"Sales and related occupations","9","8.9","8.6","8.6","9.6","9.2"
"Office and administrative support occupations","10.2","9.9","5.4","5.4","15.6","15"
"Natural resources, construction, and maintenance occupations","9","8.9","16","15.8","1.1","1.1"
"Farming, fishing, and forestry occupations","0.6","0.6","0.9","0.8","0.3","0.4"
"Construction and extraction occupations","5.3","5.3","9.6","9.5","0.5","0.5"
"Installation, maintenance, and repair occupations","3.1","3","5.5","5.5","0.3","0.3"
"Production, transportation, and material moving occupations","12.7","12.4","17.9","17.5","6.8","6.6"
"Production occupations","5.2","5.1","6.9","6.8","3.3","3.3"
"Transportation and material moving occupations","7.5","7.3","11","10.8","3.5","3.3"
"","","","","","",""
"White","","","","","",""
"Total, 16 years and over (in thousands)","121908","123165","65924","66524","55984","56642"
"Percent of total employed","100","100","100","100","100","100"
"Management, professional, and related occupations","43.4","43.9","39.4","39.7","48.1","48.8"
"Management, business, and financial operations occupations","19.4","19.8","20.2","20.4","18.3","19"
"Professional and related occupations","24.1","24.1","19.2","19.2","29.8","29.9"
"Service occupations","15.1","15.2","12.1","12.2","18.6","18.8"
"Sales and office occupations","19.4","19","13.9","14","25.8","24.9"
"Sales and related occupations","9.3","9.2","8.9","8.9","9.8","9.5"
"Office and administrative support occupations","10","9.8","5","5.1","16","15.4"
"Natural resources, construction, and maintenance occupations","10.1","10","17.7","17.5","1.2","1.2"
"Farming, fishing, and forestry occupations","0.7","0.7","1","1","0.4","0.4"
"Construction and extraction occupations","6","6","10.7","10.6","0.5","0.5"
"Installation, maintenance, and repair occupations","3.4","3.3","6.1","5.9","0.3","0.3"
"Production, transportation, and material moving occupations","12","11.9","16.8","16.6","6.3","6.3"
"Production occupations","5.1","5.1","6.8","6.8","3","3.1"
"Transportation and material moving occupations","6.9","6.8","10","9.8","3.2","3.2"
"","","","","","",""
"Black or African American","","","","","",""
"Total, 16 years and over (in thousands)","19937","20674","9617","9943","10319","10731"
"Percent of total employed","100","100","100","100","100","100"
"Management, professional, and related occupations","35","36.1","29.4","29.9","40.2","41.8"
"Management, business, and financial operations occupations","13.8","14.4","13.4","13.4","14.2","15.4"
"Professional and related occupations","21.1","21.6","16","16.5","26","26.4"
"Service occupations","21.4","21.5","18.3","18.4","24.4","24.4"
"Sales and office occupations","20","19.8","14.4","14.5","25.2","24.6"
"Sales and related occupations","7.9","8.1","6.9","7.5","8.8","8.7"
"Office and administrative support occupations","12.1","11.7","7.5","7","16.5","16"
"Natural resources, construction, and maintenance occupations","5.3","5.4","10.2","10.4","0.7","0.7"
"Farming, fishing, and forestry occupations","0.2","0.2","0.4","0.4","0.1","0.1"
"Construction and extraction occupations","3","2.9","5.9","5.7","0.3","0.3"
"Installation, maintenance, and repair occupations","2.1","2.2","3.9","4.3","0.3","0.3"
"Production, transportation, and material moving occupations","18.3","17.3","27.7","26.7","9.5","8.5"
"Production occupations","6.2","5.9","8.4","7.8","4.2","4.1"
"Transportation and material moving occupations","12.1","11.4","19.3","18.9","5.3","4.4"
"","","","","","",""
"Asian","","","","","",""
"Total, 16 years and over (in thousands)","10615","11096","5610","5852","5006","5243"
"Percent of total employed","100","100","100","100","100","100"
"Management, professional, and related occupations","58","59.2","59","60.1","56.9","58.2"
"Management, business, and financial operations occupations","20.2","20.7","20.8","20.6","19.6","20.9"
"Professional and related occupations","37.7","38.4","38.2","39.5","37.3","37.2"
"Service occupations","14.6","14.8","10.9","11","18.8","19"
"Sales and office occupations","15.4","15","13.7","13.3","17.4","16.9"
"Sales and related occupations","7.7","7.8","7.7","8","7.7","7.7"
