"Year","50 or less","51 to 100","101 to 150","151 to 200","Over 200","201 to 250","Over 250","Unknown","All dwellings","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2005","365,760","1,546,550","818,770","165,120","[no data]","48,510","30,710","21,070","2,996,480","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2006","411,120","1,753,600","926,110","186,200","[no data]","54,720","35,100","22,800","3,389,650","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2007","417,840","1,752,410","926,460","186,350","[no data]","54,690","35,040","22,740","3,395,530","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2008","422,810","1,753,660","926,990","186,820","[no data]","54,980","35,360","22,780","3,403,390","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2009","425,230","1,765,110","933,440","188,200","[no data]","55,340","35,600","22,880","3,425,800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2010","429,880","1,781,320","941,830","189,960","98,250","55,920","35,940","23,180","3,458,030","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2011","458,410","1,795,740","967,100","198,240","98,630","[no data]","[no data]","10,660","3,528,760","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2012","452,740","1,780,930","960,010","196,470","97,540","[no data]","[no data]","10,460","3,498,160","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2013","527,730","2,062,940","1,091,450","215,290","100,750","[no data]","[no data]","[no data]","3,998,160","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2014","458,400","2,009,860","1,066,300","206,090","95,370","[no data]","[no data]","10,160","3,846,180","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015","454,750","1,930,210","1,042,740","205,360","91,310","[no data]","[no data]","[no data]","3,724,360","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016","496,290","2,023,130","1,114,720","230,600","111,760","[no data]","[no data]","134,800","4,111,300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017","3,086,770","10,993,150","6,126,530","1,333,200","690,770","[no data]","[no data]","[no data]","22,230,420","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018","3,131,630","11,071,150","6,184,220","1,351,670","700,300","[no data]","[no data]","[no data]","22,438,970","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2019","3,131,890","11,047,240","6,189,820","1,358,080","701,120","[no data]","[no data]","[no data]","22,428,150","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020","3,199,240","11,151,190","6,297,530","1,405,820","733,260","[no data]","[no data]","[no data]","22,787,050","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","3,233,170","11,265,290","6,374,080","1,423,870","742,680","[no data]","[no data]","[no data]","23,039,090","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022","3,296,600","11,275,540","6,433,850","1,459,200","764,140","[no data]","[no data]","[no data]","23,229,330","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
