"Financial Aid Individual Knowledge and Skills Inventory","",""
"Technical Skills","Score","Total"
"Microsoft Access","2","21"
"Microsoft Outlook","3",""
"Microsoft Excel","3",""
"Microsoft Word","3",""
"Microsoft PowerPoint","2",""
"ARGOS","2",""
"SQL","1",""
"Programming (any language)","1",""
"Graphic design","2",""
"Application development","0",""
"Typing","2",""
"","",""
"FA Specific Skills and Knowledge","Score","Total"
"Multi-tasking (able to do more than one task effectively simultaneously)","3","39"
"Banner navigation (Banner page memorization and swift, logical navigation)","2",""
"Scholarships (Typical LU scholarships and their amounts, GSR, supplimental grants etc.)","2",""
"Federal Direct Loans (Subsidized and Unsubsidized Loans, EC/MPN, COD, Processing)","3",""
"Federal Plus Loans (Graduate and Parent Plus Loans, processing)","3",""
"Private Loans (Sallie Mae, Wells Fargo, Discover, Processing etc.)","2",""
"Loan Issues (defaults, aggs, overlaps, Processing etc.)","2",""
"Federal Grants (Pell grant, FSEOG, TEACH, Processing)","3",""
"State Grants (VTAG)","3",""
"Grant issues (PLEU, Overpayment, signatory requirements, etc.)","2",""
"SAP (Effect on aid and DCP, appeal process, status', etc. )","3",""
"Withdraws (Effect on aid, DCP, completion rate, R2T4 Calculations etc.)","2",""
"External Aid (External aid process and common issues)","1",""
"Verification (different types, timeframes, documentation types, etc.)","3",""
"Compliance (overawards and other COA and budget issues, Processing)","2",""
"FAFSA (how to fill it out, rejects such as SSS, SSA, etc. Transactions and matching)","3",""
"","",""
"Communication Skills","Score","Total"
"Editing","1","21"
"Conflict Management","6",""
"Negotiating","5",""
"Interviewing","4",""
"Writing","2",""
"Listening","3",""
"","",""
"Coordinating Skills","Score","Total"
"Cataloging","1","21"
"Following up","5",""
"Time Management","6",""
"Scheduling","2",""
"Correcting","4",""
"Reporting","3",""
