"","GREAT BRITAIN","Failure to attend mandatory interview","Failure to participate in Work Related Activity ","Total"
"Level","Outcome","","",""
"Appealed Decision","Non-adverse","43","41","81"
"","Adverse","35","34","66"
"","Cancelled"," -"," -"," -"
"","Total","77","73","148"
"Reconsidered Decision","Non-adverse","573","4,377","4,951"
"","Adverse","356","2,764","3,127"
"","Cancelled","6","85","90"
"","Total","937","7,230","8,165"
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"Cells in this table have been randomly adjusted to avoid the release of confidential data.  Due to adjustments totals may not be the sum of the individual cells.","","","",""
"""-"" dernotes a nil or negligible value","","","",""
"A non-adverse decision is a decision found in favour of the claimant, i.e. a sanction or disallowance is not applied.","","","",""
"An adverse decision is a decision found against the claimant, i.e. a sanction or disallowance is applied.","","","",""
"A cancelled decision can occur in specific circumstances e.g. the claimant stops claiming before they actually committed the sanctionable failure. ","","","",""
