"Parameter","","E-M1","E-M10","E-M1X","E-M5","Fake"
"Body","","","","","",""
"Type","","SLR Mirrorless","Mirrorless","SLR Mirrorless","SLR Mirrorless","SLR Mirrorless"
"Material","","Magnesium","Composite","Magnesium","Magnesium","Magnesium"
"Sensor","","","","","",""
"Max Resolution","","4,608 x 3,456","4,608 x 3,456","5,184 x 3,888","4,608 x 3,456","4,608 x 3,456"
"Image Ratio","","16:09","16:09","4:03","16:09","16:09"
"Effective Pixels","","16 MP","16 MP","20 MP","16 MP","16 MP"
"Sensor Size","","CMOS","CMOS","CMOS","CMOS","CMOS"
"Image ","","","","","",""
"ISO","","100 - 25,600","100 - 25,600","200 - 25,600","200 - 25,600","200 - 25,600"
"Boosted","Minimum","100","100","64","-","-"
"","Maximum","-","-","-","-","-"
"","WB Presets","7","7","7","12","12"
"","Image Stabilization","Yes","Yes","Yes","Yes","Yes"
"Optics & Focus","","","","","",""
"Autofocus","","Contrast","Contrast","Contrast","Contrast","Contrast"
"Digital Zoom","","Yes","-","-","No","No"
"Manual Focus","","Yes","Yes","Yes","Yes","Yes"
"Number of Focus Point","","81","81","121","35","35"
"Screen","","","","","",""
"Size","","3""","3""","3""","3""","3"""
"Dots","","1.037k","1.037k","1.037k","1.037k","1.037k"
"Touch Screen","","No","Yes","Yes","Yes","Yes"
"Viewfinder Type","","Electronic","Electronic","Electronic","Electronic","Electronic"
