"","","","Lives Lost Due to Disruption in Coverage of Essential Services","","","","","",""
"HIDDEN","","","","","","","","",""
"Selected","Int#","LiST#","","","Newborn Lives Lost","Child Lives Lost","Maternal Lives Lost","Total Lives Lost",""
"x","0","0","Family Planning","Contraceptive Use","(""#,##0"")","(""#,##0"")","(""#,##0"")","(""#,##0"")","Includes Impacts of Maternal age and birth order and Birth Intervals"
"x","9","14","Antenatal Care","Antenatal care (at least 1 visit)","-""""-","-""""-","-""""-","-""""-",""
"x","10","15","","Antenatal care (at least 4 visits)","-""""-","-""""-","-""""-","-""""-",""
"x","11","16","","TT - Tetanus toxoid vaccination","(""#,##0"")","(""#,##0"")","(""#,##0"")","(""#,##0"")",""
"","12","17","","IPTp - Intermittent preventive treatment of malaria during pregnancy","-""""-","-""""-","-""""-","-""""-",""
"","13","18","","Syphilis detection and treatment","-""""-","-""""-","-""""-","-""""-",""
"","14","19","","Calcium supplementation","-""""-","-""""-","-""""-","-""""-",""
"x","15","20","","Iron supplementation in pregnancy","-""""-","-""""-","-""""-","-""""-","Combined, allocated 100% to micronutrient"
"","16","21","","Multiple micronutrient supplementation in pregnancy","-""""-","-""""-","(""#,##0"")","(""#,##0"")",""
"","17","22","","Balanced energy supplementation","-""""-","-""""-","-""""-","-""""-",""
"","18","23","","Hypertensive disorder case management","-""""-","-""""-","(""#,##0"")","(""#,##0"")",""
"","19","24","","Diabetes case management","-""""-","-""""-","-""""-","-""""-",""
"x","20","25","","Malaria case management","-""""-","-""""-","-""""-","-""""-",""
"x","21","26","","MgSO4 management of pre-eclampsia","-""""-","-""""-","-""""-","-""""-",""
"x","22","27","Delivery Care","Health Facility Delivery","-""""-","-""""-","-""""-","-""""-",""
"x","23","28","","Clean birth environment","(""#,##0"")","(""#,##0"")","(""#,##0"")","(""#,##0"")",""
"x","24","32","","Manual removal of placenta","-""""-","-""""-","(""#,##0"")","(""#,##0"")",""
"x","25","33","","Parenteral administration of anti-convulsants","-""""-","-""""-","(""#,##0"")","(""#,##0"")",""
"x","26","34","","Antibiotics for preterm or prolonged PROM","(""#,##0"")","(""#,##0"")","(""#,##0"")","(""#,##0"")",""
"","27","35","","Parenteral administration of antibiotics","-""""-","-""""-","-""""-","-""""-",""
"x","28","36","","Assisted vaginal delivery","(""#,##0"")","(""#,##0"")","(""#,##0"")","(""#,##0"")",""
"x","29","38","","Parenteral administration of uterotonics","-""""-","-""""-","(""#,##0"")","(""#,##0"")",""
"x","30","39","","Removal of retained products of conception","-""""-","-""""-","(""#,##0"")","(""#,##0"")",""
"x","31","40","","Induction of labor for pregnancies lasting 41+ weeks","-""""-","-""""-","-""""-","-""""-",""
"x","32","41","","Antenatal corticosteroids for preterm labor","-""""-","-""""-","-""""-","-""""-",""
"x","33","65","","Maternal sepsis case management","-""""-","-""""-","-""""-","-""""-",""
