"DAILY TRACKER","","","","","NUTRITION","","","","","ACTIVITY","","","","","WEIGHT"
"DATE","TIME","ACTION","ACTIVITY","DESCRIPTION","SERVING","KCAL","FAT (g)","CARB (g)","PROT (g)","MIN","MILES","LBS","REPS","SETS","LBS"
"Thu, Feb 02","MORNING","FOOD","FRUITS","Fruit Salad","2 cups","75","2","15","4","","","","","",""
"","MORNING","DRINK","COFFEE","2 Creamers","20 oz","90","4","2","2","","","","","",""
"","AFTERNOON","FOOD","GRAINS","Sub Roll","1","400","5","20","5","","","","","",""
"","AFTERNOON","FOOD","MEATS & POULTRY","Roast Beef","6 oz","10","4","2","16","","","400","111","",""
"","EVENING","FOOD","OILS & FATS","Mayonnaise","1 tbsp","60","500","4","1","","","","","",""
"","EVENING","DRINK","BEER","2 Lagers","24 oz","20","0","36","2","","","","","",""
"","EVENING","ACTIVITY","WEIGHTLIFTING","Bicep Curls","","","","","","","","45","10","3",""
"","EVENING","WEIGH-IN","","","","","","","","","","","","","220"
"","","DAILY TOTALS","","","","655","515","79","30","0","0","445","121","3","220"
"Fri, Feb 03","MORNING","ACTIVITY","RUNNING","Morning run in park","","","","","","30","300","","","",""
"","MORNING","FOOD","EGGS","2 Scrambled","2","120","4","2","16","","","","","",""
"","MORNING","FOOD","GRAINS","Wheat Toast","1 slice","5000","2","24","6","","","","","",""
"","MORNING","DRINK","COFFEE","2 Creamers","20 oz","90","4","2","2","","","","","",""
"","AFTERNOON","FOOD","VEGETABLES","Garden Salad","2 cups","45","0","100","8","","","","","",""
"","AFTERNOON","FOOD","OILS & FATS","Ranch Dressing","1 tbsp","80","5","4","1","","","","","",""
"","AFTERNOON","DRINK","WATER","","20 oz","0","0","0","0","","","","","",""
"","AFTERNOON","ACTIVITY","WALKING","Walk around the block","","","","","","30","1","","","",""
"","EVENING","FOOD","FISH & SEAFOOD","Salmon","6 oz","110","2","4","24","","","","","",""
"","EVENING","FOOD","GRAINS","Hamburger Bun","1","125","2","28","4","","","","","",""
"","EVENING","FOOD","VEGETABLES","Lettuce & Tomato","2 oz","15","0","2","1","","","","200","",""
"","EVENING","DRINK","WINE","a nice Cabernet","8 oz","125","0","0","0","","","","","",""
"","EVENING","ACTIVITY","PUSH-UPS","Buzzed Push-ups","","","","","","","","","10","3",""
"","EVENING","WEIGH-IN","","","","","","","","","","","","","219"
"","","DAILY TOTALS","","","","5710","19","166","62","60","301","0","210","3","219"
"Sat, Feb 04","MORNING","ACTIVITY","RUNNING","Springfield Marathon","","","","","","160","26.2","","","",""
"","MORNING","FOOD","SUGARS & EXTRAS","1 Bacon Ranch Pizza","8","40","240","200","45","","","","","",""
"","MORNING","DRINK","BEER","1 Case of beer","24","20","0","450","24","","","","","",""
"","AFTERNOON","FOOD","VEGETABLES","1 Jar of Olives","10","10","30","50","4","","","","","",""
"","AFTERNOON","ACTIVITY","YOGA","Bikram Yoga","","","","","","60","","","","",""
"","","DAILY TOTALS","","","","70","270","700","73","220","26.2","0","0","0","0"
