"","Quarterly National Accounts (for 'Developer API')","","","","","","","",""
"","Frequency of observation: Quarterly","","","","","","","",""
"","Reference area: Austria","","","","","","","",""
"","Table identifier: Table 0102 - GDP identity from the expenditure side","","","","","","","",""
"","","","","","","","","",""
"","Time period","","","2023-Q3","2023-Q4","2024-Q1","2024-Q2","2024-Q3",""
"","Combined transaction","Combined unit of measure","","","","","","",""
"","Adjustment: Calendar and seasonally adjusted","","","","","","","",""
"","Unit of measure: National currency","","","","","","","",""
"","Price base: Chain linked volume","","","","","","","",""
"","Transformation: Non transformed data","","","","","","","",""
"","Gross domestic product, Total economy","2015, Millions, Euro","","95,210.2","94,702.0","94,902.1","94,863.7","95,113.9",""
"","·  Domestic demand, Total economy","2015, Millions, Euro","","90,168.1","88,393.0","88,555.8","88,822.9","89,283.7",""
"","·  Final consumption expenditure, Total economy","2015, Millions, Euro","","67,231.6","66,816.5","67,174.5","66,839.3","67,151.0",""
"","·  ·  Final consumption expenditure, Households and non-profit institutions serving households (NPISH)","2015, Millions, Euro","","47,735.9","47,639.8","47,796.1","47,502.5","47,725.7",""
"","·  ·  ·  Final consumption expenditure, Households","2015, Millions, Euro","","45,577.6","45,465.7","45,590.4","45,289.3","",""
"","·  ·  ·  Final consumption expenditure, Non-profit institutions serving households","2015, Millions, Euro","","2,000.7","2,016.8","2,017.0","2,025.7","",""
"","·  ·  Final consumption expenditure, General government","2015, Millions, Euro","","19,493.2","19,177.7","19,379.0","19,338.2","19,426.6",""
"","·  ·  Individual consumption expenditure, Total economy","","","","","","","",""
"","·  ·  ·  Individual consumption expenditure, General government","2015, Millions, Euro","","12,381.8","12,090.3","12,234.5","12,184.2","",""
"","·  ·  Collective consumption expenditure, Total economy","","","","","","","",""
"","·  ·  ·  Collective consumption expenditure, General government","2015, Millions, Euro","","7,088.9","7,070.6","7,113.5","7,124.4","",""
"","·  Actual individual consumption, Total economy","2015, Millions, Euro","","60,129.7","59,733.6","60,038.5","59,694.6","",""
"","·  Gross capital formation, Total economy","2015, Millions, Euro","","22,492.6","21,385.9","21,405.7","21,477.0","",""
"","·  ·  Gross fixed capital formation, Total economy","2015, Millions, Euro","","22,465.4","22,504.2","22,081.2","21,937.5","21,861.4",""
"","·  External balance of goods and services, Total economy","2015, Millions, Euro","","E   4,823.4","E   6,029.0","E   6,101.3","E   5,765.0","E   5,582.7",""
"","·  ·  Exports of goods and services, Total economy","2015, Millions, Euro","","57,093.0","56,777.6","56,827.9","56,255.2","56,909.3",""
"","·  ·  ·  Exports of goods, Total economy","2015, Millions, Euro","","40,725.3","40,418.2","40,194.3","39,682.6","",""
"","·  ·  ·  Exports of services, Total economy","2015, Millions, Euro","","16,475.5","16,467.2","16,716.7","16,648.9","",""
"","·  ·  Imports of goods and services, Total economy","2015, Millions, Euro","","52,269.6","50,748.5","50,726.6","50,490.2","51,326.5",""
"","·  ·  ·  Imports of goods, Total economy","2015, Millions, Euro","","36,281.5","34,742.6","34,709.7","34,500.1","",""
"","·  ·  ·  Imports of services, Total economy","2015, Millions, Euro","","16,184.1","16,261.5","16,242.0","16,219.2","",""
"","Adjustment: Calendar and seasonally adjusted","","","","","","","",""
"","Unit of measure: National currency","","","","","","","",""
"","Price base: Chain linked volume (rebased)","","","","","","","",""
"","Transformation: Annual levels","","","","","","","",""
"","Gross domestic product, Total economy","2020, Millions, Euro","","414,986.3","412,771.2","413,643.1","413,476.1","414,566.4",""
"","·  Final consumption expenditure, Total economy","","","","","","","",""
"","·  ·  Final consumption expenditure, Households and non-profit institutions serving households (NPISH)","2020, Millions, Euro","","207,110.5","206,693.5","207,371.9","206,097.8","207,066.4",""
"","·  ·  Final consumption expenditure, General government","2020, Millions, Euro","","88,670.7","87,235.4","88,151.3","87,965.6","88,367.7",""
"","·  Gross capital formation","","","","","","","",""
"","·  ·  Gross fixed capital formation, Total economy","2020, Millions, Euro","","97,723.2","97,891.7","96,051.7","95,426.5","95,095.5",""
"","·  External balance of goods and services","","","","","","","",""
"","·  ·  Exports of goods and services, Total economy","2020, Millions, Euro","","232,208.3","230,925.2","231,129.9","228,800.6","231,460.8",""
"","·  ·  Imports of goods and services, Total economy","2020, Millions, Euro","","212,534.5","206,349.5","206,260.4","205,299.0","208,699.8",""
"","Adjustment: Calendar and seasonally adjusted","","","","","","","",""
"","Unit of measure: National currency","","","","","","","",""
"","Price base: Current prices","","","","","","","",""
"","Transformation: Annual levels","","","","","","","",""
"","Gross domestic product, Total economy","Millions, Euro","","474,321.5","474,567.7","477,103.1","480,737.2","485,903.5",""
"","·  Final consumption expenditure, Total economy","","","","","","","",""
