"","Green areas - Local areas","","",""
"","Measure: Land area","","",""
"","Territorial level: TL2","","",""
"","Time period: 2021","","",""
"","Combined unit of measure: Square kilometres","","",""
"","","","",""
"","Reference area","","",""
"","Australia","","",""
"","·  New South Wales","","681,425,575",""
"","·  Victoria","","165,533,844",""
"","·  Queensland","","1,593,592,200",""
"","·  South Australia","","769,198,717",""
"","·  Western Australia","","2,261,581,250",""
"","·  Tasmania","","64,445,729",""
"","·  Northern Territory","","1,312,543,345",""
"","·  Australian Capital Territory","","2,199,503",""
"","Austria","","",""
"","·  Burgenland","","2,065,049",""
"","·  Lower Austria","","11,948,659",""
"","·  Vienna","","208,162",""
"","·  Carinthia","","8,234,367",""
"","·  Styria","","14,558,152",""
"","·  Upper Austria","","8,701,965",""
"","·  Salzburg","","6,154,863",""
"","·  Tyrol","","9,796,154",""
"","·  Vorarlberg","","2,290,482",""
"","Belgium","","",""
"","·  Brussels-Capital Region","","76,513",""
"","·  Flemish Region","","7,525,798",""
"","·  Walloon Region","","11,836,992",""
"","Canada","","",""
"","·  Newfoundland and Labrador","","309,281,774",""
"","·  Prince Edward Island","","3,978,405",""
"","·  Nova Scotia","","51,465,150",""
"","·  New Brunswick","","68,901,107",""
"","·  Quebec","","1,100,430,994",""
"","·  Ontario","","777,819,548",""
"","·  Manitoba","","450,790,789",""
"","·  Saskatchewan","","403,802,170",""
"","·  Alberta","","522,555,079",""
"","·  British Columbia","","753,384,712",""
"","·  Yukon","","383,974,912",""
"","·  Northwest Territories","","755,773,143",""
"","·  Nunavut","","320,058,334",""
"","Chile","","",""
"","·  Tarapacá","","4,897,330",""
"","·  Antofagasta","","2,620,942",""
"","·  Atacama","","7,065,116",""
"","·  Coquimbo","","21,899,554",""
"","·  Valparaíso","","11,644,599",""
"","·  O'Higgins","","10,589,050",""
"","·  Maule","","20,848,252",""
"","·  Biobío","","19,693,726",""
"","·  Araucanía","","25,485,007",""
"","·  Los Lagos","","41,369,370",""
"","·  Aysén","","64,419,884",""
"","·  Magallanes and Chilean Antarctica","","81,440,385",""
"","·  Santiago Metropolitan Region","","8,686,309",""
"","·  Los Ríos","","14,664,617",""
"","·  Arica y Parinacota","","3,728,754",""
"","·  Ñuble","","10,250,959",""
"","Colombia","","",""
"","·  Antioquia","","60,877,162",""
"","·  Atlántico","","2,768,608",""
"","·  Bogotá Capital District","","1,275,494",""
"","·  Bolívar","","22,972,202",""
"","·  Boyacá","","22,169,742",""
"","·  Caldas","","7,277,672",""
"","·  Caquetá","","87,950,273",""
"","·  Cauca","","30,255,300",""
"","·  Cesar","","21,496,062",""
"","·  Córdoba","","23,642,059",""
"","·  Cundinamarca","","21,359,734",""
"","·  Chocó","","45,760,569",""
"","·  Huila","","17,549,878",""
"","·  La Guajira","","18,101,434",""
"","·  Magdalena","","19,954,383",""
"","·  Meta","","81,195,055",""
"","·  Nariño","","29,014,570",""
"","·  Norte de Santander","","21,394,076",""
"","·  Quindío","","1,870,675",""
"","·  Risaralda","","3,452,311",""
"","·  Santander","","29,912,801",""
"","·  Sucre","","8,686,840",""
"","·  Tolima","","22,826,877",""
"","·  Valle del Cauca","","18,352,829",""
"","·  Arauca","","23,387,466",""
"","·  Casanare","","42,579,203",""
"","·  Putumayo","","25,507,306",""
"","·  San Andrés","","39,861",""
"","·  Amazonas","","107,306,441",""
"","·  Guainía","","69,911,214",""
"","·  Guaviare","","55,121,310",""
"","·  Vaupés","","52,714,527",""
"","·  Vichada","","97,780,579",""
"","Costa Rica","","",""
"","·  Central","","8,096,038",""
"","·  Chorotega","","9,460,860",""
"","·  Central Pacific","","3,566,383",""
"","·  Brunca","","9,099,702",""
"","·  Huetar Caribbean","","9,000,914",""
"","·  North Huetar","","9,499,720",""
"","Czechia","","",""
"","·  Prague","","240,839",""
"","·  Central Bohemian Region","","5,743,105",""
"","·  Southwest","","12,652,595",""
"","·  Northwest","","6,269,160",""
"","·  Northeast","","8,157,097",""
"","·  Southeast","","7,214,634",""
"","·  Central Moravia","","6,085,420",""
"","·  Moravia-Silesia","","3,837,871",""
"","Denmark","","",""
"","·  Capital region","","1,483,193",""
"","·  Zealand","","2,942,842",""
"","·  Southern Denmark","","5,767,022",""
"","·  Central Denmark","","6,568,092",""
"","·  Northern Denmark","","4,029,569",""
"","Estonia","","",""
"","·  Estonia","","34,429,534",""
"","Finland","","",""
"","·  Western Finland","","50,862,486",""
"","·  Helsinki-Uusimaa","","7,313,987",""
"","·  Southern Finland","","25,701,485",""
"","·  Northern and Eastern Finland","","187,994,550",""
"","·  Åland","","1,287,365",""
"","France","","",""
"","·  Île-de-France","","5,261,797",""
"","·  Centre-Val de Loire","","19,293,223",""
"","·  Bourgogne-Franche-Comté","","34,702,445",""
"","·  Normandy","","17,243,610",""
"","·  Hauts-de-France","","11,828,069",""
"","·  Grand Est","","33,405,989",""
"","·  Pays de la Loire","","17,951,404",""
"","·  Brittany","","16,602,197",""
"","·  Nouvelle-Aquitaine","","60,798,743",""
"","·  Occitanie","","55,987,395",""
"","·  Auvergne-Rhône-Alpes","","57,609,262",""
"","·  Provence-Alpes-Côte d’Azur","","25,971,806",""
"","·  Corsica","","8,389,268",""
"","·  Guadeloupe","","1,406,098",""
"","·  Martinique","","982,097",""
"","·  French Guiana","","81,481,444",""
"","·  La Réunion","","2,187,339",""
"","·  Mayotte","","343,252",""
"","Germany","","",""
"","·  Baden-Württemberg","","25,052,960",""
"","·  Bavaria","","46,694,829",""
"","·  Berlin","","562,046",""
"","·  Brandenburg","","19,012,318",""
"","·  Bremen","","253,467",""
"","·  Hamburg","","486,218",""
"","·  Hesse","","15,260,413",""
"","·  Mecklenburg-Vorpommern","","11,545,842",""
"","·  Lower Saxony","","27,867,931",""
"","·  North Rhine-Westphalia","","20,775,664",""
"","·  Rhineland-Palatinate","","14,704,612",""
"","·  Saarland","","1,984,240",""
"","·  Saxony","","10,521,217",""
"","·  Saxony-Anhalt","","9,587,071",""
"","·  Schleswig-Holstein","","8,642,897",""
"","·  Thuringia","","9,490,581",""
"","Greece","","",""
"","·  Attica","","3,117,197",""
"","·  North Aegean","","3,540,740",""
"","·  South Aegean","","4,782,277",""
"","·  Crete","","7,738,913",""
"","·  Eastern Macedonia, Thrace","","10,471,079",""
"","·  Central Macedonia","","12,763,225",""
"","·  Western Macedonia","","7,320,534",""
"","·  Epirus","","8,564,318",""
"","·  Thessaly","","10,016,550",""
"","·  Ionian Islands","","2,149,034",""
"","·  Western Greece","","9,975,667",""
"","·  Central Greece","","13,490,503",""
"","·  Peloponnese","","14,782,957",""
"","Hungary","","",""
"","·  Budapest","","284,663",""
"","·  Pest","","3,622,145",""
"","·  Central Transdanubia","","5,484,404",""
"","·  Western Transdanubia","","5,885,905",""
