"Table 13: Religion composition, England and Wales, 2012 to 2018","","","","","","","","","","","","","","","","","","","","","Contents"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","Percentage"
"","2012","","","2013","","","2014","","","2015","","","2016","","","2017","","","2018","",""
"","Estimate","Lower 95% confidence limit","Upper 95% confidence limit","Estimate","Lower 95% confidence limit","Upper 95% confidence limit","Estimate","Lower 95% confidence limit","Upper 95% confidence limit","Estimate","Lower 95% confidence limit","Upper 95% confidence limit","Estimate","Lower 95% confidence limit","Upper 95% confidence limit","Estimate","Lower 95% confidence limit","Upper 95% confidence limit","Estimate","Lower 95% confidence limit","Upper 95% confidence limit"
"No religion","32","31.6","32.4","33.1","32.7","33.5","34.5","34.1","34.9","36.1","35.7","36.5","37.9","37.4","38.3","39.9","39.5","40.3","42.1","41.7","42.5"
"Christian","58","57.7","58.3","56.6","56.3","57","54.9","54.5","55.2","53","52.7","53.4","50.9","50.6","51.3","49.1","48.7","49.4","46.7","46.3","47.1"
"Buddhist","0.5","0","1","0.6","0","1.1","0.5","0","1","0.6","0","1.1","0.6","0","1.1","0.5","0","1.1","0.5","0","1"
"Hindu","1.8","1.2","2.3","1.8","1.2","2.3","1.8","1.3","2.3","1.9","1.3","2.4","1.8","1.2","2.3","1.7","1.2","2.3","1.8","1.2","2.4"
"Jewish","0.5","0","1","0.4","0","1","0.5","0","1","0.5","0","1","0.5","0","1","0.5","0","1.1","0.5","0","1.1"
"Muslim","4.9","4.4","5.4","5.2","4.7","5.7","5.3","4.8","5.8","5.4","4.9","5.9","5.6","5.1","6.1","5.5","5","6.1","5.7","5.2","6.3"
"Sikh","0.7","0.2","1.2","0.7","0.2","1.2","0.7","0.2","1.2","0.6","0.1","1.2","0.8","0.2","1.3","0.8","0.2","1.3","0.7","0.2","1.2"
"Any other religion","1.4","0.9","1.9","1.4","1","1.9","1.6","1.1","2.1","1.7","1.2","2.2","1.8","1.3","2.3","1.7","1.2","2.2","1.7","1.2","2.3"
"","","","","","","","","","","","","","","","","","","","","","Source: Annual Population Survey"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","Thousands","","","","","","","","","","","","","",""
"","2012","2013","2014","2015","2016","2017","2018","","","","","","","","","","","","","",""
"No religion","11483","11886","12430","13076","13799","14579","15428","","","","","","","","","","","","","",""
"Christian","20840","20367","19793","19234","18572","17941","17113","","","","","","","","","","","","","",""
"Buddhist","191","198","192","203","211","196","174","","","","","","","","","","","","","",""
"Hindu","630","632","647","678","643","638","661","","","","","","","","","","","","","",""
"Jewish","171","160","164","166","169","176","189","","","","","","","","","","","","","",""
"Muslim","1759","1861","1926","1950","2037","2020","2093","","","","","","","","","","","","","",""
"Sikh","264","257","257","233","275","277","259","","","","","","","","","","","","","",""
"Any other religion","494","519","565","608","666","633","635","","","","","","","","","","","","","",""
"Total","35916","35955","36076","36264","36454","36550","36640","","","","","","","","","","","","","",""
"","","","","","","","","Source: Annual Population Survey","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"Totals may not sum due to rounding.","","","","","","","","","","","","","","","","","","","","",""
"Note that some people have not reported a religion, but are included in totals.","","","","","","","","","","","","","","","","","","","","",""
"This applies to people aged 16 to 64 in England and Wales.","","","","","","","","","","","","","","","","","","","","",""
