"","Annual national disposable income, US $, volume, constant PPPs","","","","","","","","","","","","",""
"","Institutional sector: Total economy","","","","","","","","","","","","",""
"","Counterpart institutional sector: Total economy","","","","","","","","","","","","",""
"","Transaction: Disposable income, net","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","Time period","","","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",""
"","Reference area","Combined unit of measure","","","","","","","","","","","",""
"","Australia","US dollars, PPP converted, Chain linked volume (rebased), 2020, Millions","","990,171.9","986,788.4","1,040,399.9","1,071,493.1","1,110,720.7","1,121,843.1","1,188,706.3","1,238,645.8","1,267,755.8","",""
"","Austria","US dollars, PPP converted, Chain linked volume (rebased), 2020, Millions","","414,013.5","415,896.3","431,230.0","433,701.9","441,054.1","448,207.4","419,227.9","440,395.0","441,477.2","",""
"","Belgium","US dollars, PPP converted, Chain linked volume (rebased), 2020, Millions","","E   498,647.8","E   512,155.1","E   520,042.1","E   528,436.2","E   531,659.1","E   546,617.5","E   510,913.2","E   548,555.5","E   546,673.0","",""
"","Canada","US dollars, PPP converted, Chain linked volume (rebased), 2020, Millions","","1,493,670.2","1,451,632.8","1,464,383.1","1,539,644.3","1,579,425.4","1,613,268.3","1,501,422.1","1,666,335.4","1,751,791.9","1,721,386.1",""
"","Chile","US dollars, PPP converted, Chain linked volume (rebased), 2020, Millions","","438,445.2","453,186.4","462,892.9","475,202.1","490,132.2","491,014.1","459,615.7","527,269.5","533,416.4","537,271.6",""
"","Costa Rica","US dollars, PPP converted, Chain linked volume (rebased), 2020, Millions","","87,762.6","92,811.4","97,814.9","100,052.5","101,619.0","104,472.4","99,709.4","105,045.4","E   105,870.4","E   113,203.2",""
"","Czechia","US dollars, PPP converted, Chain linked volume (rebased), 2020, Millions","","296,802.8","312,035.8","319,968.2","341,164.6","353,473.0","364,912.6","343,132.6","366,018.7","362,878.9","384,085.2",""
"","Denmark","US dollars, PPP converted, Chain linked volume (rebased), 2020, Millions","","278,256.2","284,290.1","291,181.9","300,524.3","305,441.7","309,957.2","307,680.4","340,292.7","350,344.7","325,884.6",""
"","Estonia","US dollars, PPP converted, Chain linked volume (rebased), 2020, Millions","","37,446.1","38,129.3","39,686.7","42,363.9","44,345.4","46,149.7","43,634.5","47,988.2","47,045.2","",""
