"State or area","","","Total","Category","","Age","","",""
"","","","","Aged","Blind and
disabled","Under 18","18–64","65 or
older",""
"","","Total, United States","3,077,819","424,782","2,653,037","502,763","1,886,790","688,266",""
"Alabama","","","65,133","3,708","61,424","14,114","42,815","8,204",""
"Alaska","","","4,359","607","3,752","490","2,975","895",""
"Arizona","","","39,176","3,796","35,380","7,973","24,451","6,752",""
"Arkansas","","","33,214","1,751","31,462","7,826","21,473","3,914",""
"California","","","668,122","174,809","493,313","58,146","354,833","255,143",""
"Colorado","","","21,725","2,488","19,237","3,190","14,615","3,921",""
"Connecticut","","","21,730","2,224","19,507","3,161","14,619","3,950",""
"Delaware","","","5,291","320","4,971","1,482","3,183","626",""
"District of Columbia","","","9,358","568","8,790","2,066","5,986","1,307",""
"Florida","","","167,804","29,930","137,874","38,998","85,510","43,295",""
"Georgia","","","78,971","6,122","72,849","15,642","51,009","12,320",""
"Hawaii","","","9,969","2,413","7,556","677","6,037","3,255",""
"Idaho","","","8,208","351","7,858","1,714","5,819","676",""
"Illinois","","","112,523","10,312","102,211","22,199","71,272","19,051",""
"Indiana","","","39,653","1,404","38,249","9,616","27,064","2,973",""
"Iowa","","","15,874","773","15,101","3,030","11,259","1,585",""
"Kansas","","","15,253","825","14,428","3,269","10,342","1,641",""
"Kentucky","","","73,325","2,899","70,426","13,038","52,108","8,179",""
"Louisiana","","","67,762","4,037","63,725","15,280","43,585","8,897",""
"Maine","","","12,144","435","11,710","1,559","9,485","1,101",""
"Maryland","","","39,451","4,859","34,593","7,153","24,537","7,761",""
"Massachusetts","","","75,932","16,144","59,788","9,139","49,504","17,289",""
"Michigan","","","96,111","5,056","91,055","18,595","66,783","10,733",""
"Minnesota","","","28,272","2,938","25,334","4,743","18,678","4,851",""
"Mississippi","","","49,430","3,041","46,389","11,220","31,034","7,176",""
"Missouri","","","47,263","2,222","45,041","9,166","33,204","4,893",""
"Montana","","","5,722","222","5,500","876","4,328","518",""
"Nebraska","","","8,616","474","8,143","1,662","6,041","913",""
"Nevada","","","13,167","2,450","10,717","2,601","7,979","2,587",""
"New Hampshire","","","5,125","231","4,893","793","3,878","454",""
"New Jersey","","","64,767","11,798","52,969","10,663","36,562","17,543",""
"New Mexico","","","19,758","2,079","17,678","3,244","12,505","4,009",""
"New York","","","296,228","51,080","245,148","36,884","171,887","87,457",""
"North Carolina","","","73,628","5,225","68,403","16,389","45,832","11,407",""
"North Dakota","","","2,908","228","2,680","433","2,043","432",""
"Ohio","","","106,446","4,153","102,293","21,372","75,159","9,915",""
"Oklahoma","","","30,383","1,789","28,594","6,075","20,611","3,697",""
"Oregon","","","24,109","2,167","21,943","3,683","16,810","3,616",""
"Pennsylvania","","","141,233","9,340","131,893","27,100","94,204","19,930",""
"Rhode Island","","","13,111","1,291","11,821","2,171","8,554","2,387",""
"South Carolina","","","41,044","2,589","38,455","8,786","26,270","5,988",""
"South Dakota","","","4,632","330","4,302","916","3,006","711",""
"Tennessee","","","64,865","3,446","61,418","11,078","45,331","8,455",""
"Texas","","","171,311","26,981","144,330","32,874","98,344","40,093",""
"Utah","","","9,027","675","8,351","1,813","6,056","1,157",""
"Vermont","","","5,046","250","4,796","784","3,652","610",""
"Virginia","","","52,201","5,814","46,388","10,120","32,223","9,859",""
"Washington","","","49,018","5,143","43,875","6,599","33,535","8,884",""
"West Virginia","","","31,467","842","30,626","4,191","24,271","3,006",""
"Wisconsin","","","35,352","2,012","33,340","7,668","23,691","3,992",""
"Wyoming","","","2,269","86","2,183","410","1,675","183",""
"Outlying areas","","","","","","","","",""
"","Northern Mariana Islands","","327","55","272","94","160","73",""
"Unknown","","","3","0","3","1","3","0",""
"","","","","","","","","",""
"","","","","","","","","",""
"SOURCE:  Social Security Administration, Supplemental Security Record (Characteristic Extract Record format), 100 percent data.","","","","","","","","",""
"","","","","","","","","",""
"File available from:
Social Security Administration, Office of Policy
SSI Recipients by State and County, 2003
http://www.socialsecurity.gov/policy/docs/statcomps/ssi_sc/2003/","","","","","","","","",""
