"Table 3: Gas consumption by number of bedrooms ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coverage: 2005 to 2010 cover England only, 2011 to 2022 cover England and Wales.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"This worksheet contains three tables presented next to each other horizontally with one blank column in between each table. The three tables show the number of dwellings, the mean consumption and the median consumption.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freeze panes are active on this sheet. To turn off freeze panes select the 'View' ribbon then 'Freeze Panes' then 'Unfreeze Panes' or use [Alt W, F].","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Source: NEED, VOA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Table 3a: Number of dwellings in sample by number of bedrooms","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Year","1","2","3","4","5 or more","Unknown","All dwellings","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2005","161,490","680,410","1,326,400","301,030","52,120","10,370","2,531,820","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2006","167,360","691,490","1,345,520","295,920","51,880","10,600","2,562,760","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2007","171,300","712,290","1,378,720","312,010","55,230","10,730","2,640,270","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2008","173,020","722,830","1,402,150","322,590","58,000","10,860","2,689,450","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2009","198,170","800,060","1,526,590","345,650","66,010","12,550","2,949,010","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2010","177,910","741,890","1,437,100","327,680","61,920","11,420","2,757,930","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2011","200,630","782,910","1,508,410","349,930","67,330","[no data]","2,909,210","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2012","191,890","748,250","1,441,900","332,310","63,920","[no data]","2,778,260","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2013","210,790","858,140","1,682,060","366,740","66,290","[no data]","3,184,030","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2014","228,130","922,270","1,795,910","396,560","72,780","[no data]","3,415,650","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015","225,790","912,220","1,780,970","408,490","77,500","[no data]","3,404,980","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016","139,200","626,600","1,241,250","313,190","59,930","59,090","2,439,260","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017","1,210,980","4,887,690","9,272,680","2,402,120","483,810","[no data]","18,257,260","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018","1,207,170","4,871,320","9,230,950","2,417,570","484,100","[no data]","18,211,100","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2019","1,208,040","4,881,890","9,233,770","2,421,450","483,980","[no data]","18,229,130","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020","1,344,190","5,287,320","9,893,110","2,628,520","537,020","[no data]","19,690,170","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","1,214,240","4,952,340","9,395,890","2,529,840","515,380","[no data]","18,607,680","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022","1,224,220","4,969,790","9,416,770","2,561,860","541,660","[no data]","18,714,310","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
