"Number of tables on this sheet:","","","","","","","","","","","","","","","","","","","5",""
"","","","","","","","","","","","","","","","","","","","",""
"Businesses in the creative sector","","","","","","","","","","","","","","","","","","","",""
"Data owner:","Office of National Statistics","","","","","","","","","","","","","","","","","","",""
"Link to data owner:","http://www.ons.gov.uk","","","","","","","","","","","","","","","","","","",""
"Data source:","Inter Departmental Business Register (IDBR)","","","","","","","","","","","","","","","","","","",""
"Link to data source:","http://www.statistics.gov.uk/idbr/","","","","","","","","","","","","","","","","","","",""
"Date:","2009, 2008, 2007, 2006, 2005","","","","","","","","","","","","","","","","","","",""
"Update cycle:","Continuously through the year","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"Businesses in the creative sector: sub-sector by region in 2005 and 2009","","","","","","","","","","","","","","","","","","","",""
"","North West","","Yorkshire and the Humber","","East Midlands","","West Midlands","","East of England","","London","","South East","","South West","","England","","North East",""
"","","","","","","","","","","","","","","","","","","","",""
"Sub-sector","2005","2009","2005","2009","2005","2009","2005","2009","2005","2009","2005","2009","2005","2009","2005","2009","2005","2009","2005","2009"
"Advertising","1,235","1,420","720","795","625","685","780","915","1,140","1,345","3,600","3,960","2,145","2,460","890","1,050","11,355","12,950","220","320"
"Architecture","1,461","2,086","909","1,120","945","1,148","1,186","1,436","1,556","1,851","1,950","2,434","2,560","3,114","1,231","1,559","12,318","15,466","519","719"
"Art & Antiques","297","287","224","212","189","184","231","228","270","264","378","364","426","414","299","284","2,394","2,316","81","79"
"Designer Fashion","250","253","132","138","149","159","218","207","254","267","577","554","524","470","229","218","2,376","2,322","44","57"
"Music & the Visual & Performing Arts","1,576","1,835","1,211","1,321","1,039","1,189","1,270","1,424","2,564","2,573","13,673","12,061","5,153","5,113","2,361","2,378","29,229","28,354","383","461"
"Publishing","450","395","358","340","373","335","408","510","805","425","2,363","685","1,425","680","753","308","7,048","3,793","115","115"
"Radio & TV","255","340","130","160","100","140","160","210","280","350","2,325","3,155","705","955","295","400","4,295","5,760","45","50"
"Software, Computer Games & Electronic Publishing","3,861","5,995","2,638","3,780","3,066","4,210","3,816","5,563","6,954","9,409","12,498","20,006","14,153","18,899","4,338","6,151","52,103","75,229","780","1,216"
"Video, Film & Photography","454","574","316","383","249","313","340","374","639","773","4,828","5,495","1,479","1,739","656","739","9,085","10,558","125","170"
"","","","","","","","","","","","","","","","","","","","",""
"Total","9,840","13,185","6,636","8,249","6,734","8,362","8,409","10,865","14,461","17,256","42,190","48,715","28,569","33,843","11,051","13,086","130,201","156,747","2,311","3,187"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
