"1 mg/L malathion","","0.1 mg/L malathion","","0 mg/L malathion","","5 mg/L malathion",""
"time ","O2 rate","time ","O2 rate","time ","O2 rate","time ","O2 rate"
"hours","ug/min","hours","ug/min","hours","ug/min","hours","ug/min"
"0","0","0","0","0","0","0","0"
"1","42.999","1","48.644","1","48.574","1","53.312"
"2","41.137","2","42.626","2","46.48","2","47.711"
"3","25.866","3","15.725","3","42.907","3","21.727"
"4","8.788","4","11.813","4","12.851","4","11.738"
"5","7.987","5","11.136","5","10.609","5","10.817"
"6","8.119","6","11.121","6","10.02","6","10.671"
"7","8.263","7","10.815","7","9.554","7","10.352"
"8","8.376","8","10.6","8","9.105","8","10.114"
"9","7.734","9","10.64","9","8.644","9","10.107"
"10","7.196","10","10.237","10","8.275","10","9.763"
"11","7.504","11","10.359","11","8.123","11","9.889"
"12","7.409","12","9.921","12","8.191","12","9.585"
