"HOUSEHOLD DATA
ANNUAL AVERAGES 
12. Employed persons by sex, occupation, class of worker, full- or part-time status, and race","","","","","","","",""
"[In thousands]","","","","","","","",""
"","","","","","","","",""
"Category","Total","","Black or African
American","","Asian","","White",""
"","2022","2023","2022","2023","2022","2023","2022","2023"
"","","","","","","","",""
"Total, 16 years and over","158291","161037","19937","20674","10615","11096","121908","123165"
"Men","84203","85500","9617","9943","5610","5852","65924","66524"
"Women","74089","75537","10319","10731","5006","5243","55984","56642"
"","","","","","","","",""
"OCCUPATION","","","","","","","",""
"Management, professional, and related occupations","68099","70275","6969","7460","6154","6566","52943","54058"
"Management, business, and financial operations occupations","29350","30544","2753","2987","2147","2301","23606","24343"
"Management occupations","20199","20906","1821","1925","1334","1469","16479","16914"
"Business and financial operations occupations","9152","9638","932","1062","813","833","7127","7429"
"Professional and related occupations","38749","39731","4216","4473","4007","4264","29337","29715"
"Computer and mathematical occupations","6171","6502","562","598","1375","1560","4019","4128"
"Architecture and engineering occupations","3464","3602","229","218","481","470","2677","2811"
"Life, physical, and social science occupations","1840","1870","113","154","314","309","1349","1342"
"Community and social service occupations","2945","2879","568","563","107","113","2168","2100"
"Legal occupations","1861","1897","158","190","91","84","1565","1569"
"Education, training, and library occupations","9220","9403","1033","1056","501","535","7410","7526"
"Arts, design, entertainment, sports, and media occupations","3441","3478","287","333","190","233","2850","2768"
"Healthcare practitioners and technical occupations","9808","10099","1267","1360","949","961","7299","7470"
"Service occupations","25438","26171","4274","4446","1553","1644","18381","18758"
"Healthcare support occupations","4930","5123","1270","1283","366","390","3085","3214"
"Protective service occupations","3057","3105","638","694","90","99","2192","2179"
"Food preparation and serving related occupations","7907","8189","1101","1109","533","563","5786","6010"
"Building and grounds cleaning and maintenance occupations","5576","5534","782","792","170","151","4388","4322"
"Personal care and service occupations","3968","4220","482","569","393","441","2930","3034"
"Sales and office occupations","30412","30279","3993","4088","1636","1665","23616","23394"
"Sales and related occupations","14316","14325","1572","1675","819","871","11389","11283"
"Office and administrative support occupations","16096","15954","2422","2413","817","794","12227","12111"
"Natural resources, construction, and maintenance occupations","14260","14326","1055","1114","271","260","12367","12332"
"Farming, fishing, and forestry occupations","980","987","45","50","17","9","874","886"
"Construction and extraction occupations","8427","8457","598","606","137","110","7337","7344"
"Installation, maintenance, and repair occupations","4853","4881","412","458","117","141","4157","4101"
"Production, transportation, and material moving occupations","20082","19986","3646","3567","1002","961","14601","14624"
"Production occupations","8256","8280","1240","1216","484","448","6215","6302"
"Transportation and material moving occupations","11826","11706","2406","2351","518","513","8386","8322"
"","","","","","","","",""
"CLASS OF WORKER","","","","","","","",""
"Agriculture","","","","","","","",""
"Wage and salary workers(1)","1514","1531","69","61","21","14","1360","1399"
"Self-employed workers, unincorporated","745","698","8","13","3","4","710","664"
"Unpaid family workers","32","35","0","0","0","0","31","34"
"Nonagricultural industries","","","","","","","",""
"Wage and salary workers(1)","146814","149692","19017","19733","10096","10531","112280","113728"
"Government","21150","21538","3397","3501","1078","1136","15863","16057"
"Private industries","125664","128154","15620","16232","9018","9396","96417","97671"
"Private households","655","673","64","80","30","26","526","551"
"Other industries","125010","127481","15556","16151","8988","9369","95892","97120"
"Self-employed workers, unincorporated","9129","9030","841","865","490","544","7477","7299"
"Unpaid family workers","58","50","1","3","5","3","49","42"
"","","","","","","","",""
"FULL- OR PART-TIME STATUS(2)","","","","","","","",""
"Full-time workers","132245","134056","17060","17683","9109","9435","101397","102006"
"Part-time workers","26046","26981","2877","2991","1507","1660","20511","21160"
"","","","","","","","",""
"Footnotes:","","","","","","","",""
"(1) Includes self-employed workers whose businesses are incorporated.","","","","","","","",""
"(2) Employed persons are classified as full- or part-time workers based on their usual weekly hours at all jobs regardless of the number of hours they are at work during the reference week. Persons absent from work also are classified according to their usual status. Full time is 35 hours or more per week; part time is less than 35 hours.","","","","","","","",""
"NOTE: Estimates for the above race groups will not sum to totals because data are not presented for all races. Updated population controls are introduced annually with the release of January data.","","","","","","","",""
