"S/N","Description","Status","Date","Issue","Status","Date","Issue","Status","Date","Issue","Status","Date","Issue","Status","Date","Issue","Status","Date","Issue","Status","Date","Issue","Status","Date","Issue","Status","Date","Issue","Status","Date","Issue","Status","Date","Issue","Status","Date","Issue"
"","","PV38","","","PV21","","","PV79","","","PV74","","","PV18","","","PV17","","","PV30","","","PV37","","","PV35","","","PV22","","","PV77","","","PV78","",""
"1","Fresh Air Damper (Step 4 - 13)","Passed","3/10/2015","","Passed","6/16/2015","","Passed","10/2/2015","","Passed","11/9/2015","","Passed","11/9/2015","","Passed","11/10/2015","","Passed","11/10/2015","","Passed","11/11/2015","","Passed","11/11/2015","","Passed","11/11/2015","","Passed","11/11/2015","","Passed","11/11/2015",""
"2","Flood Light (Steps 14)","Passed","3/10/2015","""OFF"" in green instead of ""OFF"" in yellow","Passed","6/16/2015","","Passed","10/2/2015","","Passed","11/9/2015","","Passed","11/9/2015","","Passed","11/10/2015","","Passed","11/10/2015","","Passed","11/11/2015","","Passed","11/11/2015","","Passed","11/11/2015","","Passed","11/11/2015","","Passed","11/11/2015",""
"3","DM2 Flood Light Activation (Steps 15 -18)","Passed","3/10/2015","","Passed","6/16/2015","","Passed","10/2/2015","","Passed","11/9/2015","","Passed","11/9/2015","","Passed","11/10/2015","","Passed","11/10/2015","","Passed","11/11/2015","","Passed","11/11/2015","","Passed","11/11/2015","","Passed","11/11/2015","","Passed","11/11/2015",""
"4","DM1 Flood Light Activation (Steps 19 - 22)","Passed","3/10/2015","","Passed","6/16/2015","","Passed","10/2/2015","","Pre-test
Passed","11/9/2015","Pre-test - 
procedure yet to be accepted","Pre-test
Passed","11/9/2015","Pre-test - 
procedure yet to be accepted","Pre-test
Passed","11/10/2015","Pre-test - 
procedure yet to be accepted","Pre-test
Passed","11/10/2015","Pre-test - 
procedure yet to be accepted","Pre-test
Passed","11/11/2015","Pre-test - 
procedure yet to be accepted","Pre-test
Passed","11/11/2015","Pre-test - 
procedure yet to be accepted","Pre-test
Passed","11/11/2015","Pre-test - 
procedure yet to be accepted","Pre-test
Passed","11/11/2015","Pre-test - 
procedure yet to be accepted","Pre-test
Passed","11/11/2015","Pre-test - 
procedure yet to be accepted"
"5","DM2 flood lights and EDD illumination deactivation (Steps 23 - 31)","Passed","3/10/2015","","Passed","6/16/2015","","Passed","10/2/2015","Passed with ISF:
For step 25 - After cover is removed,to turn EDD handle to position 1
For step 26 and 27 - To amend that train personnel to turn off DDCB circuit breaker 1 and 2 to simulate EDD activation.
For step 31 - To amend that OCC operator to check MFT train inspector panel that the EVAC request is normlised.
","Pre-test
Passed","11/9/2015","Pre-test - 
procedure yet to be accepted","Pre-test
Passed","11/9/2015","Pre-test - 
procedure yet to be accepted","Pre-test
Passed","11/10/2015","Pre-test - 
procedure yet to be accepted","Pre-test
Passed","11/10/2015","Pre-test - 
procedure yet to be accepted","Pre-test
Passed","11/11/2015","Pre-test - 
procedure yet to be accepted","Pre-test
Passed","11/11/2015","Pre-test - 
procedure yet to be accepted","Pre-test
Passed","11/11/2015","Pre-test - 
procedure yet to be accepted","Pre-test
Passed","11/11/2015","Pre-test - 
procedure yet to be accepted","Pre-test
Passed","11/11/2015","Pre-test - 
procedure yet to be accepted"
"6","DM1 flood lights and EDD illumination deactivation (Steps 32 - 38)","Passed","3/10/2015","","Passed","6/16/2015","","Passed","10/2/2015","","Passed","11/9/2015","","Passed","11/9/2015","","Passed","11/10/2015","","Passed","11/10/2015","","Passed","11/11/2015","","Passed","11/11/2015","","Passed","11/11/2015","","Passed","11/11/2015","","Passed","11/11/2015",""
"7","EDD exit signals at DMI1 (Steps 39 - 43)","Passed","3/10/2015","""ON"" in yellow instead of ""ON"" in green","Passed","6/16/2015","","Passed","10/2/2015","","Passed","11/9/2015","","Passed","11/9/2015","","Passed","11/10/2015","","Passed","11/10/2015","","Passed","11/11/2015","","Passed","11/11/2015","","Passed","11/11/2015","","Passed","11/11/2015","","Passed","11/11/2015",""
"8","EDD exit signals at DMI2 (Steps 44 - 47)","Passed","3/10/2015","","Passed","6/16/2015","","Passed","10/2/2015","","Passed","11/9/2015","","Passed","11/9/2015","","Passed","11/10/2015","","Passed","11/10/2015","","Passed","11/11/2015","","Passed","11/11/2015","","Passed","11/11/2015","","Passed","11/11/2015","","Passed","11/11/2015",""
"9","Parking brake (Steps 48 - 56)","Passed","3/10/2015","","Passed","6/16/2015","","Passed","10/2/2015","","Passed","11/9/2015","","Passed","11/10/2015","","Passed","11/10/2015","","Passed","11/10/2015","","Passed","11/11/2015","","Passed","11/11/2015","","Passed","11/11/2015","","Passed","11/11/2015","","Passed","11/11/2015",""
"10","Resetting train propulsion equipment isolation (Steps 57 - 62)","Passed","3/10/2015","","Passed","6/16/2015","","Passed","10/2/2015","","Passed","11/9/2015","","Passed","11/10/2015","","Passed","11/10/2015","","Passed","11/10/2015","","Passed","11/11/2015","","Passed","11/11/2015","","Passed","11/11/2015","","Passed","11/11/2015","","Passed","11/11/2015",""
"11","Train equipment reset (Steps 63 - 68)","Passed","3/10/2015","","Passed","6/16/2015","","Passed","10/2/2015","","Passed","11/9/2015","","Passed","11/10/2015","","Passed","11/10/2015","","Passed","11/10/2015","","Passed","11/11/2015","","Passed","11/11/2015","","Passed","11/11/2015","","Passed","11/11/2015","","Passed","11/11/2015",""
