"Count of Employees","",""
"Australia Total","","20"
"Brazil","Finance","1"
"","HR","4"
"","IT","4"
"","Legal","1"
"","Marketing","1"
"","Procurement","1"
"","Sales","3"
"","Travel","2"
"Country","Function","Total"
"Australia","Finance","3"
"","HR","3"
"","IT","2"
"","Legal","3"
"","Marketing","3"
"","Procurement","4"
"","Sales","2"
"Brazil Total","","17"
"Cannada","Finance","1"
"","HR","4"
"","IT","3"
"","Legal","3"
"","Sales","1"
"","Travel","3"
"Cannada Total","","15"
"China","Finance","1"
"","HR","4"
"","Legal","1"
"","Procurement","1"
"China Total","","7"
"Germany","HR","4"
"","IT","2"
"","Legal","3"
"","Procurement","6"
"","Sales","1"
"","Travel","3"
"Germany Total","","19"
"India","Finance","1"
"","HR","4"
"","Legal","1"
"","Procurement","1"
"India Total","","7"
"Russia","Finance","1"
"","HR","1"
"","IT","1"
"","Marketing","5"
"","Procurement","2"
"","Sales","2"
"Russia Total","","12"
"Spain","Finance","4"
"","HR","2"
"","IT","1"
"","Legal","1"
"","Marketing","2"
"","Procurement","6"
"","Sales","3"
"","Travel","3"
"Spain Total","","22"
"UK","Finance","2"
"","HR","1"
"","IT","2"
"","Marketing","5"
"","Procurement","4"
"","Sales","3"
"","Travel","3"
"UK Total","","20"
"USA","HR","4"
"","IT","1"
"","Legal","1"
"","Procurement","4"
"","Travel","1"
"USA Total","","11"
"Grand Total","","150"
