"","","Expt-1","","","","Expt-2","","","",""
"","spleen wt (mg)","Replicate1","Replicate2","Replicate3","","Replicate1","Replicate2","Replicate3","Mean","SD"
"Set1","Uninf mice (no DC trf)","95","103","116.6","","115.8","104.3","107.7","107.06666666667","8.2140529987739"
"Set2","Inf mice (no DC trnf)","246","294","330.2","","336.4","354.8","470.5","338.65","75.232114153465"
"Set3","Inf mice ( DC + PBS)","220","278","345.4","","360","399.4","451.2","342.33333333333","83.107512696908"
"Set4","Inf mice (DC + SAG)","232","213","164.8","","187.7","192","281.7","211.86666666667","41.175996243766"
"Set5","Inf mice  [DC (Ctrl siRNA) + SAG]","203","219","202.9","","158.7","128","265.1","196.11666666667","47.782064277997"
"Set6","Inf mice [DC (Runx1+3 siRNA) + SAG]","231","247","356.5","","370.2","393.8","465.8","344.05","89.817542829895"
"Set7","Inf mice [DC (Runx1+3 siRNA + Vec) + SAG]","276","398.7","380.5","","335.2","392","419.32","366.95333333333","52.615110630566"
"Set8","Inf mice [DC (Runx1+3 siRNA + CD40) + SAG]","160","178","198.2","","208.9","124","156","170.85","30.919621601824"
