"","","","","Lives Saved Due to Mitigation Measures","","","","",""
"HIDDEN","","","","","","","","",""
"Selected","Int#","LiST#","","","Newborn Lives Saved","Child Lives Saved","Maternal Lives Saved","Total Lives Lost",""
"x","0","0","Family Planning","Contraceptive Use","6","6","8","14","Includes Impacts of Maternal age and birth order and Birth Intervals"
"x","9","14","Antenatal Care","Antenatal care (at least 1 visit)","-""""-","-""""-","-""""-","-""""-",""
"x","10","15","","Antenatal care (at least 4 visits)","-""""-","-""""-","-""""-","-""""-",""
"x","11","16","","TT - Tetanus toxoid vaccination","257","257","1","258",""
"","12","17","","IPTp - Intermittent preventive treatment of malaria during pregnancy","-""""-","-""""-","-""""-","-""""-",""
"","13","18","","Syphilis detection and treatment","-""""-","-""""-","-""""-","-""""-",""
"","14","19","","Calcium supplementation","-""""-","-""""-","-""""-","-""""-",""
"x","15","20","","Iron supplementation in pregnancy","-""""-","-""""-","12","12",""
"","16","21","","Multiple micronutrient supplementation in pregnancy","-""""-","-""""-","-""""-","-""""-",""
"","17","22","","Balanced energy supplementation","-""""-","-""""-","-""""-","-""""-",""
"","18","23","","Hypertensive disorder case management","-""""-","-""""-","4","4",""
"","19","24","","Diabetes case management","-""""-","-""""-","-""""-","-""""-",""
"x","20","25","","Malaria case management","-""""-","-""""-","-""""-","-""""-",""
"x","21","26","","MgSO4 management of pre-eclampsia","-""""-","-""""-","-""""-","-""""-",""
"x","22","27","Delivery Care","Health Facility Delivery","-""""-","-""""-","-""""-","-""""-",""
"x","23","28","","Clean birth environment","190","190","24","214",""
"x","24","32","","Manual removal of placenta","-""""-","-""""-","34","34",""
"x","25","33","","Parenteral administration of anti-convulsants","-""""-","-""""-","57","57",""
"x","26","34","","Antibiotics for preterm or prolonged PROM","75","75","10","85",""
"","27","35","","Parenteral administration of antibiotics","-""""-","-""""-","-""""-","-""""-",""
"x","28","36","","Assisted vaginal delivery","109","109","12","121",""
"x","29","38","","Parenteral administration of uterotonics","-""""-","-""""-","295","295",""
"x","30","39","","Removal of retained products of conception","-""""-","-""""-","29","29",""
"x","31","40","","Induction of labor for pregnancies lasting 41+ weeks","-""""-","-""""-","-""""-","-""""-",""
"x","32","41","","Antenatal corticosteroids for preterm labor","-""""-","-""""-","-""""-","-""""-",""
"x","33","65","","Maternal sepsis case management","-""""-","-""""-","-""""-","-""""-",""
"x","34","10","","Safe abortion services","-""""-","-""""-","14","14",""
"x","35","11","","Post abortion case management","-""""-","-""""-","-""""-","-""""-",""
"x","36","42","","Cesarean delivery","279","279","80","359",""
"x","37","43","","Blood transfusion","-""""-","-""""-","-""""-","-""""-",""
"x","38","12","","Ectopic pregnancy case management","-""""-","-""""-","-""""-","-""""-",""
"x","39","29","Newborn Care","Immediate drying and additional stimulation","213","213","-""""-","213",""
"x","40","30","","Thermal protection","323","323","-""""-","323",""
"x","41","31","","Clean cord care","333","333","-""""-","333",""
"x","42","37","","Neonatal resuscitation","249","249","-""""-","249",""
"","43/44","66/67","","Case management of premature babies","-""""-","-""""-","-""""-","-""""-",""
"#N/A","43","66","","Kangaroo-Mother Care (KMC)","","","","","Shown combined with Full supportive care"
"#N/A","44","67","","Full supportive care of prematurity","","","","","Shown combined with KMC"
"x","45/46/47","68/69","","Case management of neonatal sepsis/pneumonia","877","877","-""""-","877",""
"#N/A","45","68","","Oral antibiotics for neonatal sepsis","","","","","Shown combined in line 50"
"#N/A","46","69","","Injectable antibiotics for neonatal sepsis","","","","",""
"x","47","70","","Full supportive care for neonatal sepsis/pneumonia","","","","",""
"x","48","44","Breastfeeding","Breastfeeding","562","1,613","-""""-","1,613",""
"x","49","45","","Complementary feeding - Education only","-""""-","(""#,##0"")","-""""-","(""#,##0"")","Combines impact of Appropriate complementary feeding, reduction in stunting and wasting)"
"x","50","46","","Complementary feeding - Supplementary feeding + Education","","","","",""
"","51","55","Vaccines","BCG - Single dose","-""""-","-""""-","-""""-","-""""-",""
