"","Billions of chained (2012) dollars","","","","","","","","","","","","","","","","","","","",""
"","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Total Economy (GDP)","  11,521.9 ","  12,038.3 ","  12,610.5 ","  13,131.0 ","  13,262.1 ","  13,493.1 ","  13,879.1 ","  14,406.4 ","  14,912.5 ","  15,338.3 ","  15,626.0 ","  15,604.7 ","  15,208.8 ","  15,598.8 ","  15,840.7 ","  16,197.0 ","  16,495.4 ","  16,899.8 ","  17,386.7 ","  17,659.2 ","  18,050.7 "
"","","","","","","","","","","","","","","","","","","","","",""
"Digital Economy ","  226.0 ","  269.9 ","  318.3 ","  371.1 ","  386.3 ","  408.7 ","  456.4 ","  527.5 ","  598.1 ","  657.8 ","  746.1 ","  818.8 ","  836.3 ","  915.7 ","  964.3 ","  998.3 ","  1,075.8 ","  1,121.9 ","  1,253.6 ","  1,370.1 ","  1,483.5 "
"Digital-Enabling Infrastructure","  203.7 ","  244.2 ","  289.8 ","  341.2 ","  355.0 ","  372.4 ","  415.5 ","  479.7 ","  541.9 ","  593.1 ","  668.5 ","  733.4 ","  745.5 ","  814.1 ","  850.8 ","  873.4 ","  933.7 ","  970.4 ","  1,083.9 ","  1,173.2 ","  1,262.3 "
"Hardware","  3.5 ","  5.7 ","  8.8 ","  16.3 ","  18.0 ","  20.2 ","  27.0 ","  31.8 ","  39.5 ","  52.0 ","  64.0 ","  75.8 ","  74.6 ","  91.0 ","  97.3 ","  77.6 ","  75.6 ","  82.3 ","  93.9 ","  93.9 ","  104.4 "
"Software","  53.3 ","  59.9 ","  82.3 ","  73.0 ","  74.2 ","  79.5 ","  86.6 ","  104.4 ","  114.2 ","  112.7 ","  137.2 ","  137.9 ","  141.3 ","  151.7 ","  160.7 ","  164.7 ","  176.1 ","  185.6 ","  201.4 ","  225.4 ","  240.7 "
"Telecommunications","  104.6 ","  113.2 ","  123.8 ","  143.7 ","  144.2 ","  145.7 ","  159.2 ","  183.0 ","  213.8 ","  228.5 ","  256.9 ","  287.7 ","  283.9 ","  290.4 ","  284.2 ","  295.2 ","  332.4 ","  329.8 ","  374.8 ","  406.1 ","  424.6 "
"Support Services","  107.3 ","  124.2 ","  128.9 ","  132.2 ","  142.0 ","  149.8 ","  159.2 ","  178.9 ","  186.9 ","  204.5 ","  212.0 ","  230.6 ","  245.2 ","  280.2 ","  308.3 ","  335.8 ","  349.7 ","  372.5 ","  414.1 ","  447.8 ","  491.0 "
"E-Commerce & Digital Media","  24.4 ","  27.0 ","  28.3 ","  27.2 ","  28.7 ","  34.9 ","  39.6 ","  46.4 ","  55.0 ","  64.0 ","  77.2 ","  85.0 ","  90.6 ","  101.6 ","  113.5 ","  124.9 ","  142.1 ","  151.6 ","  169.7 ","  196.7 ","  220.7 "
"","","","","","","","","","","","","","","","","","","","","",""
"Addendum:","","","","","","","","","","","","","","","","","","","","",""
"Digital Goods","4.8","7.1","10.1","17.7","17.7","20.0","28.8","36.0","45.1","59.2","71.3","89.2","93.3","111.2","114.6","104.7","109.2","117.7","135.6","142.8","154.0"
"Digital Services","302.6","337.7","376.6","391.0","411.2","429.0","454.4","516.5","573.9","608.3","682.0","731.1","743.9","803.9","849.3","893.6","966.5","1004.3","1118.4","1227.3","1329.3"
"Percent change from preceding period","","","","","","","","","","","","","","","","","","","","",""
"Total Economy","--","4.5","4.8","4.1","1.0","1.7","2.9","3.8","3.5","2.9","1.9","-0.1","-2.5","2.6","1.6","2.2","1.8","2.5","2.9","1.6","2.2"
"","","","","","","","","","","","","","","","","","","","","",""
