"Department for Transport statistics","","","","","","","","","","","","","","","","",""
"https://www.gov.uk/government/organisations/department-for-transport/series/transport-accessibility-statistics--3","","","","","","","","","","","","","","","","",""
"Table ACS0218","","","","","","","","","","","","","","","","",""
"At risk users1 with access to key services within lower2 and upper2 threshold by car, region, England, 2007 to 2013","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","Number/Percentage"
"","","Key services","","","","","","","","","","","","","","",""
"","","Employment","","Primary school","","Secondary school","","Further Education3","","GP","","Hospital","","Food store","","Town Centres",""
"Year","Region","Lower threshold2","Upper threshold2","Lower threshold2","Upper threshold2","Lower threshold2","Upper threshold2","Lower threshold2","Upper threshold2","Lower threshold2","Upper threshold2","Lower threshold2","Upper threshold2","Lower threshold2","Upper threshold2","Lower threshold2","Upper threshold2"
"Number of people with access within threshold","","","","","","","","","","","","","","","","",""
"2007","North East","48,700","48,700","37,200","37,200","28,200","28,200","..","..","392,000","392,100","392,100","392,100","392,000","392,100","..",".."
"","North West","109,100","109,100","94,300","94,300","76,700","76,700","..","..","875,900","876,000","876,000","876,000","875,900","876,000","..",".."
"","Yorkshire and the Humber","82,500","82,500","60,300","60,300","47,500","47,500","..","..","642,900","642,900","642,800","642,900","642,900","642,900","..",".."
"","East Midlands","58,600","58,600","38,300","38,300","29,600","29,600","..","..","435,000","435,000","435,000","435,000","435,000","435,000","..",".."
"","West Midlands","101,300","101,300","74,000","74,000","57,000","57,000","..","..","588,700","588,800","588,800","588,800","588,800","588,800","..",".."
"","East","60,500","60,500","44,300","44,300","32,700","32,700","..","..","455,600","455,600","455,600","455,600","455,600","455,600","..",".."
"","London","144,400","144,400","133,100","133,100","97,000","97,000","..","..","1,173,300","1,173,300","1,173,300","1,173,300","1,173,300","1,173,300","..",".."
"","South East","71,500","71,500","54,500","54,500","40,100","40,100","..","..","653,900","653,900","653,900","653,900","653,900","653,900","..",".."
"","South West","42,600","42,600","33,700","33,700","26,100","26,100","..","..","435,000","435,000","435,000","435,000","435,000","435,000","..",".."
"2008","North East","65,300","65,300","35,900","35,900","26,400","26,400","..","..","392,500","392,600","392,600","392,600","392,500","392,600","..",".."
"","North West","143,200","143,200","90,600","90,600","73,800","73,800","..","..","874,000","874,100","874,100","874,100","874,000","874,100","..",".."
"","Yorkshire and the Humber","107,000","107,000","59,300","59,300","46,500","46,500","..","..","645,100","645,200","645,000","645,200","645,100","645,200","..",".."
"","East Midlands","74,100","74,100","37,800","37,800","28,600","28,600","..","..","435,600","435,600","435,600","435,600","435,600","435,600","..",".."
"","West Midlands","127,300","127,300","71,800","71,800","55,100","55,100","..","..","587,500","587,500","587,500","587,500","587,500","587,500","..",".."
"","East","78,100","78,100","42,600","42,600","31,300","31,300","..","..","457,000","457,000","456,900","457,000","457,000","457,000","..",".."
"","London","149,100","149,100","128,600","128,600","94,900","94,900","..","..","1,166,200","1,166,200","1,166,200","1,166,200","1,166,200","1,166,200","..",".."
"","South East","98,900","98,900","53,100","53,100","39,300","39,300","..","..","653,800","653,800","653,800","653,800","653,800","653,800","..",".."
"","South West","61,800","61,800","34,100","34,100","26,500","26,500","..","..","435,300","435,300","435,300","435,300","435,300","435,300","..",".."
"2009","North East","82,400","82,400","36,000","36,000","26,700","26,700","..","..","407,200","407,300","407,200","407,300","407,200","407,300","404,400","407,200"
"","North West","185,800","185,800","90,800","90,800","73,300","73,300","..","..","910,400","910,400","910,400","910,400","910,400","910,400","908,800","910,400"
"","Yorkshire and the Humber","144,300","144,300","60,200","60,200","46,100","46,100","..","..","687,500","687,500","687,400","687,500","687,500","687,500","684,000","687,500"
"","East Midlands","101,000","101,000","40,000","40,000","30,100","30,100","..","..","467,500","467,500","467,500","467,500","467,500","467,500","466,900","467,500"
"","West Midlands","168,000","168,000","73,400","73,400","55,300","55,300","..","..","612,700","612,700","612,600","612,700","612,700","612,700","611,700","612,700"
"","East","107,900","107,900","43,900","43,900","31,700","31,700","..","..","487,100","487,100","487,000","487,100","487,100","487,100","484,000","487,100"
"","London","204,100","204,100","126,500","126,500","95,800","95,800","..","..","1,233,600","1,233,600","1,233,600","1,233,600","1,233,600","1,233,600","1,233,600","1,233,600"
"","South East","143,200","143,200","56,100","56,100","40,700","40,700","..","..","689,900","689,900","689,900","689,900","689,900","689,900","688,600","689,900"
"","South West","82,900","82,900","36,200","36,200","27,100","27,100","..","..","464,100","464,100","464,100","464,100","464,100","464,100","461,300","463,800"
"2010","North East","76,100","76,100","38,300","38,300","27,800","27,800","..","..","404,900","404,900","404,500","404,900","404,700","404,900","401,800","404,800"
"","North West","164,100","164,100","97,400","97,400","75,200","75,200","..","..","901,800","901,800","901,800","901,800","901,800","901,800","900,200","901,800"
"","Yorkshire and the Humber","129,700","129,700","65,600","65,600","48,200","48,200","..","..","683,500","683,500","683,400","683,500","683,500","683,500","680,000","683,500"
"","East Midlands","85,500","85,500","44,200","44,200","32,500","32,500","..","..","463,500","463,500","463,500","463,500","463,500","463,500","462,900","463,500"
"","West Midlands","145,300","145,300","80,700","80,700","59,000","59,000","..","..","605,400","605,400","605,400","605,400","605,400","605,400","604,200","605,400"
"","East","94,800","94,800","50,000","50,000","35,000","35,000","..","..","488,100","488,100","487,700","488,100","488,100","488,100","484,900","488,100"
"","London","191,000","191,000","131,900","131,900","97,600","97,600","..","..","1,246,800","1,246,800","1,246,800","1,246,800","1,246,800","1,246,800","1,246,800","1,246,800"
"","South East","118,700","118,700","62,900","62,900","43,800","43,800","..","..","688,100","688,100","688,100","688,100","688,100","688,100","686,800","688,100"
"","South West","72,300","72,300","41,100","41,100","30,000","30,000","..","..","463,500","463,500","463,500","463,500","463,100","463,200","460,500","463,200"
"2010","North East","76,032","76,091","38,272","38,273","27,803","27,807","..","..","404,812","404,886","404,402","404,886","404,664","404,886","398,265","404,700"
"New","North West","164,056","164,067","97,395","97,395","75,153","75,158","..","..","901,672","901,739","897,015","901,739","901,528","901,739","896,009","901,447"
"method4","Yorkshire and the Humber","129,683","129,699","65,574","65,576","48,156","48,169","..","..","683,365","683,469","683,190","683,469","683,271","683,449","672,439","682,097"
"","East Midlands","85,515","85,515","44,220","44,220","32,485","32,485","..","..","463,486","463,486","461,310","463,486","463,453","463,486","456,095","463,486"
"","West Midlands","145,301","145,311","80,646","80,646","59,024","59,024","..","..","605,209","605,230","604,990","605,230","605,112","605,230","592,386","605,132"
"","East","94,652","94,652","49,922","49,923","34,890","34,890","..","..","487,496","487,536","482,693","487,536","487,507","487,536","469,840","487,536"
