"Region","Sport","Score","Option"
"West","All Options","14","9"
"","Football","4","2"
"","Cricket","1","3"
"","Hockey","2","1"
"","Rugby","5","1"
"","Golf","2","2"
"Central","All Options","18","11"
"","Football","5","2"
"","Cricket","3","3"
"","Hockey","4","1"
"","Rugby","1","1"
"","Golf","5","4"
"North","All Options","15","12"
"","Football","1","2"
"","Cricket","3","2"
"","Hockey","5","4"
"","Rugby","5","1"
"","Golf","1","3"
"East","All Options","10","14"
"","Football","4","1"
"","Cricket","2","2"
"","Hockey","2","5"
"","Rugby","1","5"
"","Golf","1","1"
