"","","","","Lives Saved Due to Mitigation Measures","","","","",""
"HIDDEN","","","","","","","","",""
"Selected","Int#","LiST#","","","Newborn Lives Saved","Child Lives Saved","Maternal Lives Saved","Total Lives Lost",""
"x","0","0","Family Planning","Contraceptive Use","3","3","4","7","Includes Impacts of Maternal age and birth order and Birth Intervals"
"x","9","14","Antenatal Care","Antenatal care (at least 1 visit)","-""""-","-""""-","-""""-","-""""-",""
"x","10","15","","Antenatal care (at least 4 visits)","-""""-","-""""-","-""""-","-""""-",""
"x","11","16","","TT - Tetanus toxoid vaccination","80","80","1","81",""
"x","12","17","","IPTp - Intermittent preventive treatment of malaria during pregnancy","-""""-","-""""-","-""""-","-""""-",""
"x","13","18","","Syphilis detection and treatment","-""""-","-""""-","-""""-","-""""-",""
"","14","19","","Calcium supplementation","-""""-","-""""-","-""""-","-""""-",""
"x","15","20","","Iron supplementation in pregnancy","-""""-","-""""-","-""""-","-""""-",""
"x","16","21","","Multiple micronutrient supplementation in pregnancy","-""""-","-""""-","-""""-","-""""-",""
"x","17","22","","Balanced energy supplementation","-""""-","-""""-","-""""-","-""""-",""
"x","18","23","","Hypertensive disorder case management","-""""-","-""""-","3","3",""
"x","19","24","","Diabetes case management","-""""-","-""""-","-""""-","-""""-",""
"x","20","25","","Malaria case management","-""""-","-""""-","1","1",""
"x","21","26","","MgSO4 management of pre-eclampsia","-""""-","-""""-","7","7",""
"x","22","27","Delivery Care","Health Facility Delivery","-""""-","-""""-","-""""-","-""""-",""
"x","23","28","","Clean birth environment","38","38","1","39",""
"x","24","32","","Manual removal of placenta","-""""-","-""""-","2","2",""
"x","25","33","","Parenteral administration of anti-convulsants","-""""-","-""""-","-""""-","-""""-",""
"x","26","34","","Antibiotics for preterm or prolonged PROM","21","21","1","22",""
"x","27","35","","Parenteral administration of antibiotics","21","21","3","24",""
"x","28","36","","Assisted vaginal delivery","26","26","-""""-","26",""
"x","29","38","","Parenteral administration of uterotonics","-""""-","-""""-","27","27",""
"x","30","39","","Removal of retained products of conception","-""""-","-""""-","2","2",""
"x","31","40","","Induction of labor for pregnancies lasting 41+ weeks","-""""-","-""""-","-""""-","-""""-",""
"x","32","41","","Antenatal corticosteroids for preterm labor","-""""-","-""""-","-""""-","-""""-",""
"x","33","65","","Maternal sepsis case management","-""""-","-""""-","-""""-","-""""-",""
"x","34","10","","Safe abortion services","-""""-","-""""-","1","1",""
"x","35","11","","Post abortion case management","-""""-","-""""-","-""""-","-""""-",""
"x","36","42","","Cesarean delivery","48","48","1","49",""
"x","37","43","","Blood transfusion","-""""-","-""""-","-""""-","-""""-",""
"","38","12","","Ectopic pregnancy case management","-""""-","-""""-","-""""-","-""""-",""
"x","39","29","Newborn Care","Immediate drying and additional stimulation","209","209","-""""-","209",""
"x","40","30","","Thermal protection","350","350","-""""-","350",""
"x","41","31","","Clean cord care","290","290","-""""-","290",""
"x","42","37","","Neonatal resuscitation","237","237","-""""-","237",""
"","43/44","66/67","","Case management of premature babies","-""""-","-""""-","-""""-","-""""-",""
"x","43","66","","Kangaroo-Mother Care (KMC)","","","","","Shown combined with Full supportive care"
"","44","67","","Full supportive care of prematurity","","","","","Shown combined with KMC"
"","45/46/47","68/69","","Case management of neonatal sepsis/pneumonia","1,220","1,220","-""""-","1,220",""
"x","45","68","","Oral antibiotics for neonatal sepsis","","","","","Shown combined in line 50"
"x","46","69","","Injectable antibiotics for neonatal sepsis","","","","",""
"","47","70","","Full supportive care for neonatal sepsis/pneumonia","","","","",""
"x","48","44","Breastfeeding","Breastfeeding","213","419","-""""-","419",""
"x","49","45","","Complementary feeding - Education only","-""""-","6","-""""-","6","Combines impact of Appropriate complementary feeding, reduction in stunting and wasting)"
"x","50","46","","Complementary feeding - Supplementary feeding + Education","","","","",""
"","51","55","Vaccines","BCG - Single dose","-""""-","-""""-","-""""-","-""""-",""
"x","52","56","","Polio - Three doses","-""""-","-""""-","-""""-","-""""-",""
