"Average hourly wages for selected occupations and areas for part-time workers by grouped work levels, civilian workers(1), 2023","","",""
"Selected occupations and areas","All levels","Entry","Experienced"
"","","",""
"31-1131 Nursing Assistants","","",""
"Charlotte-Concord-Gastonia, NC-SC"," $ 17.90 "," $ 17.90 ","–"
"Columbus, OH"," $ 19.64 "," $ 20.17 "," $ 18.91 "
"Indianapolis-Carmel-Anderson, IN"," $ 18.93 "," $ 19.40 "," $ 18.39 "
"Jacksonville, FL"," $ 18.50 "," $ 18.08 ","–"
"Milwaukee-Waukesha-West Allis, WI"," $ 20.08 "," $ 20.39 "," $ 19.91 "
"New York-Newark-Jersey City, NY-NJ-PA"," $ 22.19 "," $ 19.63 "," $ 22.91 "
"Omaha-Council Bluffs, NE-IA"," $ 19.22 "," $ 19.96 "," $ 18.32 "
"Portland-Vancouver-Hillsboro, OR-WA"," $ 24.08 "," $ 21.25 ","–"
"Sacramento--Roseville--Arden-Arcade, CA"," $ 25.31 "," $ 22.56 ","–"
"San Diego-Carlsbad, CA"," $ 23.87 "," $ 21.16 ","–"
"St. Louis, MO-IL"," $ 18.19 "," $ 18.84 "," $ 18.04 "
"Tampa-St. Petersburg-Clearwater, FL"," $ 18.36 "," $ 18.39 ","–"
"Virginia Beach-Norfolk-Newport News, VA-NC"," $ 17.33 "," $ 17.05 ","–"
"","","",""
"35-2021 Food Preparation Workers","","",""
"Charleston-North Charleston, SC"," $ 13.32 "," $ 12.88 "," $ 14.52 "
"Charlotte-Concord-Gastonia, NC-SC"," $ 13.56 "," $ 13.21 "," $ 14.49 "
"Columbus, OH"," $ 13.37 "," $ 13.41 ","–"
"Indianapolis-Carmel-Anderson, IN"," $ 13.56 "," $ 13.57 ","–"
"Jacksonville, FL"," $ 14.48 "," $ 14.21 "," $ 15.47 "
"Los Angeles-Long Beach-Anaheim, CA"," $ 18.60 "," $ 17.40 ","–"
"Milwaukee-Waukesha-West Allis, WI"," $ 13.18 "," $ 13.23 ","–"
"New York-Newark-Jersey City, NY-NJ-PA"," $ 17.75 "," $ 16.13 "," $ 18.46 "
"Portland-Vancouver-Hillsboro, OR-WA"," $ 18.57 "," $ 17.22 "," $ 19.04 "
"Sacramento--Roseville--Arden-Arcade, CA"," $ 19.20 "," $ 17.28 "," $ 19.84 "
"San Diego-Carlsbad, CA"," $ 19.03 "," $ 17.25 "," $ 19.66 "
"St. Louis, MO-IL"," $ 15.09 ","–","–"
"Tampa-St. Petersburg-Clearwater, FL"," $ 14.61 "," $ 14.37 "," $ 15.57 "
"Virginia Beach-Norfolk-Newport News, VA-NC"," $ 13.67 "," $ 13.58 "," $ 14.44 "
"","","",""
"35-3023 Fast Food and Counter Workers","","",""
"Charleston-North Charleston, SC"," $ 12.80 "," $ 12.65 "," $ 13.11 "
"Charlotte-Concord-Gastonia, NC-SC"," $ 13.26 "," $ 12.99 "," $ 14.05 "
"Columbus, OH"," $ 13.34 "," $ 12.77 "," $ 14.57 "
"Indianapolis-Carmel-Anderson, IN"," $ 13.09 "," $ 12.47 "," $ 14.37 "
"Jacksonville, FL"," $ 13.10 "," $ 13.01 "," $ 13.34 "
"Los Angeles-Long Beach-Anaheim, CA"," $ 16.99 "," $ 16.95 "," $ 17.07 "
"Milwaukee-Waukesha-West Allis, WI"," $ 12.72 "," $ 11.91 "," $ 14.52 "
"New York-Newark-Jersey City, NY-NJ-PA"," $ 16.08 "," $ 15.99 "," $ 17.10 "
