"Table 12: Scientific procedures (toxicology) by species of animal and type of toxicological test: safety testing of substances other than pharmaceuticals","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Great Britain 2011","","","","","","","","","","Number of procedures","","","","","","","","","","","","","","","",""
"Species of animal","Type of toxicological test or procedure","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Acute lethal
toxicity","Acute lethal
concentration","Acute limit setting","Acute non - lethal clinical sign","Subacute limit-setting or dose ranging","Subacute toxicity","Subchronic and chronic","Carcinogenicity","Genetic toxicology (includes mutagenicity)","Teratogenicity","","","","","","","","","","","","","","","",""
"  Mouse","-","-","  3,332 ","-","  155 ","  324 ","  456 ","  816 ","  1,118 ","-","","","","","","","","","","","","","","","",""
"  Rat","  70 ","  674 ","  2,999 ","  3,332 ","  1,573 ","  2,056 ","  2,454 ","  520 ","  419 ","  366 ","","","","","","","","","","","","","","","",""
"  All other rodents","-","-","  4 ","-","-","-","-","-","-","-","","","","","","","","","","","","","","","",""
"  Rabbit","-","-","-","-","  9 ","-","-","-","-","  251 ","","","","","","","","","","","","","","","",""
"  Dog","-","-","-","-","  3 ","  62 ","  64 ","-","-","-","","","","","","","","","","","","","","","",""
"  Horse and other equids","0","-","-","-","-","-","-","-","-","-","","","","","","","","","","","","","","","",""
"  Pigs, sheep & all other ungulates","-","-","-","-","-","-","-","-","-","-","","","","","","","","","","","","","","","",""
"All other mammals","0","-","-","-","-","-","-","-","-","-","","","","","","","","","","","","","","","",""
"  Bird","  308 ","  60 ","  182 ","-","  60 ","-","-","-","-","-","","","","","","","","","","","","","","","",""
"  Reptile / Amphibian","0","-","-","-","-","  400 ","-","-","-","-","","","","","","","","","","","","","","","",""
"  Fish","  105 ","  5,383 ","  1,897 ","-","  1,010 ","  2,701 ","  810 ","-","-","-","","","","","","","","","","","","","","","",""
"  Total","  483 ","  6,117 ","  8,414 ","  3,332 ","  2,810 ","  5,543 ","  3,784 ","  1,336 ","  1,537 ","  617 ","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
