"2009-2010 Award Year FFEL Volume by School","","","","","","","","","","","","","","","","","","","","","","","",""
"Award Year Quarterly Activity  (07/01/2009-09/30/2009)","","","","","","","","","","","","","","","","","","","","","","","",""
"Data Run: 4/5/2012","","","","","","","","","","","","","","","","","","","","","","","",""
" ","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","FFEL SUBSIDIZED","","","","","FFEL UNSUBSIDIZED","","","","","FFEL PARENT PLUS","","","","","FFEL GRAD PLUS","","","",""
"OPE ID","School","State","Zip Code","School Type","Recipients","# of Loans Originated","$ of Loans Originated","# of Disbursements","$ of Disbursements","Recipients","# of Loans Originated","$ of Loans Originated","# of Disbursements","$ of Disbursements","Recipients","# of Loans Originated","$ of Loans Originated","# of Disbursements","$ of Disbursements","Recipients","# of Loans Originated","$ of Loans Originated","# of Disbursements","$ of Disbursements"
"00106100","ALASKA PACIFIC UNIVERSITY","AK","995084672","PRIVATE","  291 ","  291 "," $ 1,546,994.00 ","292"," $ 830,513.00 ","  267 ","  271 "," $ 1,674,604.00 ","271"," $ 896,614.00 ","  31 ","  33 "," $ 386,770.00 ","35"," $ 192,181.00 ","  5 ","  5 "," $ 69,730.00 ","5"," $ 34,865.00 "
"00106300","UNIVERSITY OF ALASKA FAIRBANKS","AK","997757500","PUBLIC","  1,413 ","  1,434 "," $ 6,394,735.00 ","1,455"," $ 3,290,699.00 ","  1,472 ","  1,521 "," $ 8,806,921.00 ","1,542"," $ 4,472,224.00 ","  36 ","  40 "," $ 265,784.00 ","40"," $ 138,160.00 ","  4 ","  4 "," $ 68,620.00 ","4"," $ 28,988.00 "
"00106500","UNIVERSITY OF ALASKA SOUTHEAST","AK","998018680","PUBLIC","  406 ","  409 "," $ 1,866,473.00 ","439"," $ 1,044,946.00 ","  437 ","  448 "," $ 2,925,528.00 ","478"," $ 1,558,767.00 ","  8 ","  8 "," $ 88,046.00 ","8"," $ 44,024.00 ","0","0","0","0","0"
"01146200","UNIVERSITY OF ALASKA ANCHORAGE","AK","995088050","PUBLIC","  2,998 ","  3,042 "," $ 12,780,036.00 ","3,045"," $ 6,440,086.00 ","  3,343 ","  3,432 "," $ 20,274,742.00 ","3,435"," $ 10,219,443.00 ","  123 ","  125 "," $ 1,288,224.00 ","125"," $ 645,683.00 ","  9 ","  11 "," $ 43,878.00 ","11"," $ 24,063.00 "
"02541000","ALASKA CAREER COLLEGE","AK","995071033","PROPRIETARY","  38 ","  38 "," $ 103,869.00 ","38"," $ 52,178.00 ","  37 ","  37 "," $ 134,553.00 ","37"," $ 67,331.00 ","0","0","0","0","0","0","0","0","0","0"
"02576900","CHARTER COLLEGE","AK","995084103","PROPRIETARY","  192 ","  192 "," $ 516,838.00 ","193"," $ 255,514.00 ","  206 ","  322 "," $ 653,151.00 ","328"," $ 298,655.00 ","  4 ","  4 "," $ 20,866.00 ","5"," $ 12,783.00 ","0","0","0","0","0"
"03160300","AVTEC - ALASKA'S INSTITUTE OF TECHNOLOGY","AK","996640889","PUBLIC","  28 ","  28 "," $ 91,694.00 ","28"," $ 43,507.00 ","  42 ","  42 "," $ 197,864.00 ","42"," $ 94,351.00 ","  2 ","  2 "," $ 17,276.00 ","2"," $ 8,638.00 ","0","0","0","0","0"
"00100200","ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY","AL","357621357","PUBLIC","  2,675 ","  2,692 "," $ 12,343,721.00 ","2,701"," $ 6,178,188.00 ","  2,801 ","  2,968 "," $ 14,208,634.00 ","3,035"," $ 7,100,249.00 ","  231 ","  236 "," $ 1,744,374.00 ","239"," $ 927,673.00 ","  2 ","  2 "," $ 9,524.00 ","2"," $ 6,262.00 "
"00100300","FAULKNER UNIVERSITY","AL","361093398","PRIVATE","  1,392 ","  1,403 "," $ 6,244,282.00 ","1,426"," $ 3,470,561.00 ","  1,228 ","  1,254 "," $ 7,295,546.00 ","1,278"," $ 3,788,949.00 ","  78 ","  78 "," $ 611,850.00 ","79"," $ 347,361.00 ","  188 ","  203 "," $ 4,204,847.00 ","208"," $ 2,143,612.00 "
"00100400","UNIVERSITY OF MONTEVALLO","AL","351156000","PUBLIC","  1,172 ","  1,201 "," $ 5,291,490.00 ","1,201"," $ 2,700,158.00 ","  1,275 ","  1,351 "," $ 6,345,947.00 ","1,351"," $ 3,224,176.00 ","  56 ","  57 "," $ 323,056.00 ","57"," $ 178,279.00 ","0","0","0","0","0"
"00100700","CENTRAL ALABAMA COMMUNITY COLLEGE","AL","350110000","PUBLIC","  481 ","  487 "," $ 1,656,341.00 ","616"," $ 973,931.00 ","  416 ","  419 "," $ 1,590,900.00 ","487"," $ 747,118.00 ","0","0","0","0","0","0","0","0","0","0"
"00101200","BIRMINGHAM SOUTHERN COLLEGE","AL","352540002","PRIVATE","  441 ","  447 "," $ 1,798,128.00 ","448"," $ 934,808.00 ","  483 ","  524 "," $ 1,902,764.00 ","524"," $ 978,463.00 ","  127 ","  132 "," $ 1,732,080.00 ","132"," $ 896,559.00 ","0","0","0","0","0"
"00101500","ENTERPRISE STATE COMMUNITY COLLEGE","AL","363311300","PUBLIC","  303 ","  304 "," $ 934,811.00 ","305"," $ 418,035.00 ","  139 ","  139 "," $ 433,285.00 ","140"," $ 199,909.00 ","  1 ","  1 "," $ 9,000.00 ","1"," $ 3,000.00 ","0","0","0","0","0"
