"","","","Total bankruptcies","","Self employment status","","","","","","","","","","","",""
""," ","","","","Self employed2","","","","Other individuals","","","","","","","",""
"Period"," ","","","","No.","","%","","No.","","%","","","","","",""
"2010","","","59,173"," ","8,144"," ","13.8","","51,029"," ","86.2","","","","","",""
"2011","","","41,876"," ","8,893"," ","21.2","","32,983"," ","78.8","","","","","",""
"2012","","","31,787"," ","7,523"," ","23.7","","24,264"," ","76.3","","","","","",""
"2013","","","24,571"," ","5,999"," ","24.4","","18,572"," ","75.6","","","","","",""
"2014","","","20,345"," ","4,956"," ","24.4","","15,389"," ","75.6","","","","","",""
"2015","","","15,845"," ","3,904"," ","24.6","","11,941"," ","75.4","","","","","",""
"2016","","","15,044"," ","3,680"," ","24.5","","11,364"," ","75.5","","","","","",""
"2017","","","15,106"," ","3,489"," ","23.1","","11,616","","76.9","","","","","",""
"2018","","","16,640"," ","3,762"," ","22.7","","12,840","","77.3","","","","","",""
"2019","","","16,740"," ",":","",":","",":","",":","","","","","",""
"","","",""," ",""," ","","",""," ","","","","","","",""
"2010","Q1","","18,256"," ","2,316"," ","13","","15,940"," ","87","","","","","",""
"","Q2","","14,982"," ","1,911"," ","13","","13,071"," ","87","","","","","",""
"","Q3","","13,907"," ","1,650"," ","12","","12,257"," ","88","","","","","",""
"","Q4","","12,028"," ","2,267"," ","19","","9,761"," ","81","","","","","",""
"","","",""," ",""," ","","",""," ","","","","","","",""
"2011","Q1","","12,594"," ","2,579"," ","21","","10,015"," ","80","","","","","",""
"","Q2","","11,098"," ","2,324"," ","21","","8,774"," ","79","","","","","",""
"","Q3","","9,575"," ","2,035"," ","21","","7,540"," ","79","","","","","",""
"","Q4","","8,661"," ","1,955"," ","23","","6,706"," ","77","","","","","",""
"","","",""," ",""," ","","",""," ","","","","","","",""
"2012","Q1","","9,124"," ","2,161"," ","24","","6,963"," ","76","","","","","",""
"","Q2","","8,092"," ","1,903"," ","24","","6,189"," ","77","","","","","",""
"","Q3","","7,639"," ","1,770"," ","23","","5,869"," ","77","","","","","",""
"","Q4","","6,920"," ","1,689"," ","24","","5,231"," ","76","","","","","",""
"","","",""," ",""," ","","",""," ","","","","","","",""
"2013","Q1","","6,674"," ","1,643"," ","25","","5,031"," ","75","","","","","",""
"","Q2","","6,477"," ","1,628"," ","25","","4,849"," ","75","","","","","",""
"","Q3","","6,009"," ","1,473"," ","25","","4,536"," ","76","","","","","",""
"","Q4","","5,405"," ","1,255"," ","23","","4,150"," ","77","","","","","",""
"","","",""," ",""," ","","",""," ","","","","","","",""
"2014","Q1","","5,684"," ","1,467"," ","26","","4,217"," ","74","","","","","",""
"","Q2","","5,472"," ","1,381"," ","25","","4,091"," ","75","","","","","",""
"","Q3","","4,905"," ","1,139"," ","23","","3,766"," ","77","","","","","",""
"","Q4","","4,278"," ","969"," ","23","","3,309"," ","77","","","","","",""
"","","",""," ",""," ","","",""," ","","","","","","",""
"2015","Q1","","4,410"," ","1,117"," ","25","","3,293"," ","75","","","","","",""
"","Q2","","3,974"," ","938"," ","24","","3,036"," ","76","","","","","",""
"","Q3","","3,894"," ","918"," ","24","","2,976"," ","76","","","","","",""
"","Q4","","3,571"," ","931"," ","26","","2,640"," ","74","","","","","",""
"","","",""," ",""," ","","",""," ","","","","","","",""
"2016","Q1","","3,780"," ","913"," ","24","","2,867"," ","76","","","","","",""
"","Q2","","3,708"," ","920"," ","25","","2,788"," ","75","","","","","",""
"","Q3","","3,936"," ","940"," ","24","","2,996"," ","76","","","","","",""
