"Instrument Serial Number - 3630070145","","","",""
"Software Name - CellCycle","","","",""
"Version Number - 2.5","","","",""
"","","","",""
"","","M1","M2","M3"
""," Day 0 Control 1","22.22","9.52","61.90"
""," Day 0 Control 2","43.75","18.75","34.38"
""," Day 0 Control 3","49.02","21.57","29.41"
"avg","","46.39","20.16","31.90"
"st.dev","","11.59","5.15","14.29"
""," Day 1 Control 1","45.92","29.18","19.31"
""," Day 1 Control 2","45.42","20.08","33.53"
""," Day 1 Control 3","50.35","23.44","25.17"
"avg","","47.23","24.23","26.00"
"st.dev","","2.22","3.76","5.84"
""," Day 1 IR 1","53.78","21.12","24.30"
""," Day 1 IR 2","54.76","21.19","23.57"
""," Day 1 IR 3","51.99","20.53","26.16"
"avg","","53.51","20.95","24.68"
"st.dev","","1.15","0.30","1.09"
""," Day 3 Control 1","46.09","28.81","24.69"
""," Day 3 Control 2","44.62","34.15","20.92"
""," Day 3 Control 3","44.22","36.68","18.59"
"avg","","44.98","33.21","21.40"
"st.dev","","0.80","3.28","2.51"
""," Day 3 IR 1","52.57","19.43","27.43"
""," Day 3 IR 2","48.46","32.31","19.23"
""," Day 3 IR 3","53.93","28.09","17.98"
"avg","","51.65","26.61","21.55"
"st.dev","","2.33","5.36","4.19"
