"","","JSA Adverse Decision Level","","","","","","","","",""
"","","Low","","","Intermediate","","","High","","",""
"","","1st Sanction","2nd Sanction","3rd Sanction or more","1st Sanction","2nd Sanction","3rd Sanction or more","1st Sanction","2nd Sanction","3rd Sanction or more",""
"","GREAT BRITAIN","218,366","46,915","30,599","180,842","39,502","12,283","62,186","3,638","962",""
"Age Group","16-17 years of age","277","37","5","188","25"," -","35"," -"," -",""
"","18-24 years of age","94,726","23,071","15,293","67,361","14,451","4,514","24,593","1,844","515",""
"","25-29  years of age","35,309","8,312","5,357","25,999","5,716","1,568","10,576","532","152",""
"","30-34  years of age","24,098","4,994","3,526","19,177","4,126","1,222","6,679","342","103",""
"","35-39  years of age","17,563","3,483","2,431","15,595","3,529","1,128","4,813","266","55",""
"","40-44 years of age","16,080","3,166","2,112","15,529","3,611","1,134","4,709","237","42",""
"","45-49 years of age","13,385","2,501","1,678","14,361","3,393","1,219","4,276","207","47",""
"","50-54 years of age","9,370","1,512","1,019","11,225","2,640","1,000","3,463","135","39",""
"","55-59 years of age","5,657","848","508","8,537","2,040","799","2,273","96","25",""
"","60 and over ","1,607","203","123","2,573","575","206","703","23","5",""
"","Unknown","299","75","47","296","79","35","66","5"," -",""
"","","","","","","","","","","",""
"Ethnicity","White","162,001","35,333","23,895","130,278","27,868","8,602","49,393","2,851","759",""
"","Asian or Asian British","12,855","2,407","1,283","13,498","3,199","1,089","3,278","232","58",""
"","Black or Black British","17,103","4,143","2,444","13,689","2,783","819","2,859","196","43",""
"","Mixed","5,631","1,420","798","4,060","799","257","1,124","69","19",""
"","Other/ Chinese","4,410","784","400","5,534","1,397","655","1,007","79","19",""
"","Unknown","16,365","3,469","2,247","13,783","3,846","1,356","4,533","325","103",""
"","","","","","","","","","","",""
"Gender","Male","157,743","35,973","23,864","128,597","28,874","9,158","41,971","2,702","737",""
"","Female","60,608","10,947","6,737","52,239","10,628","3,126","20,212","934","231",""
"","Unknown","12"," -"," -","5"," -"," -"," -"," -"," -",""
"","","","","","","","","","","",""
"Disability","Disability - Yes","41,680","8,999","6,057","38,869","9,087","3,022","8,446","585","164",""
"","Disability - No","176,657","37,917","24,537","141,953","30,415","9,258","53,734","3,053","802",""
"","Unknown","23"," -"," -","16"," -"," -"," -"," -"," -",""
"","","","","","","","","","","",""
"Regional Group","Central England","45,499","9,041","5,477","39,635","11,687","4,005","14,863","898","259",""
"","London and the Home Counties","49,992","10,749","6,344","42,230","7,482","1,968","10,845","503","97",""
"","North East","37,662","8,747","6,748","28,096","5,964","1,968","8,532","514","127",""
"","North West","33,524","8,127","5,484","24,617","4,987","1,542","6,818","243","69",""
"","Scotland","19,901","4,400","2,974","16,582","3,574","892","6,547","310","63",""
"","Southern England","20,306","3,713","2,350","21,384","4,199","1,546","11,275","979","297",""
"","Wales","11,111","2,364","1,373","8,073","1,745","486","3,224","192","59",""
"","Unknown","362","169","226","213","83","24","85","13","-",""
"","","","","","","","","","","",""
"Lone Parent","Lone Parent - Yes","15,007","2,776","1,684","13,431","3,120","954","2,400","126","24",""
"","Lone Parent - No","203,355","44,500","29,232","167,410","36,775","11,569","59,786","3,525","942",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Source: Decision Making and Appeals System (DMAS), via Stat-Xplore","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Cells in this table have been randomly adjusted to avoid the release of confidential data.  Due to adjustments totals may not be the sum of the individual cells.","","","","","","","","","","",""
"Tables based on individuals show a count of how many individuals have received a sanction decision.","","","","","","","","","","",""
"An individual may receive more than one sanction decision in any given period.","","","","","","","","","","",""
"An adverse decision is a decision found against the claimant, i.e. a sanction or disallowance is applied.","","","","","","","","","","",""
"Users should not sum the cells in a table to obtain the overall number of individuals as an individual may appear in a table more than once.  Always use the ""Total"" within the table to obtain this number.","","","","","","","","","","",""
"""-"" denotes a nil or negligible value","","","","","","","","","","",""
