"Table A-7. Time spent in primary activities 1 by married mothers and fathers with own household children under 18 by employment status of self and spouse and age of youngest child, average for the combined years 2009-13","","","","","","","","","","","",""
"Activity","Average hours per day","","","","","","Differences in married mothers' and fathers' time use on an average day (hours) 2","","","","",""
"","Both spouses work full time","","Mother employed part time and father employed full time","","Mother not employed and father employed full time","","Both spouses work full time","Mother employed part time and father employed full time","Mother not employed and father employed full time","","",""
"","Mothers","Fathers","Mothers","Fathers","Mothers","Fathers","","","","","",""
"Own household children under 18","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"Total, all activities ","24.00","24.00","24.00","24.00","24.00","24.00","0.00","0.00","0.00","","",""
"  Personal care activities","8.98","8.61","9.17","8.61","9.56","8.78","0.37","0.56","0.78","","",""
"      Sleeping","8.14","8.00","8.42","8.02","8.92","8.17","0.14","0.40","0.75","","",""
"  Household activities","1.91","1.30","2.69","1.20","3.50","1.00","0.60","1.49","2.49","","",""
"      Housework","0.78","0.25","1.13","0.21","1.57","0.20","0.53","0.92","1.37","","",""
"      Food preparation and cleanup","0.81","0.39","1.06","0.34","1.47","0.28","0.42","0.72","1.20","","",""
"      Lawn and garden care","0.06","0.23","0.12","0.18","0.13","0.17","-0.16","-0.06","-0.04","","",""
"  Purchasing goods and services","0.51","0.32","0.64","0.32","0.68","0.37","0.19","0.31","0.31","","",""
"      Grocery shopping","0.13","0.07","0.17","0.07","0.20","0.08","0.06","0.09","0.11","","",""
"      Consumer goods purchases, except grocery shopping","0.31","0.20","0.37","0.20","0.37","0.24","0.11","0.16","0.13","","",""
"  Caring for and helping household members","1.36","0.90","1.83","0.92","2.59","0.85","0.46","0.91","1.75","","",""
"      Caring for and helping household children","1.35","0.88","1.81","0.91","2.57","0.82","0.47","0.90","1.75","","",""
"           Physical care","0.57","0.26","0.70","0.28","0.99","0.26","0.31","0.42","0.72","","",""
"           Education-related activities","0.12","0.09","0.17","0.07","0.30","0.05","0.03","0.10","0.25","","",""
"           Reading to/with children","0.05","0.03","0.07","0.03","0.08","0.03","0.02","0.04","0.04","","",""
"           Playing/doing hobbies with children","0.26","0.26","0.34","0.31","0.64","0.32","0.00","0.02","0.32","","",""
"  Working and work-related activities 3","5.21","6.06","2.69","5.95","0.11","6.19","-0.85","-3.26","-6.08","","",""
"      Working 3","5.18","6.03","2.64","5.91","0.04","6.16","-0.84","-3.27","-6.12","","",""
"  Leisure and sports","2.93","3.66","3.41","3.69","4.03","3.56","-0.72","-0.28","0.48","","",""
"      Socializing and communicating","0.60","0.59","0.78","0.61","0.82","0.57","0.02","0.17","0.25","","",""
"      Watching television","1.50","2.09","1.59","1.99","2.10","2.03","-0.58","-0.40","0.07","","",""
"      Participating in sports, exercise, and recreation","0.20","0.28","0.24","0.34","0.24","0.30","-0.08","-0.10","-0.06","","",""
"  Travel  ","1.36","1.45","1.43","1.47","1.14","1.39","-0.09","-0.05","-0.25","","",""
"Travel related to caring for and helping household children","0.25","0.15","0.30","0.12","0.30","0.10","0.10","0.19","0.20","","",""
"  Other activities, not elsewhere classified","1.74","1.70","2.14","1.83","2.39","1.86","0.04","0.30","0.53","","",""
"","","","","","","","","","","","",""
"Own household children, youngest under 6","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"Total, all activities ","24.00","24.00","24.00","24.00","24.00","24.00","0.00","0.00","0.00","","",""
"  Personal care activities","8.98","8.58","9.05","8.41","9.56","8.72","0.40","0.64","0.84","","",""
"      Sleeping","8.19","8.04","8.37","7.89","9.00","8.14","0.16","0.48","0.85","","",""
"  Household activities","1.68","1.18","2.47","1.22","3.25","0.96","0.49","1.26","2.29","","",""
"      Housework","0.68","0.24","1.06","0.26","1.42","0.22","0.45","0.79","1.20","","",""
"      Food preparation and cleanup","0.76","0.41","1.07","0.38","1.47","0.28","0.35","0.69","1.19","","",""
"      Lawn and garden care","0.05","0.17","0.08","0.16","0.08","0.13","-0.13","-0.08","-0.04","","",""
"  Purchasing goods and services","0.49","0.35","0.57","0.29","0.61","0.41","0.14","0.29","0.20","","",""
"      Grocery shopping","0.13","0.08","0.15","0.08","0.17","0.09","0.05","0.07","0.08","","",""
"      Consumer goods purchases, except grocery shopping","0.30","0.21","0.31","0.18","0.34","0.26","0.09","0.13","0.08","","",""
"  Caring for and helping household members","2.15","1.45","2.72","1.46","3.37","1.17","0.69","1.27","2.20","","",""
"      Caring for and helping household children","2.13","1.43","2.70","1.45","3.35","1.16","0.71","1.25","2.19","","",""
