"Category","Line Item","Quantity","Unit","Unit Price","Tax","Total"
"Section","Main House","","","","",""
"Flashing","Step flashing","15","LF","8.14","1.66","123.76"
"Underlayment","Ice & water shield","10","SF","1.65","0.26","16.75"
"Edge","Valley metal","25","LF","4.34","2.76","111.26"
"Edge","Gravel stop","15","LF","1.64","0.64","25.24"
"Edge","Rake Edge","1.5","LF","1.84","0.06","2.82"
"Flashing","Step flashing","23","LF","8.14","2.54","189.76"
"Total","","","","","7.92","469.60"
"Section","Shed","","","","",""
"Flashing","R&R Chimney flashing - small (24"" x 24"")","2","EA","242.28","4.15","488.71"
"Underlayment","Roofing felt - 15 lb.","3","SQ","25.97","1.38","79.29"
"Total","","","","","5.53","568.00"
"","","","","","",""
"Grand Total","","","","","13.45","1037.60"
