"RSDI Improper Payments Experience FY 2007 – FY 2017","","","","","","","","","","",""
"($ in millions)","","","","","","","","","","",""
"","FY 2007","FY 2008","FY 2009","FY 2010","FY 2011","FY 2012","FY 2013","FY 2014","FY 2015","FY 2016","FY 2017"
"Total Payments","","","","","","","","","","",""
"Dollars","$576,800 ","$607,210 ","$659,565 ","$695,469 ","$716,951 ","$770,288 ","$824,191 ","$862,719 ","$853,689 ","$911,200 ","$910,010 "
"","","","","","","","","","","",""
"Underpayments","","","","","","","","","","",""
"Dollars","$754 ","$495 ","$619 ","$1,788 ","$946 ","$740 ","$1,099 ","$472 ","$572 ","$670 ","$294 "
"","","","","","","","","","","",""
"Target Rate","≤0.20%","≤0.20%","≤0.20%","≤0.20%","≤0.20%","≤0.20%","≤0.20%","≤0.20%","≤0.20%","≤0.20%","≤0.20%"
"Actual Rate","0.13%","0.08%","0.09%","0.25%","0.13%","0.10%","0.13%","0.05%","0.07%","0.07%","0.03%"
"Overpayments","","","","","","","","","","",""
"Dollars","$1,209 ","$2,041 ","$2,547 ","$2,722 ","$2,277 ","$1,708 ","$1,852 ","$4,566 ","$3,100 ","$1,908 ","$5,864 "
"Target Rate","≤0.20%","≤0.20%","≤0.20%","≤0.20%","≤0.20%","≤0.20%","≤0.20%","≤0.20%","≤0.20%","≤0.20%","≤0.20%"
"Actual Rate","0.21%","0.34%","0.37%","0.39%","0.32%","0.22%","0.22%","0.53%","0.36%","0.21%","0.64%"
