"Department for Transport statistics","","","","","","","","","","","","","","","","",""
"Accessibility Statistics (http://www.dft.gov.uk/statistics/series/accessibility/)","","","","","","","","","","","","","","","","",""
"Table ACS0219","","","","","","","","","","","","","","","","",""
"At risk user1 with access to key services within lower2 and upper2 threshold by composite mode3, region, England, 2007 to 2013","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","Number/Percentage"
"","","Key services","","","","","","","","","","","","","","",""
"","","Employment","","Primary school","","Secondary school","","Further Education4","","GP","","Hospital","","Food store","","Town Centres",""
"Year","Region","Lower threshold2","Upper threshold2","Lower threshold2","Upper threshold2","Lower threshold2","Upper threshold2","Lower threshold2","Upper threshold2","Lower threshold2","Upper threshold2","Lower threshold2","Upper threshold2","Lower threshold2","Upper threshold2","Lower threshold2","Upper threshold2"
"Number of people with access within threshold","","","","","","","","","","","","","","","","",""
"2007","North East","48,200","48,600","..","..","26,900","28,100","..","..","..","..","..","..","387,800","391,700","..",".."
"","North West","107,900","108,900","..","..","74,600","76,700","..","..","..","..","..","..","868,300","875,000","..",".."
"","Yorkshire and the Humber","80,700","82,200","..","..","44,400","47,300","..","..","..","..","..","..","632,700","641,900","..",".."
"","East Midlands","56,500","58,500","..","..","27,300","29,500","..","..","..","..","..","..","424,200","434,500","..",".."
"","West Midlands","99,600","101,000","..","..","55,300","56,800","..","..","..","..","..","..","580,400","587,700","..",".."
"","East","57,400","60,000","..","..","28,700","32,300","..","..","..","..","..","..","440,300","454,200","..",".."
"","London","144,300","144,400","..","..","94,900","97,000","..","..","..","..","..","..","1,170,200","1,173,300","..",".."
"","South East","69,500","71,400","..","..","35,900","39,800","..","..","..","..","..","..","638,800","652,900","..",".."
"","South West","40,100","42,000","..","..","22,600","25,500","..","..","..","..","..","..","420,700","432,400","..",".."
"2008","North East","63,900","65,200","..","..","25,200","26,400","..","..","..","..","..","..","388,700","392,200","..",".."
"","North West","142,200","143,000","..","..","71,300","73,700","..","..","..","..","..","..","866,200","873,000","..",".."
"","Yorkshire and the Humber","105,600","106,800","..","..","43,100","46,300","..","..","..","..","..","..","634,700","644,100","..",".."
"","East Midlands","73,000","74,000","..","..","26,200","28,500","..","..","..","..","..","..","426,100","435,100","..",".."
"","West Midlands","125,600","127,100","..","..","53,100","54,900","..","..","..","..","..","..","578,900","586,400","..",".."
"","East","75,500","77,800","..","..","27,300","30,700","..","..","..","..","..","..","440,200","455,100","..",".."
"","London","149,000","149,100","..","..","93,100","94,900","..","..","..","..","..","..","1,163,500","1,166,200","..",".."
"","South East","97,400","98,800","..","..","34,400","39,000","..","..","..","..","..","..","637,700","652,900","..",".."
"","South West","59,700","61,300","..","..","23,000","26,000","..","..","..","..","..","..","421,700","432,600","..",".."
"2009","North East","80,800","82,300","..","..","25,600","26,700","..","..","..","..","..","..","404,100","407,000","270,400","383,400"
"","North West","184,700","185,600","..","..","71,200","73,300","..","..","..","..","..","..","902,600","909,400","716,000","893,800"
"","Yorkshire and the Humber","142,200","143,900","..","..","43,600","45,900","..","..","..","..","..","..","677,400","686,100","416,900","649,200"
"","East Midlands","99,400","100,900","..","..","27,600","30,100","..","..","..","..","..","..","459,100","467,000","264,800","429,600"
"","West Midlands","165,800","167,600","..","..","53,700","55,100","..","..","..","..","..","..","604,500","611,500","447,500","590,200"
"","East","104,500","107,500","..","..","28,100","31,200","..","..","..","..","..","..","471,000","485,100","296,500","440,900"
"","London","203,900","204,100","..","..","94,600","95,800","..","..","..","..","..","..","1,231,700","1,233,600","1,075,100","1,228,100"
"","South East","141,100","143,000","..","..","36,400","40,400","..","..","..","..","..","..","674,900","688,800","477,700","659,100"
"","South West","80,200","82,300","..","..","23,700","26,600","..","..","..","..","..","..","450,300","461,200","297,000","428,600"
"2010","North East","74,000","75,900","..","..","26,400","27,700","..","..","..","..","..","..","401,600","404,500","261,000","380,300"
"","North West","162,700","163,800","..","..","71,900","75,000","..","..","..","..","..","..","892,600","900,600","684,400","882,600"
"","Yorkshire and the Humber","127,900","129,300","..","..","44,900","47,900","..","..","..","..","..","..","673,600","681,900","403,300","641,100"
"","East Midlands","83,500","85,200","..","..","29,100","32,100","..","..","..","..","..","..","453,100","462,000","264,000","419,700"
"","West Midlands","143,200","144,900","..","..","56,500","58,800","..","..","..","..","..","..","597,400","604,000","430,500","580,100"
"","East","90,900","94,300","..","..","30,300","34,200","..","..","..","..","..","..","473,700","486,000","298,300","446,200"
"","London","190,900","191,000","..","..","96,300","97,600","..","..","..","..","..","..","1,242,400","1,246,800","1,053,600","1,240,700"
"","South East","116,200","118,500","..","..","38,400","43,300","..","..","..","..","..","..","673,200","686,400","465,500","653,800"
"","South West","69,600","71,700","..","..","25,900","29,400","..","..","..","..","..","..","448,200","460,000","299,500","429,000"
"2011","North East","62,800","65,200","..","..","26,100","27,700","..","..","..","..","..","..","404,800","407,700","260,700","380,800"
"","North West","141,200","142,900","..","..","71,600","75,000","..","..","..","..","..","..","899,300","907,600","674,100","889,200"
"","Yorkshire and the Humber","104,900","106,700","..","..","44,500","47,900","..","..","..","..","..","..","683,000","691,200","395,700","644,700"
"","East Midlands","71,200","73,700","..","..","28,900","32,000","..","..","..","..","..","..","457,600","466,900","259,900","421,800"
"","West Midlands","124,500","126,900","..","..","56,000","58,700","..","..","..","..","..","..","601,400","608,600","411,200","581,900"
"","East","74,100","77,500","..","..","30,000","34,000","..","..","..","..","..","..","478,500","491,800","295,300","449,700"
"","London","148,600","149,100","..","..","96,200","97,600","..","..","..","..","..","..","1,256,600","1,260,800","1,054,200","1,254,300"
"","South East","96,500","98,600","..","..","37,600","43,300","..","..","..","..","..","..","678,900","693,900","460,500","658,300"
"","South West","58,700","61,100","..","..","25,600","29,200","..","..","..","..","..","..","451,800","465,100","292,900","428,700"
"2011","North East","63,300","65,200","38,100","38,200","26,700","27,800","..","..","405,400","408,000","344,400","405,800","406,200","407,800","276,200","382,400"
"Revised6","North West","142,200","143,100","97,300","97,400","74,300","75,100","..","..","897,800","907,500","713,400","898,900","904,200","908,000","728,300","896,700"
"","Yorkshire and the Humber","105,500","106,800","65,400","65,500","46,900","47,900","..","..","683,900","691,500","519,000","675,900","686,900","691,500","437,500","649,800"
"","East Midlands","72,200","73,900","44,000","44,200","30,500","32,200","..","..","457,000","468,100","333,800","442,700","460,600","468,100","293,300","430,700"
"","West Midlands","125,800","127,100","80,400","80,600","57,700","58,800","..","..","601,700","608,900","487,400","589,500","604,200","609,000","452,600","592,100"
"","East","75,000","77,700","49,500","49,900","31,900","34,400","..","..","474,400","492,400","298,900","421,500","482,700","492,700","332,500","457,700"
