"raw clone size data used for Figure 1e, 2c, 5d, Extended Data Figures 5e,f, 11c,d for BRCA1,P53 confetti mouse model","","","","","","","","","","","","","Transformed clones","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"time point","14 days","","","","","","","","","","64 days","","","","","","","","","","120 days","","","","","","","","","","","","225 days","","","","","","","","","","","","","",""
"","mouse 1","","mouse 2","","mouse 3","","mouse 4","","TOTAL luminal","TOTAL basal","mouse 1","","mouse 2","","mouse 3","","mouse 4","","TOTAL luminal","TOTAL basal","mouse 1","","mouse 2","","mouse 3","","mouse 4","","mouse 5","","TOTAL luminal","TOTAL basal","mouse 1","","mouse 2","","mouse 3","","mouse 4","","mouse 5","","mouse 6","","TOTAL luminal","TOTAL basal",""
"Clone number","115","46","227","43","90","22","146","18","578","129","76","12","124","23","92","16","95","6","387","57","87","8","20","2","129","10","59","11","97","8","392","39","38","8","18","4","5","0","36","4","24","12","14","0","135","28",""
"","Luminal","Basal","Luminal","Basal","Luminal","Basal","Luminal","Basal","","","Luminal","Basal","Luminal","Basal","Luminal","Basal","Luminal","Basal","","","Luminal","Basal","Luminal","Basal","Luminal","Basal","Luminal","Basal","Luminal","Basal","","","Luminal","Basal","Luminal","Basal","Luminal","Basal","Luminal","Basal","Luminal","Basal","Luminal","Basal","","",""
"","1","2","5","3","2","2","1","1","","","44","1","16","13","29","1","1","26","","","479","28","606","62","43","16","2","9","107","22","","","4803","9","319","81","31","","3214","15","70","37","1157","","","",""
"","3","1","1","1","1","1","1","2","","","15","1","3","60","3","2","1","7","","","1035","9","108","37","7","12","13","4","1964","44","","","858","13","845","20","2066","","1586","5","1809","35","3471","","","",""
"","2","2","1","6","1","1","1","1","","","3","1","720","2","35","16","2","13","","","1216","9","115","","1821","60","30","6","66","35","","","40","25","49","46","1697","","109","117","3557","45","2931","","","",""
"","1","2","3","1","2","1","1","2","","","1","1","284","8","19","24","4","11","","","413","50","32","","35","3","20","406","201","42","","","1755","1","17","102","926","","1762","7","647","4286","634","","","",""
"","1","1","5","14","1","1","1","1","","","90","2","8","3","5","8","165","12","","","591","37","8","","4","9","2","15","194","255","","","2117","3","2","","8571","","4334","","318","7","175","","","",""
"","30","5","15","5","2","1","1","2","","","20","4","9","5","9","1","9","13","","","407","14","732","","3","120","1","20","157","430","","","78","71","488","","","","855","","717","9","112","","","",""
"","4","1","5","3","1","2","1","2","","","81","2","703","2","3","6","1","","","","3463","3","9","","1","3","3","8","745","9","","","55","18","4","","","","1013","","561","2","935","","","",""
"","19","3","2","5","2","1","2","1","","","20","12","65","19","30","2","40","","","","920","1","166","","4","17","9","2","1026","5","","","290","19","1","","","","439","","807","2070","552","","","",""
"","10","1","1","3","1","2","1","2","","","1","17","60","2","3","1","135","","","","74","","34","","8","2","1219","3","160","","","","7","","1","","","","316","","476","89","1620","","","",""
"","8","2","2","1","2","1","2","2","","","73","12","5","1","59","7","700","","","","282","","565","","220","30","33","2","72","","","","3","","2","","","","667","","253","17","7","","","",""
"","1","4","4","5","3","1","1","1","","","1","13","1","12","5","24","737","","","","387","","275","","2","","2","29","153","","","","30","","809","","","","857","","619","705","221","","","",""
"","1","1","1","4","2","1","2","4","","","1","3","2","7","1","6","1","","","","672","","8","","1115","","1","","196","","","","2","","541","","","","3","","474","3929","3386","","","",""
"","3","2","1","1","3","1","2","2","","","56","","3","26","140","21","1","","","","9","","236","","6","","2","","99","","","","3","","818","","","","10","","7","","2443","","","",""
"","9","7","5","2","1","3","2","4","","","2","","450","23","11","5","1","","","","23","","58","","9","","2","","83","","","","20","","493","","","","717","","8","","2614","","","",""
"","3","4","2","1","1","1","1","2","","","315","","119","13","2","8","58","","","","2","","684","","2","","2","","1","","","","5","","177","","","","1007","","359","","","","","",""
"","2","2","1","1","1","1","1","1","","","13","","25","9","1","2","112","","","","27","","887","","2","","58","","1","","","","37","","37714","","","","2751","","455","","","","","",""
"","2","3","2","2","1","1","1","2","","","43","","41","3","1","","262","","","","13","","102","","256","","4","","2","","","","100","","723","","","","718","","491","","","","","",""
"","2","6","1","2","2","1","1","2","","","2","","55","12","17","","45","","","","17","","99","","102","","1","","3","","","","27","","1954","","","","3","","5302","","","","","",""
"","3","5","2","3","1","1","1","","","","1","","13","45","9","","3","","","","146","","223","","131","","2","","683","","","","1440","","","","","","16","","238","","","","","",""
"","1","2","3","2","27","1","1","","","","1","","12","1162","30","","1","","","","785","","35","","94","","15","","453","","","","20","","","","","","136","","1071","","","","","",""
"","1","2","2","4","23","1","4","","","","1","","56","20","75","","1","","","","26","","","","199","","2399","","347","","","","62","","","","","","300","","1911","","","","","",""
"","3","2","2","1","2","1","1","","","","1","","13","5","18","","424","","","","314","","","","486","","5","","131","","","","6","","","","","","951","","338","","","","","",""
"","6","2","1","1","7","","2","","","","63","","17","26","25","","140","","","","560","","","","2419","","5","","297","","","","102","","","","","","8","","2578","","","","","",""
"","7","10","3","4","7","","2","","","","2","","23","","8","","250","","","","1165","","","","668","","30","","499","","","","99","","","","","","4","","2448","","","","","",""
"","3","1","2","2","1","","1","","","","1","","45","","1","","62","","","","62","","","","10","","7","","605","","","","472","","","","","","2","","","","","","","",""
"","1","3","2","3","1","","2","","","","11","","12","","2","","123","","","","73","","","","2","","12","","29","","","","39","","","","","","572","","","","","","","",""
"","8","4","3","1","2","","1","","","","230","","40","","1","","630","","","","1","","","","3","","27","","289","","","","67","","","","","","9438","","","","","","","",""
"","1","5","9","3","11","","2","","","","12","","34","","65","","45","","","","2","","","","1137","","383","","1811","","","","300","","","","","","4749","","","","","","","",""
"","1","2","1","2","2","","1","","","","1","","490","","2","","2","","","","1","","","","19","","1986","","742","","","","878","","","","","","730","","","","","","","",""
"","4","1","2","2","7","","1","","","","87","","18","","5","","702","","","","1145","","","","1","","149","","2144","","","","504","","","","","","4080","","","","","","","",""
"","2","1","7","2","4","","4","","","","7","","12","","18","","907","","","","116","","","","3","","553","","6","","","","1756","","","","","","8","","","","","","","",""
"","2","7","6","2","3","","4","","","","1","","70","","81","","89","","","","161","","","","27","","359","","59","","","","8571","","","","","","9","","","","","","","",""
"","3","2","3","4","2","","2","","","","31","","2","","5","","50","","","","5","","","","23","","199","","3","","","","57","","","","","","18000","","","","","","","",""
"","8","2","5","6","2","","2","","","","1","","24","","5","","5","","","","1","","","","3","","41","","2","","","","209","","","","","","11143","","","","","","","",""
"","6","1","8","2","1","","1","","","","70","","18","","3","","101","","","","1","","","","1","","25","","1","","","","74","","","","","","15429","","","","","","","",""
"","3","1","5","2","3","","1","","","","8","","1","","11","","863","","","","2","","","","2","","10","","20","","","","10328","","","","","","7714","","","","","","","",""
"","6","12","1","4","1","","4","","","","2","","20","","7","","160","","","","134","","","","9","","473","","2","","","","3223","","","","","","","","","","","","","",""
"","8","2","4","8","1","","2","","","","12","","21","","16","","567","","","","7","","","","4","","159","","2","","","","12000","","","","","","","","","","","","","",""
"","31","2","3","2","1","","1","","","","7","","1","","3","","45","","","","3","","","","35","","2862","","3","","","","","","","","","","","","","","","","","",""
"","5","1","1","1","2","","1","","","","5","","1","","45","","1","","","","2","","","","11","","18","","1","","","","","","","","","","","","","","","","","",""
"","13","3","1","2","3","","1","","","","2","","16","","4","","2","","","","1","","","","5","","12","","1","","","","","","","","","","","","","","","","","",""
"","17","1","4","1","4","","3","","","","1","","25","","4","","2","","","","3","","","","120","","2","","1","","","","","","","","","","","","","","","","","",""
"","3","4","1","1","1","","2","","","","2","","29","","2","","78","","","","3","","","","28","","8","","1","","","","","","","","","","","","","","","","","",""
"","2","1","1","","2","","1","","","","72","","18","","13","","292","","","","3","","","","16","","8","","310","","","","","","","","","","","","","","","","","",""
"","2","2","2","","1","","1","","","","12","","406","","30","","803","","","","18","","","","9","","2","","752","","","","","","","","","","","","","","","","","",""
"","8","3","4","","1","","1","","","","7","","4","","33","","150","","","","22","","","","12","","1","","375","","","","","","","","","","","","","","","","","",""
"","3","","1","","3","","1","","","","2","","3","","9","","67","","","","20","","","","1206","","1","","1","","","","","","","","","","","","","","","","","",""
"","12","","1","","1","","2","","","","1","","2","","23","","52","","","","21","","","","177","","1806","","1","","","","","","","","","","","","","","","","","",""
"","2","","2","","12","","2","","","","25","","19","","38","","27","","","","7","","","","719","","338","","1","","","","","","","","","","","","","","","","","",""
"","2","","2","","1","","1","","","","70","","3","","52","","199","","","","2","","","","1","","439","","837","","","","","","","","","","","","","","","","","",""
"","5","","1","","1","","1","","","","40","","10","","1","","212","","","","3","","","","2","","1","","2","","","","","","","","","","","","","","","","","",""
"","3","","1","","1","","1","","","","12","","56","","33","","22","","","","5","","","","2","","69","","1","","","","","","","","","","","","","","","","","",""
"","6","","1","","1","","1","","","","586","","51","","69","","62","","","","129","","","","1","","29","","1","","","","","","","","","","","","","","","","","",""
"","15","","2","","1","","1","","","","33","","75","","33","","117","","","","462","","","","1","","15","","2","","","","","","","","","","","","","","","","","",""
"","15","","2","","1","","2","","","","61","","58","","70","","10","","","","413","","","","21","","1","","551","","","","","","","","","","","","","","","","","",""
"","2","","3","","1","","3","","","","6","","20","","51","","23","","","","425","","","","890","","1","","1","","","","","","","","","","","","","","","","","",""
"","6","","5","","1","","4","","","","5","","964","","280","","3","","","","567","","","","64","","16","","1","","","","","","","","","","","","","","","","","",""
"","3","","1","","5","","2","","","","30","","1","","27","","253","","","","85","","","","155","","48","","2","","","","","","","","","","","","","","","","","",""
"","4","","1","","2","","1","","","","43","","106","","1","","35","","","","14","","","","1320","","43","","1","","","","","","","","","","","","","","","","","",""
"","15","","6","","2","","1","","","","60","","4","","60","","105","","","","9","","","","971","","","","681","","","","","","","","","","","","","","","","","",""
"","4","","3","","1","","1","","","","85","","16","","58","","414","","","","5","","","","21","","","","7","","","","","","","","","","","","","","","","","",""
"","15","","1","","1","","1","","","","5","","4","","35","","7","","","","31","","","","420","","","","1","","","","","","","","","","","","","","","","","",""
"","4","","2","","1","","7","","","","1","","23","","19","","100","","","","23","","","","316","","","","1","","","","","","","","","","","","","","","","","",""
"","12","","3","","1","","2","","","","63","","63","","45","","17","","","","180","","","","75","","","","3","","","","","","","","","","","","","","","","","",""
"","6","","9","","1","","2","","","","51","","8","","101","","160","","","","775","","","","1095","","","","3","","","","","","","","","","","","","","","","","",""
"","7","","6","","3","","2","","","","8","","98","","20","","21","","","","2365","","","","12","","","","2","","","","","","","","","","","","","","","","","",""
"","3","","25","","1","","3","","","","26","","160","","11","","71","","","","400","","","","1","","","","1","","","","","","","","","","","","","","","","","",""
"","3","","23","","1","","3","","","","3","","3","","49","","105","","","","3","","","","4","","","","1","","","","","","","","","","","","","","","","","",""
"","1","","12","","1","","1","","","","13","","2","","31","","29","","","","118","","","","1","","","","1","","","","","","","","","","","","","","","","","",""
"","1","","4","","15","","1","","","","4","","40","","32","","205","","","","140","","","","1","","","","1","","","","","","","","","","","","","","","","","",""
"","2","","3","","5","","2","","","","6","","103","","8","","193","","","","125","","","","2062","","","","16","","","","","","","","","","","","","","","","","",""
"","8","","2","","1","","3","","","","1","","300","","3","","128","","","","8","","","","21","","","","164","","","","","","","","","","","","","","","","","",""
"","2","","2","","1","","1","","","","100","","12","","59","","18","","","","105","","","","133","","","","16","","","","","","","","","","","","","","","","","",""
