"Amenity Type","Tower 1","Tower 2","Tower 3","Tower 4","Tower 5","Tower 6","Tower 7","Tower 8","Tower 9","","Total","% of Total","","","","","","","",""
"Luxury Amenities","","","","","","","","","","","","","","","","","","","",""
"Indoor Pool","","","","","","","","","","","0","0%","","","","","","","",""
"golf simulator","1","1","","1","","1","","","","","4","44%","","","","","","","",""
"pet spa","1","1","","","1","1","","1","","","5","56%","","","","","","","",""
"sky lounge","","1","","","1","1","","","","","3","33%","","","","","","","",""
"Outdoor BBQ areas","1","1","1","1","","1","1","1","","","7","78%","","","","","","","",""
"Outdoor Pool","1","1","","","","1","","","","","3","33%","","","","","","","",""
"firepit","1","","","1","","1","","","","","3","33%","","","","","","","",""
"dog park","1","","","1","","1","1","1","","","5","56%","","","","","","","",""
"sport court","1","","","","","","","","","","1","11%","","","","","","","",""
"Green space","1","","1","1","","1","1","1","1","","7","78%","","","","","","","",""
"games room","1","1","1","1","","1","1","1","","","7","78%","","","","","","","",""
"Lobby Bar","","","","1","","","","","","","1","11%","","","","","","","",""
"Demonstration Kitchen","1","1","","1","1","1","1","1","","","7","78%","","","","","","","",""
"events, community manager","1","1","","","","1","","","1","","4","44%","","","","","","","",""
"Coffee bar","","","","","","","","","1","","1","11%","","","","","","","",""
"Expected (Must Haves)","","","","","","","","","","","","0%","","","","","","","",""
"indoor lounge","1","1","1","1","1","1","1","1","1","","9","100%","","","","","","","",""
"Gym","1","1","1","1","1","1","1","1","1","","9","100%","","","","","","","",""
"concierge","1","1","","1","1","1","","1","1","","7","78%","","","","","","","",""
"parcel room","1","1","1","1","","1","","1","","","6","67%","","","","","","","",""
"underground parking","1","1","1","1","1","1","1","1","1","","9","100%","","","","","","","",""
"security","1","1","1","1","1","1","1","1","1","","9","100%","","","","","","","",""
"Bike storage/repair room","1","1","1","1","1","1","","1","1","","8","89%","","","","","","","",""
"Hotel Style lobby","1","1","1","1","1","","1","","1","","7","78%","","","","","","","",""
"outdoor lounge","1","1","1","1","1","1","1","1","1","","9","100%","","","","","","","",""
"co-work space","1","1","1","1","1","1","","1","1","","8","89%","","","","","","","",""
"Common area wifi","1","1","1","1","1","1","1","1","1","","9","100%","","","","","","","",""
"Storage","","","","","","","","","","","","","","","","","","","",""
