"Product, country code and name 1/","","","2013","2014","2015","2016","2017","2018","Jan-Oct 18","Jan-Oct 19"
"Total","3370","Chile","239,624","279,026","284,643","279,459","297,793","353,571","292,784","308,452"
"","1220","Canada","148,547","104,520","177,550","189,077","172,937","170,701","145,007","145,358"
"","4039","Norway","40,591","57,896","82,114","82,589","107,224","119,493","99,804","94,597"
"","4091","Faroe Islands","33,127","35,606","27,215","30,949","27,906","23,961","18,852","27,638"
"","4120","United Kingdom","27,594","34,070","27,232","20,502","32,067","29,129","24,773","32,814"
"","4280","Germany, Fed. Republic","","3,707","8,404","10,243","11,606","10,733","9,539","6,041"
"","5700","China (Mainland)","17,785","17,046","2,148","412","1,730","1,561","1,388","1,897"
"","","Other countries","6,745","7,539","4,956","5,922","8,353","9,627","6,788","19,503"
"","","Total
 ","514,012","539,410","614,262","619,154","659,615","718,775","598,935","636,299"
"Fresh","1220","Canada","135,263","98,132","165,576","171,732","157,728","154,067","130,480","132,745"
"","4039","Norway","9,959","13,072","24,391","19,740","40,799","48,554","40,885","36,163"
"","4091","Faroe Islands","21,144","24,255","20,806","23,221","22,171","19,618","15,256","24,181"
"","4120","United Kingdom","19,355","23,411","17,781","14,005","27,900","25,767","21,815","29,303"
"","3370","Chile","3,443","12,206","6,511","8,124","10,003","21,269","16,157","19,990"
"","4000","Iceland","","60","26","766","1,434","2,833","2,547","2,181"
"","6141","New Zealand","403","285","628","932","1,615","527","434","354"
"","","Other countries","860","861","955","767","789","616","531","519"
"","","Total
 ","190,427","172,283","236,674","239,288","262,441","273,251","228,106","245,435"
"Frozen","3370","Chile","2,947","4,949","3,633","6,689","5,078","4,787","4,310","4,481"
"","4039","Norway","2,327","1,556","2,125","1,320","932","873","753","478"
"","1220","Canada","314","105","73","11","105","337","337","21"
"","4120","United Kingdom","12","210","218","203","159","115","115","36"
"","4190","Ireland","","","","","40","57","27","92"
"","4099","Denmark","","34","40","","","","",""
"","4000","Iceland","","","","","48","","",""
"","","Other countries","4","-0","22","-0","6","2","2","1"
"","","Total
 ","5,604","6,853","6,112","8,223","6,367","6,172","5,544","5,110"
"Fillets 2/","3370","Chile","233,235","261,871","274,498","264,646","282,711","327,514","272,317","283,981"
"","4039","Norway","28,305","43,268","55,598","61,529","65,492","70,066","58,166","57,956"
"","1220","Canada","12,969","6,284","11,901","17,335","15,105","16,296","14,190","12,593"
"","4091","Faroe Islands","11,983","11,351","6,409","7,727","5,733","4,343","3,596","3,457"
"","4280","Germany, Fed. Republic","","3,398","7,918","10,061","11,547","10,645","9,468","5,999"
"","4120","United Kingdom","8,227","10,449","9,233","6,294","4,008","3,247","2,843","3,475"
"","5700","China (Mainland)","17,785","17,046","2,126","412","1,730","1,561","1,388","1,897"
"","","Other countries","5,477","6,607","3,793","3,640","4,480","5,681","3,318","16,399"
"","","Total
 ","317,981","360,274","371,476","371,643","390,807","439,352","365,285","385,755"
