"<return>","","","Mean Estimates","","","","","Lower 95% CI Estimates","","","","","Upper 95% CI Estimates","","","",""
"STWard Code","ST WardName","Pop","EL1 and below","EL2","EL3","L1","L2 and above","EL1 and below","EL2","EL3","L1","L2 and above","EL1 and below","EL2","EL3","L1","L2 and above"
"00AAFA","Aldersgate","  955 ","  32 ","  15 ","  58 ","  237 ","  613 ","  28 ","  13 ","  52 ","  223 ","  593 ","  37 ","  18 ","  65 ","  252 ","  631 "
"00AAFQ","Cripplegate","  1,710 ","  57 ","  27 ","  104 ","  424 ","  1,097 ","  49 ","  22 ","  93 ","  398 ","  1,062 ","  67 ","  33 ","  116 ","  450 ","  1,130 "
"00AAFT","Farringdon Without","  5,696 ","  191 ","  91 ","  347 ","  1,413 ","  3,654 ","  164 ","  75 ","  310 ","  1,327 ","  3,537 ","  222 ","  110 ","  386 ","  1,500 ","  3,765 "
"00AAFX","Portsoken","  550 ","  18 ","  9 ","  34 ","  136 ","  353 ","  16 ","  7 ","  30 ","  128 ","  341 ","  21 ","  11 ","  37 ","  145 ","  363 "
"00ABFX","Abbey","  7,266 ","  460 ","  208 ","  737 ","  2,278 ","  3,583 ","  399 ","  173 ","  657 ","  2,173 ","  3,451 ","  529 ","  250 ","  815 ","  2,380 ","  3,718 "
"00ABFY","Alibon","  6,556 ","  457 ","  204 ","  713 ","  2,142 ","  3,041 ","  394 ","  169 ","  633 ","  2,043 ","  2,905 ","  520 ","  244 ","  788 ","  2,239 ","  3,178 "
"00ABFZ","Becontree","  7,064 ","  461 ","  208 ","  734 ","  2,261 ","  3,400 ","  400 ","  172 ","  652 ","  2,158 ","  3,259 ","  526 ","  248 ","  810 ","  2,361 ","  3,529 "
"00ABGA","Chadwell Heath","  5,610 ","  353 ","  159 ","  563 ","  1,774 ","  2,761 ","  306 ","  132 ","  502 ","  1,693 ","  2,650 ","  401 ","  191 ","  623 ","  1,855 ","  2,865 "
"00ABGB","Eastbrook","  6,335 ","  314 ","  146 ","  542 ","  1,912 ","  3,422 ","  273 ","  121 ","  485 ","  1,816 ","  3,300 ","  360 ","  176 ","  602 ","  1,996 ","  3,529 "
"00ABGC","Eastbury","  7,028 ","  445 ","  202 ","  719 ","  2,245 ","  3,418 ","  387 ","  167 ","  639 ","  2,142 ","  3,274 ","  506 ","  242 ","  797 ","  2,344 ","  3,553 "
"00ABGD","Gascoigne","  6,818 ","  596 ","  259 ","  874 ","  2,334 ","  2,754 ","  506 ","  214 ","  777 ","  2,226 ","  2,606 ","  692 ","  311 ","  964 ","  2,438 ","  2,934 "
"00ABGE","Goresbrook","  7,035 ","  469 ","  210 ","  739 ","  2,271 ","  3,346 ","  407 ","  175 ","  659 ","  2,166 ","  3,204 ","  533 ","  252 ","  817 ","  2,375 ","  3,484 "
"00ABGF","Heath","  6,141 ","  438 ","  195 ","  680 ","  2,014 ","  2,814 ","  377 ","  163 ","  604 ","  1,919 ","  2,687 ","  498 ","  233 ","  751 ","  2,104 ","  2,943 "
"00ABGG","Longbridge","  6,429 ","  260 ","  125 ","  479 ","  1,832 ","  3,732 ","  223 ","  102 ","  427 ","  1,741 ","  3,598 ","  305 ","  150 ","  531 ","  1,914 ","  3,852 "
"00ABGH","Mayesbrook","  6,387 ","  442 ","  197 ","  692 ","  2,089 ","  2,966 ","  382 ","  165 ","  617 ","  1,992 ","  2,836 ","  504 ","  236 ","  765 ","  2,182 ","  3,097 "
"00ABGJ","Parsloes","  5,599 ","  383 ","  172 ","  605 ","  1,833 ","  2,607 ","  331 ","  143 ","  536 ","  1,749 ","  2,491 ","  436 ","  205 ","  669 ","  1,917 ","  2,721 "
"00ABGK","River","  6,438 ","  392 ","  179 ","  642 ","  2,054 ","  3,171 ","  340 ","  148 ","  572 ","  1,961 ","  3,039 ","  449 ","  214 ","  710 ","  2,148 ","  3,290 "
"00ABGL","Thames","  6,417 ","  478 ","  212 ","  734 ","  2,127 ","  2,866 ","  412 ","  178 ","  652 ","  2,028 ","  2,731 ","  545 ","  255 ","  812 ","  2,227 ","  3,013 "
