"Number of tables on this sheet:","3","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"Employment in the creative sector","","","","","","","","","","","","","","","","","","","",""
"Data owner:","Office of National Statistics","","","","","","","","","","","","","","","","","","",""
"Link to data owner:","http://www.ons.gov.uk","","","","","","","","","","","","","","","","","","",""
"Data source:","Annual Population Survey","","","","","","","","","","","","","","","","","","",""
"Link to data source:","http://www.statistics.gov.uk/Statbase/Product.asp?vlnk=10855","","","","","","","","","","","","","","","","","","",""
"Date:","2006, 2007, 2008","","","","","","","","","","","","","","","","","","",""
"Update cycle:","Quarterly","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"Employment in the creative sector: sub-sector by region in 2006 and 2008","","","","","","","","","","","","","","","","","","","",""
"","East Midlands ","","London ","","North East ","","North West ","","South East ","","South West ","","West Midlands ","","Yorkshire and the Humber ","","England","","East of England ",""
"Sub-sector","2006","2008","2006","2008","2006","2008","2006","2008","2006","2008","2006","2008","2006","2008","2006","2008","2006","2008","2006","2008"
"Advertising","8,404","9,609","85,544","99,515","5,790","3,537","23,033","19,048","33,161","33,292","17,652","14,861","12,876","14,056","14,138","11,661","213,171","222,089","12,573","16,511"
"Architecture","7,306","6,055","19,359","26,375","4,069","4,036","10,109","10,458","18,296","18,210","10,886","11,036","7,631","10,046","6,979","9,684","92,739","105,745","8,104","9,844"
"Craft","21,669","21,885","33,015","26,878","10,991","13,631","29,436","27,714","36,550","45,900","24,170","25,320","23,852","20,438","26,215","24,472","234,578","234,696","26,457","25,114"
"Design","7,286","7,077","13,888","14,088","3,184","2,482","8,139","8,982","12,719","14,834","8,913","11,207","8,717","9,453","5,854","7,474","82,714","81,929","14,014","6,333"
"Dressing/Making","751","992","1,305","990","55","56","739","344","323","181","449","470","184","557","0","0","4,634","4,547","0","0"
"Literature","1,354","490","5,732","6,684","212","641","1,632","1,705","3,729","3,171","1,579","1,459","656","1,039","917","1,126","19,089","18,291","3,279","1,976"
"Publishing","12,876","11,709","74,662","64,649","4,045","4,622","18,175","18,566","39,268","32,009","22,451","21,715","11,411","12,425","17,019","13,080","224,646","202,057","22,182","22,257"
"Radio & TV","1,488","0","53,210","50,370","2,456","551","9,408","6,215","8,023","9,787","6,885","5,001","4,358","3,693","3,466","2,482","95,393","82,859","5,892","3,648"
"Software, Computer Games & Electronic Publishing","12,304","14,439","67,657","71,860","5,780","5,415","24,301","24,172","57,115","56,472","18,562","22,620","18,728","20,505","16,676","18,933","247,219","261,330","25,703","26,414"
"Video, Film & Photography","1,019","3,953","27,029","17,309","1,472","583","3,183","2,694","8,584","8,886","5,090","3,617","2,102","1,532","1,624","4,098","57,192","49,547","3,873","2,698"
"Art & Antiques","1,606","1,612","2,303","2,290","888","817","2,575","2,541","2,945","3,106","1,948","2,121","1,687","1,788","1,885","1,924","18,023","18,261","2,186","2,061"
"Designer Fashion","3,078","1,193","4,324","4,640","319","414","1,598","1,843","1,912","2,666","824","1,484","1,348","1,141","1,191","905","17,397","17,218","1,754","1,354"
"Music & the Visual & Performing Arts","8,703","6,391","63,758","73,018","4,903","5,823","12,699","17,445","28,863","28,772","18,800","16,936","7,784","9,140","12,036","13,995","172,586","189,158","12,236","15,211"
"","","","","","","","","","","","","","","","","","","","",""
"Total","87,843","85,406","451,788","458,667","44,163","42,607","145,026","141,727","251,488","257,285","138,208","137,848","101,334","105,814","108,000","109,835","1,479,381","1,487,726","138,251","133,420"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
