"",""
"",""
"ROW LABLE","Sum of Amount"
"local","71,565"
"Fruit","18,915"
"Sales","16,500"
"auto","15,000"
"Gross sales citrus","10,000"
"Gross sales tropical","5,000"
"manual","1,500"
"Gross sales citrus","1,000"
"Gross sales tropical","500"
"Discount","2,415"
"staff","15"
"Staff discounts citrus","10"
"Staff discounts tropical","5"
"retail","150"
"Retail discounts citrus","100"
"Retail discounts tropical","50"
"trade","2,250"
"Trade discounts citrus","1,500"
"Trade discounts tropical","750"
"veg","52,650"
"Sales","49,500"
"auto","45,000"
"Gross sales leaves","15,000"
"Gross sales roots","20,000"
"Gross sales stems","10,000"
"manual","4,500"
"Gross sales leaves","1,500"
"Gross sales roots","2,000"
"Gross sales stems","1,000"
"Discount","3,150"
"staff","450"
"Staff discounts leaves","150"
"Staff discounts roots","200"
"Staff discounts stems","100"
"retail","900"
"Retail discounts leaves","300"
"Retail discounts roots","400"
"Retail discounts stems","200"
"trade","1,800"
"Trade discounts leaves","600"
"Trade discounts roots","800"
"Trade discounts stems","400"
"export","107,348"
"Fruit","28,373"
"Sales","24,750"
"auto","22,500"
"Gross sales citrus","15,000"
"Gross sales tropical","7,500"
"manual","2,250"
"Gross sales citrus","1,500"
"Gross sales tropical","750"
"Discount","3,623"
"staff","23"
"Staff discounts citrus","15"
"Staff discounts tropical","8"
"retail","225"
"Retail discounts citrus","150"
"Retail discounts tropical","75"
"trade","3,375"
"Trade discounts citrus","2,250"
"Trade discounts tropical","1,125"
"veg","78,975"
"Sales","74,250"
"auto","67,500"
"Gross sales leaves","22,500"
"Gross sales roots","30,000"
"Gross sales stems","15,000"
"manual","6,750"
"Gross sales leaves","2,250"
"Gross sales roots","3,000"
"Gross sales stems","1,500"
"Discount","4,725"
"staff","675"
"Staff discounts leaves","225"
"Staff discounts roots","300"
"Staff discounts stems","150"
"retail","1,350"
"Retail discounts leaves","450"
"Retail discounts roots","600"
"Retail discounts stems","300"
"trade","2,700"
"Trade discounts leaves","900"
"Trade discounts roots","1,200"
"Trade discounts stems","600"
"总计","178,913"
