"Organism","Material","Sampler","Log10 Recovery (Inoculation Control)","Log10 Recovery (Test Sample)","Delta Log Recovery","Mean Delta Log Recovery","Standard Deviation Log Recovery"
"Escherichia coli","ABS Plastic","3M","7.7913592434444","4.7276205004394","3.063738743005","2.1039572339428","0.51059949952279"
"","ABS Plastic","LabPlas","7.8437157121394","5.763583851262","2.0801318608773","",""
"","ABS Plastic","Solar Cult","7.7555971511134","6.2561876940838","1.4994094570296","",""
"","Glass","3M","7.7478498178752","5.4735844071513","2.2742654107239","",""
"","Glass","LabPlas","7.6808975419655","6.1920608108699","1.4888367310956","",""
"","Glass","Solar Cult","7.7563158187764","5.7573990658023","1.9989167529741","",""
"","Stainless Steel","3M","7.8586225218418","5.8302735864156","2.0283489354262","",""
"","Stainless Steel","LabPlas","7.6308307617314","4.8358716506462","2.7949591110853","",""
"","Stainless Steel","Solar Cult","7.7737471845354","6.0667390812675","1.7070081032679","",""
"Serratia marcescens","ABS Plastic","Solar Cult","7.7279333359379","6.6076096344422","1.1203237014956","2.3451494053731","0.82260914617824"
"","ABS Plastic","3M","7.734137875821","5.5751855902935","2.1589522855275","",""
"","ABS Plastic","LabPlas","7.0677803416207","3.3805260868212","3.6872542547995","",""
"","Glass","Solar Cult","7.7279333359379","6.368879770696","1.3590535652419","",""
"","Glass","3M","7.734137875821","5.398788791228","2.335349084593","",""
"","Glass","LabPlas","7.0677803416207","4.0155141756081","3.0522661660126","",""
"","Stainless Steel","Solar Cult","7.7279333359379","6.151358604637","1.5765747313008","",""
"","Stainless Steel","3M","7.734137875821","4.9940976666016","2.7400402092194","",""
"","Stainless Steel","LabPlas","7.0677803416207","3.9912496914535","3.0765306501672","",""
"Yersinia ruckeri","ABS Plastic","3M","7.7459990160891","3.8491109888651","3.896888027224","2.4640025720235","1.1377458982486"
"","ABS Plastic","LabPlas","7.569018642921","5.2978179427817","2.2712007001392","",""
"","ABS Plastic","Solar Cult","7.5142009064726","6.2842907793361","1.2299101271365","",""
"","Glass","3M","7.7459990160891","3.8075603533351","3.9384386627541","",""
"","Glass","LabPlas","7.569018642921","5.4780161974767","2.0910024454442","",""
"","Glass","Solar Cult","7.5142009064726","6.2987629643108","1.2154379421618","",""
"","Stainless Steel","3M","7.7459990160891","3.7268956599751","4.019103356114","",""
"","Stainless Steel","LabPlas","7.569018642921","5.2008982396074","2.3681204033136","",""
"","Stainless Steel","Solar Cult","7.5142009064726","6.3682794225482","1.1459214839243","",""
