"","","Home","","","","","","","","","Away","","","","","","","","","Total","","","","","","","",""
"","","G","W","T","L","GF","","GA","","","G","W","T","L","GF","","GA","","","G","W","T","L","GF","","GA","","Points"
"1","Sp. Braga","1","1","0","0","3","-","0","3","","0","0","0","0","0","-","0","0","","1","1","0","0","3","-","0","3","3"
"2","V. Guimarães","0","0","0","0","0","-","0","0","","1","1","0","0","3","-","1","2","","1","1","0","0","3","-","1","2","3"
"3","Belenenses","0","0","0","0","0","-","0","0","","1","1","0","0","3","-","1","2","","1","1","0","0","3","-","1","2","3"
"4","Benfica","1","1","0","0","2","-","0","2","","0","0","0","0","0","-","0","0","","1","1","0","0","2","-","0","2","3"
"5","F.C. Porto","1","1","0","0","2","-","0","2","","0","0","0","0","0","-","0","0","","1","1","0","0","2","-","0","2","3"
"6","Rio Ave","1","1","0","0","2","-","0","2","","0","0","0","0","0","-","0","0","","1","1","0","0","2","-","0","2","3"
"7","Moreirense","0","0","0","0","0","-","0","0","","1","1","0","0","1","-","0","1","","1","1","0","0","1","-","0","1","3"
"8","Sporting","0","0","0","0","0","-","0","0","","1","0","1","0","1","-","1","0","","1","0","1","0","1","-","1","0","1"
"9","Académica","1","0","1","0","1","-","1","0","","0","0","0","0","0","-","0","0","","1","0","1","0","1","-","1","0","1"
"10","Estoril","0","0","0","0","0","-","0","0","","0","0","0","0","0","-","0","0","","0","0","0","0","0","-","0","0","0"
"11","Arouca","0","0","0","0","0","-","0","0","","0","0","0","0","0","-","0","0","","0","0","0","0","0","-","0","0","0"
"12","Nacional","1","0","0","1","0","-","1","-1","","0","0","0","0","0","-","0","0","","1","0","0","1","0","-","1","-1","0"
"13","Gil Vicente","1","0","0","1","1","-","3","-2","","0","0","0","0","0","-","0","0","","1","0","0","1","1","-","3","-2","0"
"14","Penafiel","1","0","0","1","1","-","3","-2","","0","0","0","0","0","-","0","0","","1","0","0","1","1","-","3","-2","0"
"15","Marítimo","0","0","0","0","0","-","0","0","","1","0","0","1","0","-","2","-2","","1","0","0","1","0","-","2","-2","0"
"16","V. Setúbal","0","0","0","0","0","-","0","0","","1","0","0","1","0","-","2","-2","","1","0","0","1","0","-","2","-2","0"
"17","P. Ferreira","0","0","0","0","0","-","0","0","","1","0","0","1","0","-","2","-2","","1","0","0","1","0","-","2","-2","0"
"18","Boavista","0","0","0","0","0","-","0","0","","1","0","0","1","0","-","3","-3","","1","0","0","1","0","-","3","-3","0"
