"Year","Country","Experimental procedures","Creation/breeding of genetically altered animals","Total Procedures"
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"2021","Great Britain","1,648,089","1,329,147","2,977,236"
"2021","England","1,392,921","1,116,872","2,509,793"
"2021","Scotland","237,216","191,258","428,474"
"2021","Wales","17,952","21,017","38,969"
"2020","Great Britain","1,443,318","1,439,993","2,883,311"
"2020","England","1,217,512","1,229,241","2,446,753"
"2020","Scotland","208,968","186,854","395,822"
"2020","Wales","16,838","23,898","40,736"
"2019","Great Britain","1,729,915","1,673,568","3,403,483"
"2019","England","1,442,312","1,406,319","2,848,631"
"2019","Scotland","263,750","246,067","509,817"
"2019","Wales","23,853","21,182","45,035"
"2018","Great Britain","1,801,948","1,718,256","3,520,204"
"2018","England","1,503,446","1,460,253","2,963,699"
"2018","Scotland","274,366","232,810","507,176"
"2018","Wales","24,136","25,193","49,329"
"2017","Great Britain","1,885,933","1,903,440","3,789,373"
"2017","England","1,599,873","1,624,881","3,224,754"
"2017","Scotland","263,347","252,510","515,857"
"2017","Wales","22,713","26,049","48,762"
"2016","Great Britain","2,022,675","1,913,839","3,936,514"
"2016","England","1,690,303","1,658,860","3,349,163"
"2016","Scotland","306,959","227,679","534,638"
"2016","Wales","25,413","27,300","52,713"
"2015","Great Britain","2,079,550","2,062,630","4,142,180"
"2015","England","1,718,827","1,795,465","3,514,292"
"2015","Scotland","335,126","238,011","573,137"
"2015","Wales","25,597","29,154","54,751"
"2014","Great Britain","1,925,583","1,941,856","3,867,439"
"2014","England","1,590,101","1,671,351","3,261,452"
"2014","Scotland","311,631","241,429","553,060"
"2014","Wales","23,851","29,076","52,927"
"2023","Great Britain","1,468,570","1,213,116","2,681,686"
"2023","England","1,213,350","1,045,983","2,259,333"
"2023","Scotland","240,451","149,962","390,413"
"2023","Wales","14,769","17,171","31,940"
"2022","Great Britain","1,515,845","1,248,979","2,764,824"
"2022","England","1,271,972","1,054,216","2,326,188"
"2022","Scotland","223,415","175,960","399,375"
"2022","Wales","20,458","18,803","39,261"
"2013","Great Britain","2,017,468","2,104,114","4,121,582"
"2012","Great Britain","2,129,067","1,980,961","4,110,028"
"2011","Great Britain","2,175,044","1,617,813","3,792,857"
"2010","Great Britain","2,103,714","1,621,012","3,724,726"
"2009","Great Britain","2,085,626","1,533,914","3,619,540"
"2008","Great Britain","2,265,199","1,390,881","3,656,080"
"2007","Great Britain","2,032,094","1,169,487","3,201,581"
