"WP ID","Teaching Group","Condition","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","TOTAL"
"92","4","CAI","1","3","0","0","4","0","0","2","-1","2","4","4","2","3","3","3","1","4","1","0","0","2","2","0","40"
"93","4","CAI","2","3","0","2","2","2","-1","2","2","1","1","-1","0","2","2","0","2","1","1","-1","0","1","2","0","25"
"94","4","CAI","2","2","1","1","2","-1","0","2","1","1","1","2","2","1","2","0","2","1","2","1","-1","1","2","1","28"
"95","4","CAI","0","2","1","-1","4","0","3","1","-3","2","2","0","2","0","1","0","2","2","2","2","0","1","0","2","25"
"96","4","CAI","1","2","1","-1","4","1","3","3","1","3","1","1","3","1","1","-1","2","1","1","1","2","2","3","3","39"
"97","4","CAI","1","2","1","2","4","-2","0","0","-1","3","-2","-1","1","0","0","0","2","-2","2","2","0","2","0","0","14"
"98","4","CAI","1","2","1","2","4","1","-1","1","-1","3","2","-1","3","1","2","-3","1","-1","0","-2","1","3","-1","0","18"
"99","4","CAI","4","2","3","0","4","0","3","1","3","2","3","3","1","3","0","3","3","3","3","3","3","3","4","0","57"
"100","4","CAI","-1","3","1","3","4","1","3","-3","-1","2","1","1","3","-1","0","2","1","3","4","4","0","2","3","0","35"
"101","4","CAI","0","0","0","2","2","0","2","0","2","2","0","0","0","-2","2","0","2","0","-2","0","-2","2","0","2","12"
"103","2","CAI","2","1","1","1","0","0","0","0","0","0","0","0","1","1","0","1","2","0","1","3","-1","1","-1","1","14"
"104","2","CAI","1","1","1","-1","4","-2","-2","0","-2","1","1","0","1","1","2","1","1","0","2","0","1","1","-1","2","13"
"105","2","CAI","2","1","2","2","3","2","0","0","2","2","0","1","1","0","2","0","2","2","2","0","1","2","2","0","31"
"107","2","CAI","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"108","2","CAI","-1","-1","1","1","1","1","-1","-1","-1","-1","1","1","-1","1","1","1","1","1","-1","-1","1","1","-1","1","4"
"130","1","Trad","0","1","1","0","3","0","3","1","0","0","3","1","2","0","2","3","2","0","2","0","2","1","0","-2","25"
"132","1","Trad","2","0","0","4","4","-2","3","2","0","3","0","0","2","-1","0","0","0","0","2","-1","2","0","0","3","23"
"133","1","Trad","2","-1","0","2","2","0","2","0","0","2","0","2","2","2","2","2","2","2","2","-2","0","2","2","2","29"
"135","1","Trad","2","0","0","4","1","1","-1","2","0","-1","3","0","0","2","0","2","4","3","3","0","3","0","2","1","31"
"136","1","Trad","2","2","2","2","2","2","2","2","2","2","0","0","2","1","-1","2","2","2","2","0","2","2","2","2","38"
"137","1","Trad","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"138","1","Trad","1","0","1","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","7"
"140","3","Trad","2","2","0","0","3","2","0","0","0","0","2","0","0","0","0","2","0","2","-2","0","0","2","0","2","17"
"141","3","Trad","0","0","0","0","4","4","1","0","0","1","1","3","0","0","0","0","3","0","1","1","0","0","0","0","19"
"142","3","Trad","2","0","0","2","2","2","2","0","2","2","0","0","2","2","0","0","0","0","2","2","-2","0","0","2","22"
"143","3","Trad","0","0","0","0","4","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9"
"144","3","Trad","2","1","0","2","4","0","2","0","-1","0","4","0","3","1","1","2","2","1","3","-1","0","2","1","2","31"
"145","3","Trad","0","0","0","1","4","-1","0","0","0","0","0","0","0","0","0","0","1","-1","-1","1","0","0","0","0","4"
"146","3","Trad","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"147","3","Trad","0","0","0","1","4","3","1","0","0","0","0","3","0","1","0","0","2","0","2","0","0","2","2","0","21"
"148","5","Trad","1","3","1","1","4","1","2","-2","1","3","-1","-1","3","1","1","2","1","-3","2","0","2","1","1","1","25"
"149","5","Trad","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"150","5","Trad","1","4","2","4","4","1","2","-2","0","1","1","1","0","0","-2","0","1","3","1","1","-1","1","0","2","25"
"151","5","Trad","0","0","1","0","4","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","9"
"152","5","Trad","0","0","0","0","4","0","1","3","0","0","0","1","0","0","0","0","1","0","1","0","0","1","0","0","12"
"154","5","Trad","1","1","1","1","4","1","2","2","-2","1","1","2","1","0","2","3","1","1","2","3","1","2","4","1","36"
"","","AVG","0.94444444444444","1.0277777777778","0.63888888888889","1.0555555555556","2.8333333333333","0.55555555555556","1","0.47222222222222","0.083333333333333","1.0277777777778","0.80555555555556","0.61111111111111","1","0.55555555555556","0.63888888888889","0.69444444444444","1.2777777777778","0.69444444444444","1.1944444444444","0.44444444444444","0.38888888888889","1.1388888888889","0.77777777777778","0.77777777777778",""
"","","CAI","0.9047619047619","0.61904761904762","0.42857142857143","1.1904761904762","2.8571428571429","0.80952380952381","1.2857142857143","0.42857142857143","0.095238095238095","0.66666666666667","0.66666666666667","0.57142857142857","0.80952380952381","0.42857142857143","0.23809523809524","0.85714285714286","1.047619047619","0.47619047619048","1.1904761904762","0.19047619047619","0.42857142857143","0.80952380952381","0.66666666666667","0.76190476190476",""
"","","Trad","1","1.6","0.93333333333333","0.86666666666667","2.8","0.2","0.6","0.53333333333333","0.066666666666667","1.5333333333333","1","0.66666666666667","1.2666666666667","0.73333333333333","1.2","0.46666666666667","1.6","1","1.2","0.8","0.33333333333333","1.6","0.93333333333333","0.8",""
