"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UK Regular Forces Outflow","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Table 10 - Outflow from UK Regular Forces by Gender ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Source: Defence Statistics (Tri Service)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Glossary of terms","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Return to Contents ","31 Mar 12","","30 Sep 12","","","","31 Mar 13","","30 Sep 13","","","","31 Mar 14","","30 Sep 14","","","","31 Mar 15","","30 Sep 15","","31 Mar 16","","30 Sep 16",""
"","","","12 Months Ending:","Number ","%","Number ","","% ","","Number ","% ","Number ","","%","","Number ","%","Number ","","%","","Number ","%","Number ","%","Number ","%","Number ","%"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"All Services","","","","21 370","100.0","22 670","r","100.0","","23 520","100.0","22 880","r","100.0","","23 000","100.0","21 920","r","100.0","","18 910","100.0","18 080","100.0","16 540","100.0","15 580","100.0"
"","","of which female ","","1 770","8.3","1 910","r","8.4","r","1 970","8.4","1 950","r","8.5","r","1 920","8.3","1 800","r","8.2","","1 690","8.9","1 670","9.2","1 520","9.2","1 460","9.4"
"","","of which male","","19 600","91.7","20 760","r","91.6","r","21 560","91.6","20 930","r","91.5","r","21 080","91.7","20 120","r","91.8","","17 220","91.1","16 410","90.8","15 020","90.8","14 120","90.6"
"","Officers","","","2 560","","2 960","r","","","3 040","","2 870","r","","","2 640","","2 410","r","","","2 220","","2 270","","2 150","","1 920",""
"","","of which female ","","0 290","11.5","0 330","","11.1","r","0 350","11.5","0 340","","11.9","","0 320","12.2","0 310","","12.7","r","0 300","13.3","0 270","11.8","0 250","11.7","0 240","12.7"
"","","of which male","","2 260","88.5","2 630","r","88.9","r","2 690","88.5","2 530","r","88.1","","2 320","87.8","2 100","r","87.3","r","1 920","86.7","2 000","88.2","1 900","88.3","1 680","87.3"
"","Other Ranks","","","18 810","","19 710","r","","","20 480","","20 010","r","","","20 350","","19 510","r","","","16 700","","15 810","","14 400","","13 660",""
"","","of which female ","","1 480","7.9","1 580","r","8.0","r","1 620","7.9","1 610","r","8.1","r","1 590","7.8","1 490","r","7.6","","1 400","8.4","1 400","8.9","1 270","8.8","1 220","8.9"
