"Period 1","","","","Period 2","","","B+F or F","C+G or G","","column H ->","If A match E => B+F or If A no match E => F"
"SKU","Units Ordered","Ordered Product Sales","","SKU","Units Ordered","Ordered Product Sales","Units Ordered","Ordered Product Sales","","column I ->","If A match E => C+G or If A no match E => G"
"NJ-7HP9-MTHK","129","$3.00 ","","bis-fba-64","95","$3.00 ","218","$11.00 ","","",""
"bis-fba-64","123","$8.00 ","","NU-VEBP-BXH5","86","$8.00 ","157","$63.00 ","","",""
"6M-5F1N-06EK","107","$2.00 ","","bis-devacurl-onecond-nopoo-33duo","83","$2.00 ","171","$7.00 ","","",""
"bis-devacurl-onecond-nopoo-33duo","88","$5.00 ","","FBA-41868","71","$5.00 ","71","$5.00 ","","",""
"bis-pmteatree-spec33-fba2","64","$11.00 ","","WI-X8ZF-8N71","61","$11.00 ","104","$59.97 ","","",""
"NU-VEBP-BXH5","71","$55.00 ","","C8-N9WZ-1ZKN","45","$55.00 ","45","$55.00 ","","",""
"TC-CYLE-U49U","51","$41.20 ","","9U-YHWZ-X4CX","34","$41.20 ","72","$97.94 ","","",""
"WI-X8ZF-8N71","43","$48.97 ","","5X-UG7O-7124","28","$48.97 ","59","$129.03 ","","",""
"9U-YHWZ-X4CX","38","$56.74 ","","FBA-3160","23","$56.74 ","23","$56.74 ","","",""
"SN-FI7L-YI6U","37","$64.51 ","","S9-E5I6-TFX8","21","$64.51 ","50","$152.34 ","","",""
"KV-XWOB-XD6F","37","$72.29 ","","P7-V16P-W6GR","20","$72.29 ","29","$253.37 ","","",""
"5X-UG7O-7124","31","$80.06 ","","NJ-7HP9-MTHK","16","$80.06 ","145","$83.06 ","","",""
"S9-E5I6-TFX8","29","$87.83 ","","2D-GR8I-IWPY","15","$87.83 ","34","$183.43 ","","",""
"2D-GR8I-IWPY","19","$95.60 ","","MY-S76M-EUNF","14","$95.60 ","14","$95.60 ","","",""
"HJ-ZJQ7-FW3Q","15","$103.37 ","","G2-DIW7-8TOO","13","$103.37 ","13","$103.37 ","","",""
"B5-O8T6-1R6M","13","$111.14 ","","PF-PBRK-1OI2","11","$111.14 ","11","$111.14 ","","",""
"bis-fba-77","13","$118.91 ","","bis-alt-cav-volduo-fba","10","$118.91 ","10","$118.91 ","","",""
"QL-TCGJ-L795","13","$126.69 ","","6P-AT4U-JXCF","10","$126.69 ","10","$126.69 ","","",""
"4U-DNF0-7B8Q","12","$134.46 ","","TN-EMK0-EOBG","9","$134.46 ","9","$134.46 ","","",""
"bis-pureo-perfsmduo-fba","11","$142.23 ","","LV-20Q9-FUOD","8","$142.23 ","8","$142.23 ","","",""
"bis-fba-80","10","$150.00 ","","FBA-45682","9","$150.00 ","9","$150.00 ","","",""
"FBA-4714-4715","10","$157.77 ","","bis-pureo-perfsmduo-fba","8","$157.77 ","19","$300.00 ","","",""
"F2-4GIQ-UFHE","10","$165.54 ","","C0-RJM5-YW6U","8","$165.54 ","8","$165.54 ","","",""
"FBA-17340","10","$173.31 ","","FBA-47672","8","$173.31 ","17","$362.17 ","","",""
"P7-V16P-W6GR","9","$181.09 ","","FBA-17315","7","$181.09 ","7","$181.09 ","","",""
"FBA-47672","9","$188.86 ","","bis-pmteatree-spec33-fba2","7","$188.86 ","71","$199.86 ","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
