"","Fossil Fuel Support - Netherlands","","","","","","","","","","","","","","","","","","","",""
"","Combined unit of measure: Euro","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","Time period","","","","","","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",""
"","Instrument","Beneficiary","Stage","Fuel type","Institutional sector","","","","","","","","","","","","","","","",""
"","Support mechanism: Tax expenditure","","","","","","","","","","","","","","","","","","","",""
"","Reduced Energy Tax Rate for Glasshouse Horticulture","Total","","","","","","","","","","","","","","","","","","",""
"","Reduced Energy Tax Rate for Glasshouse Horticulture","·  Beneficiary","","","","","","","","","","","","","","","","","","",""
"","Reduced Energy Tax Rate for Glasshouse Horticulture","·  ·  Consumer Support Estimate","Use of fossil fuels in the industrial sector","Natural Gas","Total economy","","","","","","","","","","","","","","","",""
"","Reduced Energy Tax Rate for Glasshouse Horticulture","·  ·  Consumer Support Estimate","Use of fossil fuels in the industrial sector","Natural Gas","·  General government","","","","","","","","","","","","","","","",""
"","Reduced Energy Tax Rate for Glasshouse Horticulture","·  ·  Consumer Support Estimate","Use of fossil fuels in the industrial sector","Natural Gas","·  ·  Central government","","83,000,000","134,000,000","68,000,000","84,000,000","83,000,000","106,000,000","125,000,000","128,000,000","115,000,000","94,000,000","130,000,000","159,000,000","161,000,000","171,000,000",""
"","Energy Tax Rebate for Non Profit Organisations and Religious Institutions","Total","","","","","","","","","","","","","","","","","","",""
"","Energy Tax Rebate for Non Profit Organisations and Religious Institutions","·  Beneficiary","","","","","","","","","","","","","","","","","","",""
"","Energy Tax Rebate for Non Profit Organisations and Religious Institutions","·  ·  Consumer Support Estimate","Other end uses of fossil fuels (e.g. transport and residential sectors)","Natural Gas","Total economy","","","","","","","","","","","","","","","",""
"","Energy Tax Rebate for Non Profit Organisations and Religious Institutions","·  ·  Consumer Support Estimate","Other end uses of fossil fuels (e.g. transport and residential sectors)","Natural Gas","·  General government","","","","","","","","","","","","","","","",""
"","Energy Tax Rebate for Non Profit Organisations and Religious Institutions","·  ·  Consumer Support Estimate","Other end uses of fossil fuels (e.g. transport and residential sectors)","Natural Gas","·  ·  Central government","","21,603,377","22,969,720","28,024,479","33,217,693","23,718,416","18,751,305","27,639,560","22,792,322","23,595,856","26,539,603","28,490,086","23,593,771","18,692,402","24,923,202",""
"","Differentiated Tax Rate on Diesel Fuel","Total","","","","","","","","","","","","","","","","","","",""
"","Differentiated Tax Rate on Diesel Fuel","·  Beneficiary","","","","","","","","","","","","","","","","","","",""
"","Differentiated Tax Rate on Diesel Fuel","·  ·  Consumer Support Estimate","Other end uses of fossil fuels (e.g. transport and residential sectors)","Petroleum","","","","","","","","","","","","","","","","",""
