"","","","","","","","","","","","","","","","","","","","","","","",""
"Future Reserves 2020 Strength","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"Table 17 - Strengths of Future Reserves 2020 by Religion ","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"Source: Defence Statistics (Tri Service)","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Glossary of terms","","","","","","","","","","","","","","","","","","","",""
"","","","Return to Contents ","1 Apr 12","","1 Oct 12","","1 Apr 13","","1 Oct 13","","1 Apr 14","","1 Oct 14","","1 Apr 15","","1 Oct 15","","1 Apr 16","","1 Oct 16",""
"","","","","Number ","%","Number ","% ","Number ","% ","Number ","%","Number ","%","Number ","%","Number ","%","Number ","%","Number ","%","Number ","%"
"","","","","","","","","","","","","","","","","","","","","","","",""
"All Services ","","","","..","","29 760","","29 390","","28 350","","28 150","","28 470","","30 810","","33 280","","34 760","","35 540",""
"","","Christian ","","..","..","23 120","80.6","22 730","80.2","22 030","80.2","21 850","80.3","21 980","80.0","23 210","78.7","24 560","77.3","25 430","76.5","25 780","75.7"
"","","Other Religions","","..","..","0 490","1.7","0 480","1.7","0 480","1.7","0 480","1.8","0 520","1.9","0 560","1.9","0 650","2.0","0 710","2.1","0 730","2.1"
"","","No Religion","","..","..","5 090","17.7","5 140","18.1","4 970","18.1","4 880","17.9","4 980","18.1","5 720","19.4","6 570","20.7","7 090","21.3","7 520","22.1"
"","","Unknown ","","..","..","1 060","*","1 030","*","0 870","*","0 930","*","0 980","*","1 320","*","1 500","*","1 530","*","1 500","*"
"","Officers","","","..","","5 270","","5 340","","5 360","","5 480","","5 580","","5 740","","6 040","","6 280","","6 450",""
"","","Christian ","","..","..","4 600","88.2","4 630","87.5","4 630","87.3","4 720","87.0","4 770","86.5","4 870","85.9","5 060","84.8","5 190","84.0","5 320","83.5"
"","","Other Religions","","..","..","0 100","1.9","0 100","2.0","0 100","2.0","0 110","2.0","0 120","2.1","0 120","2.1","0 120","2.1","0 120","1.9","0 120","1.8"
"","","No Religion","","..","..","0 520","9.9","0 560","10.5","0 570","10.7","0 600","11.0","0 630","11.4","0 680","12.0","0 780","13.1","0 870","14.1","0 940","14.7"
"","","Unknown ","","..","..","0 050","*","0 050","*","0 050","*","0 060","*","0 060","*","0 070","*","0 080","*","0 090","*","0 080","*"
"","Other Ranks ","","","..","","24 490","","24 050","","22 990","","22 660","","22 890","","25 080","","27 230","","28 480","","29 090",""
"","","Christian ","","..","..","18 520","78.9","18 100","78.5","17 400","78.5","17 130","78.6","17 210","78.3","18 340","77.0","19 500","75.5","20 230","74.8","20 460","74.0"
"","","Other Religions","","..","..","0 390","1.7","0 380","1.6","0 380","1.7","0 370","1.7","0 400","1.8","0 450","1.9","0 530","2.0","0 590","2.2","0 610","2.2"
"","","No Religion","","..","..","4 570","19.5","4 590","19.9","4 400","19.8","4 280","19.6","4 350","19.8","5 030","21.1","5 790","22.4","6 220","23.0","6 590","23.8"
"","","Unknown ","","..","..","1 020","*","0 980","*","0 820","*","0 880","*","0 930","*","1 260","*","1 420","*","1 440","*","1 420","*"
"Maritime Reserve","","","","..","","2 570","","2 610","","2 600","","2 850","","2 970","","3 160","","3 430","","3 540","","3 480",""
"","","Christian ","","..","..","1 940","81.7","1 950","79.8","2 050","79.8","2 150","77.6","2 230","76.5","2 280","74.8","2 400","73.8","2 460","74.3","2 420","73.9"
"","","Other Religions","","..","..","0 040","1.5","0 040","1.6","0 040","1.4","0 040","1.4","0 040","1.4","0 050","1.7","0 060","1.8","0 060","1.7","0 060","1.9"
"","","No Religion","","..","..","0 400","16.8","0 450","18.6","0 480","18.7","0 580","21.0","0 640","22.1","0 720","23.5","0 790","24.4","0 800","24.0","0 790","24.2"
"","","Unknown ","","..","..","0 190","*","0 170","*","0 030","*","0 080","*","0 060","*","0 100","*","0 180","*","0 220","*","0 210","*"
"","Officers","","","..","","0 810","","0 820","","0 830","","0 840","","0 880","","0 900","","0 990","","1 040","","1 090",""
"","","Christian ","","..","..","0 680","86.1","0 700","85.7","0 710","86.1","0 720","85.8","0 750","85.5","0 760","85.2","0 820","84.2","0 860","83.3","0 890","82.8"
"","","Other Religions","","..","..","0 010","1.8","0 020","1.8","0 020","1.8","0 020","1.9","0 020","1.8","0 020","1.8","0 020","1.6","0 010","1.3","0 010","1.0"
"","","No Religion","","..","..","0 100","12.2","0 100","12.4","0 100","12.0","0 100","12.3","0 110","12.7","0 120","13.0","0 140","14.2","0 160","15.5","0 170","16.1"
"","","Unknown ","","..","..","0 010","*","0 010","*","~","*","~","*","~","*","~","*","0 020","*","0 020","*","0 020","*"
"","Other Ranks ","","","..","","1 760","","1 790","","1 780","","2 000","","2 090","","2 250","","2 440","","2 500","","2 380",""
"","","Christian ","","..","..","1 260","79.6","1 250","76.9","1 340","76.8","1 430","74.0","1 480","72.6","1 520","70.5","1 580","69.4","1 610","70.3","1 530","69.6"
