"Parameter","","A7","A7C","A7III","A7RIII","A7SIII"
"Body","","","","","",""
"Type","","SLR Mirrorless","Mirrorless","SLR Mirrorless","SLR Mirrorless","SLR Mirrorless"
"Material","","Magnesium","Magnesium","Magnesium","Magnesium","Magnesium"
"Sensor","","","","","",""
"Max Resolution","","6,000 x 4,000","6,000 x 4,000","6,000 x 4,000","7,952 x 5,304","4,240 x 2,832"
"Image Ratio","","16:09","16:09","16:09","16:09","16:09"
"Effective Pixels","","24 MP","24 MP","24 MP","42 MP","12 MP"
"Sensor Size","","Full Frame","Full Frame","Full Frame","Full Frame","Full Frame"
"Image ","","","","","",""
"ISO","","100 - 25,600","100 - 51,200","100 - 51,200","100 - 32,000","80 - 102,400"
"Boosted","Minimum","50","50","50","50","40"
"","Maximum","-","204,800","204,800","102,400","409.6"
"","WB Presets","10","7","11","10","7"
"","Image Stabilization","No","Yes","Yes","Yes","Yes"
"Optics & Focus","","","","","",""
"Autofocus","","Eye AF","Phase AF","Eye AF","Eye AF","Eye AF"
"Digital Zoom","","Yes","Yes","Yes","Yes","-"
"Manual Focus","","Yes","Yes","Yes","Yes","Yes"
"Number of Focus Point","","117","693","693","399","759"
"Screen","","","","","",""
"Size","","3""","3""","3""","3""","3"""
"Dots","","1.23k","0.921k","0.921k","1.44k","1.44k"
"Touch Screen","","No","Yes","Yes","Yes","Yes"
"Viewfinder Type","","Electronic","Electronic","Electronic","Electronic","Electronic"
