"Source of Water","Reference Pathogen","Units","Occurrence (%)","Distribution3 (log10/L)","References",""
"Untreated municipal wastewater","Norovirus GI+GII","genome copies","100","N(4.7,1.5)","Eftim et al. (2017)",""
"","Cryptosporidium","oocysts","100","U(-0.5,4.38)","Robertson et al. (2006), Madore et al. (1987), Yang et al. (2015), Crockett (2007), Nasser (2015), Harwood et al. (2005), Pecson et al. (2022b)",""
"","Giardia","cysts","100","U(0.5,5.0)","Wallis et al. (1996), Sykora et al. (1991),
Harwood et al. (2005), Pecson et al. (2022b)",""
"","Campylobacter spp.","CFU","100","U(2.95,4.6)","Stampi et al. (1993)",""
"","Salmonella spp.","CFU","100","U(0.5,7.4)","Jimenez-Cisneros et al. (2001), Bonadonna et al. (2002), Lemarchand and Lebaron (2003)",""
"Untreated onsite wastewater","Norovirus GI+GII","genome copies","99.7","E(6.52,8.21)","Jahne et al. (2017)",""
"","Cryptosporidium spp.","oocysts","11.3","E(3.28,5.11)","Jahne et al. (2017)",""
"","Giardia","cysts","69.8","E(2.92,4.65)","Jahne et al. (2017)",""
"","Campylobacter spp.","CFU","27.3","E(2.75,5.35)","Jahne et al. (2017)",""
"","Salmonella spp.","CFU","23.2","E(3.52,5.28)","Jahne et al. (2017)",""
"Graywater","Norovirus GI+GII","genome copies","99.7","E(3.86,5.73)","Jahne et al. (2017)",""
"","Cryptosporidium spp.","oocysts","11.3","E(0.99,2.77)","Jahne et al. (2017)",""
"","Giardia","cysts","69.8","E(0.84,2.48)","Jahne et al. (2017)",""
"","Campylobacter spp.","CFU","27.3","E(1.13,3.19)","Jahne et al. (2017)",""
"","Salmonella spp.","CFU","23.2","E(1.11,2.89)","Jahne et al. (2017)",""
"Stormwater","Norovirus GI+GII","genome copies","100","N(3.7,1.5)","Schoen et al. (2023)",""
"","Cryptosporidium spp.","oocysts","100","U(-1.5, 3.38)","Schoen et al. (2023)",""
"","Giardia","cysts","100","U(-0.5, 4.0)","Schoen et al. (2023)",""
"","Campylobacter spp.","CFU","100","U(1.95,3.6)","Schoen et al. (2023)",""
"","Salmonella spp.","CFU","100","U(-0.5, 6.4)","Schoen et al. (2023)",""
"Roof runoff","Campylobacter spp.","CFU","100","E(-0.85,1.67)","Schoen et al. (2017)",""
"","Salmonella spp.","CFU","100","E(0.15,3.94)","Schoen et al. (2017)",""
"","Giardia","cysts","100","U(-0.7,1.2)","Alja'fari et al. (2022)",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
