"Expenditures (billions of current dollars)","","","","","","","","","","","","","","","","","",""
"Blended Account","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015*","2016*","2017*"
"Health","  1,109.59 ","  1,209.39 ","  1,317.08 ","  1,410.72 ","  1,514.93 ","  1,612.26 ","  1,715.00 ","  1,823.24 ","  1,909.27 ","  1,999.26 ","  2,078.10 ","  2,153.23 ","  2,230.73 ","  2,288.26 ","  2,409.13 ","  2,564.28 ","  2,691.29 ","  2,800.66 "
"Health services","  1,052.23 ","  1,151.49 ","  1,255.13 ","  1,343.89 ","  1,442.47 ","  1,533.56 ","  1,629.44 ","  1,729.86 ","  1,812.74 ","  1,900.98 ","  1,973.87 ","  2,042.37 ","  2,114.53 ","  2,168.05 ","  2,284.60 ","  2,433.69 ","  2,555.25 ","  2,660.42 "
"Medical services by disease","  900.75 ","  988.51 ","  1,080.95 ","  1,160.42 ","  1,247.43 ","  1,326.72 ","  1,413.75 ","  1,499.06 ","  1,569.41 ","  1,650.94 ","  1,714.32 ","  1,778.66 ","  1,846.24 ","  1,896.19 ","  2,005.04 ","  2,144.25 ","  2,252.97 ","  2,350.32 "
"Infectious and parasitic diseases","  24.99 ","  28.22 ","  32.71 ","  36.01 ","  35.71 ","  42.25 ","  48.84 ","  53.75 ","  59.38 ","  63.96 ","  67.45 ","  72.07 ","  77.44 ","  82.46 ","  94.00 ","  111.55 ","  123.24 ","  128.99 "
"Neoplasms","  60.74 ","  66.63 ","  71.58 ","  76.39 ","  84.31 ","  88.63 ","  95.52 ","  100.27 ","  103.62 ","  108.48 ","  111.57 ","  116.60 ","  121.41 ","  122.05 ","  129.12 ","  137.94 ","  138.91 ","  147.78 "
"Endocrine; nutritional; and metabolic diseases and immunity disorders","  50.01 ","  58.31 ","  67.43 ","  72.16 ","  80.39 ","  86.39 ","  94.11 ","  101.01 ","  106.65 ","  111.96 ","  116.43 ","  122.51 ","  127.63 ","  129.52 ","  139.03 ","  147.35 ","  152.27 ","  159.05 "
"Mental illness","  41.34 ","  43.34 ","  46.96 ","  49.69 ","  51.84 ","  55.61 ","  59.61 ","  64.57 ","  68.09 ","  71.51 ","  74.67 ","  78.09 ","  81.71 ","  85.57 ","  95.42 ","  104.33 ","  100.83 ","  108.55 "
"Diseases of the nervous system and sense organs","  63.88 ","  69.96 ","  77.02 ","  81.01 ","  85.43 ","  89.94 ","  95.97 ","  103.66 ","  109.30 ","  115.31 ","  120.91 ","  126.82 ","  133.31 ","  139.14 ","  149.50 ","  160.82 ","  177.33 ","  185.61 "
"Diseases of the circulatory system","  145.58 ","  157.40 ","  168.40 ","  178.22 ","  191.70 ","  198.60 ","  207.67 ","  212.88 ","  219.00 ","  228.03 ","  232.63 ","  231.15 ","  230.71 ","  231.94 ","  240.14 ","  253.68 ","  253.65 ","  263.13 "
"Diseases of the respiratory system","  91.98 ","  98.94 ","  105.31 ","  113.32 ","  113.78 ","  126.66 ","  127.65 ","  133.31 ","  140.96 ","  144.62 ","  144.03 ","  149.58 ","  152.46 ","  155.41 ","  158.80 ","  165.57 ","  170.29 ","  178.85 "
