"Table 2: Innovation activity: Percentage of businesses investing in each type of activity, 2018 to 2020","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"Cells in some rows have been left blank. This occurs where the start of the row indicates the employment size group, country or English region or Industrial information / Sector to which data in the rows following refer.  ","","","","","","","","","","","","","","","","",""
"Freeze panes are turned on. To turn off, select 'View' ribbon then 'Freeze panes', then 'Unfreeze panes' or use (Alt,W,F).","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"Employment size, Country / English region, Industrial information / Sampling sector","Internal R&D (percentage)","Acquisition of external R&D (percentage)","Total machinery and equipment, computer hardware or software (percentage)","Machinery and equipment (percentage)","Computer hardware (percentage)","Computer software (percentage)","Acquisition of existing knowledge (percentage)","Training for innovative activities (percentage)","Any form of design activity (percentage)","Total market introduction of innovation including i) Changes to product or service design, ii) Market research, iii) Changes to marketing methods (percentage)","Changes to product or service design (percentage)","Market research (percentage)","Changes to marketing methods (percentage)","Launch advertising (percentage)","","",""
"All","16.0","5.3","34.4","15.7","23.2","23.9","4.3","13.7","13.8","10.7","5.7","3.3","6.1","6.1","","",""
"Employment size group","","","","","","","","","","","","","","","","",""
"10 to 49","14.1","4.9","33.3","15.1","22.9","22.6","4.4","13.4","13.0","10.6","5.6","3.1","6.3","6.1","","",""
"50 to 99","23.9","6.5","39.9","17.7","24.8","30.1","4.1","15.5","17.0","11.1","5.9","4.0","5.6","5.6","","",""
"100 to 249","26.2","7.3","39.8","17.9","24.4","29.3","3.2","14.6","17.7","9.7","5.3","3.3","4.2","6.5","","",""
"Large Businesses (250+)","27.1","8.7","41.2","21.5","26.1","31.3","5.8","16.8","18.3","12.4","7.1","6.7","5.3","7.6","","",""
"SMEs (10 to 249)","15.7","5.2","34.2","15.5","23.1","23.6","4.3","13.6","13.6","10.6","5.6","3.2","6.1","6.0","","",""
"Country","","","","","","","","","","","","","","","","",""
"England","16.5","5.4","34.8","15.8","23.6","24.2","4.6","13.9","14.1","11.0","5.9","3.4","6.3","6.3","","",""
"Wales","15.5","6.8","37.0","17.1","24.2","25.9","3.5","16.9","10.9","10.2","5.4","2.9","5.7","5.6","","",""
"Scotland","11.9","4.3","31.4","14.3","20.2","21.4","2.9","11.9","12.2","8.3","4.5","2.3","4.7","4.4","","",""
"Northern Ireland","13.4","3.5","29.3","14.4","18.7","19.5","3.1","10.3","11.7","7.7","3.3","2.2","3.6","4.7","","",""
"English Region","","","","","","","","","","","","","","","","",""
"North East","14.5","4.1","31.1","16.5","23.0","17.8","3.7","12.6","12.2","9.3","3.3","1.7","4.9","5.8","","",""
"North West","16.0","5.7","33.8","17.3","22.6","23.1","4.5","13.3","14.2","10.8","5.0","3.5","6.5","6.2","","",""
"Yorkshire and The Humber","18.7","6.0","39.0","19.6","24.6","27.3","5.9","14.6","13.0","10.9","5.7","3.4","7.2","6.2","","",""
"East Midlands","19.6","7.2","36.2","19.6","23.9","22.9","4.5","15.1","16.7","11.5","7.5","3.4","6.9","7.8","","",""
