"","","Experiment 1","","","","","","","","","","Experiment 2","","","","","","","",""
"","","Replicate 1","","","Replicate 2","","","Replicate 3","","","","Replicate 1","","","Replicate 2","","","Replicate 3","",""
"","","No. of total DCs","No. of infected DCs","No. of intracellular amastgotes","No. of total DCs","No. of infected DCs","No. of intracellular amastgotes","No. of total DCs","No. of infected DCs","No. of intracellular amastgotes","","No. of total DCs","No. of infected DCs","No. of intracellular amastgotes","No. of total DCs","No. of infected DCs","No. of intracellular amastgotes","No. of total DCs","No. of infected DCs","No. of intracellular amastgotes"
"Microscopic Field #","Field_1","14","12","72","21","19","103","22","19","89","","22","20","101","23","21","90","26","21","107"
"","Field_2","21","18","97","17","13","66","24","21","113","","19","17","81","26","22","98","19","18","88"
"","Field_3","25","20","113","20","17","81","19","17","99","","23","20","89","18","16","82","22","19","98"
"","Field_4","23","20","105","26","23","114","15","14","79","","16","14","68","19","16","77","18","16","79"
"","Field_5","26","21","106","19","17","81","19","17","106","","26","24","109","21","21","89","18","15","74"
"","Field_6","14","12","73","21","18","93","15","14","83","","24","21","102","25","16","91","16","14","66"
"","Field_7","23","20","101","20","17","86","7","7","41","","19","17","83","19","20","83","23","19","92"
"","Field_8","22","19","93","18","14","71","13","12","63","","20","16","78","23","23","89","21","18","85"
"","Field_9","21","18","91","20","17","69","11","10","59","","16","14","63","27","15","103","26","21","102"
"","Field_10","24","21","98","20","18","78","17","15","64","","25","22","95","18","19","73","24","20","97"
"","Field_11","16","13","83","19","16","74","9","8","51","","22","18","93","22","21","90","25","22","106"
"","Field_12","19","16","96","25","21","101","16","14","68","","26","23","112","26","16","98","23","19","93"
"","Field_13","25","21","117","22","19","93","12","10","63","","19","16","79","19","17","83","26","21","101"
"","Field_14","24","20","102","19","16","74","9","9","52","","21","17","83","18","15","80","13","11","61"
"","Field_15","24","21","107","21","16","81","13","12","61","","24","21","106","25","23","76","16","13","63"
"","Field_16","19","16","99","23","17","93","12","10","54","","18","15","73","27","23","96","21","19","92"
"","Field_17","15","12","82","26","23","102","15","13","65","","27","23","113","23","20","102","27","22","107"
"","Field_18","21","18","109","18","17","85","11","10","55","","24","21","92","18","15","95","19","16","81"
"","Field_19","18","16","84","25","23","105","8","8","39","","26","23","113","22","18","68","23","18","89"
"","Field_20","26","20","109","21","17","81","12","11","60","","19","17","73","20","16","90","26","23","106"
"","Field_21","23","19","102","20","17","81","10","9","53","","23","20","83","19","16","75","19","17","94"
"","Field_22","21","21","108","22","16","91","11","10","51","","26","21","104","24","21","83","24","21","100"
"","Field_23","18","17","96","17","15","73","12","11","59","","21","17","73","26","22","101","18","15","76"
"","Field_24","13","10","67","26","23","105","8","7","41","","25","21","91","23","21","106","16","14","68"
"","Field_25","19","18","98","24","21","108","10","8","48","","26","21","97","23","14","95","21","17","83"
"","Field_26","21","19","109","22","18","95","12","10","58","","19","17","87","26","23","64","23","20","94"
"","Field_27","17","15","86","25","21","107","14","11","66","","20","17","85","20","18","111","26","21","98"
"","Field_28","26","23","116","19","16","83","19","8","44","","18","16","72","21","17","83","19","17","82"
"","Field_29","21","18","91","12","12","61","12","9","61","","13","13","62","26","22","109","23","19","92"
"","Field_30","24","20","101","17","15","63","16","14","68","","17","15","71","19","17","87","17","14","70"
"","Total","623","534","2911","625","532","2598","403","348","1913","","644","557","2631","666","564","2667","638","540","2644"
"","% infected DCs","85.714285714286","","","85.12","","","86.352357320099","","","","86.490683229814","","","84.684684684685","","","84.639498432602","",""
"","No. of intracellular amasigotes/1000 DCs","4672.5521669342","","","4156.8","","","4746.8982630273","","","","4085.4037267081","","","4004.5045045045","","","4144.2006269592","",""
