"HOUSEHOLD DATA
ANNUAL AVERAGES
7. Employment status of the civilian noninstitutional population 25 years and over by educational attainment, sex, race, and Hispanic or Latino ethnicity","","","","","","","",""
"[Numbers in thousands]","","","","","","","",""
"","","","","","","","",""
"Employment status,
 sex, race, and Hispanic
 or Latino ethnicity","2023","","","","","","",""
"","Less than a
high school
diploma","High school
graduates,
no college(1)","Some college or associate degree","","","Bachelor's degree and higher","",""
"","","","Total","Some college,
no degree","Associate
degree","Total(2)","Bachelor's
degree
only","Advanced
degree"
"","","","","","","","",""
"TOTAL","","","","","","","",""
"Civilian noninstitutional population","19480","63419","56926","32847","24079","87778","54106","33672"
"Civilian labor force","9180","35928","35803","19911","15891","64077","39357","24720"
"Participation rate","47.1","56.7","62.9","60.6","66","73","72.7","73.4"
"Employed","8669","34529","34714","19256","15457","62752","38489","24263"
"Employment-population ratio","44.5","54.4","61","58.6","64.2","71.5","71.1","72.1"
"Unemployed","511","1399","1089","655","434","1324","868","456"
"Unemployment rate","5.6","3.9","3","3.3","2.7","2.1","2.2","1.8"
"Women","","","","","","","",""
"Civilian noninstitutional population","9513","30973","30105","16796","13309","46376","28331","18044"
"Civilian labor force","3262","14516","17302","9128","8174","32256","19257","12998"
"Participation rate","34.3","46.9","57.5","54.3","61.4","69.6","68","72"
"Employed","3052","13970","16786","8826","7960","31599","18828","12771"
"Employment-population ratio","32.1","45.1","55.8","52.5","59.8","68.1","66.5","70.8"
"Unemployed","209","547","516","303","214","657","429","228"
"Unemployment rate","6.4","3.8","3","3.3","2.6","2","2.2","1.8"
"Men","","","","","","","",""
"Civilian noninstitutional population","9967","32446","26821","16051","10770","41402","25774","15628"
"Civilian labor force","5919","21412","18500","10783","7717","31821","20100","11721"
"Participation rate","59.4","66","69","67.2","71.7","76.9","78","75"
"Employed","5617","20559","17928","10431","7497","31153","19661","11493"
"Employment-population ratio","56.4","63.4","66.8","65","69.6","75.2","76.3","73.5"
"Unemployed","302","852","573","352","220","668","439","229"
"Unemployment rate","5.1","4","3.1","3.3","2.9","2.1","2.2","1.9"
"White","","","","","","","",""
"Civilian noninstitutional population","14776","48957","44376","25347","19029","67744","42178","25567"
"Civilian labor force","7266","27358","27375","15066","12309","48602","30361","18241"
"Participation rate","49.2","55.9","61.7","59.4","64.7","71.7","72","71.3"
"Employed","6896","26430","26638","14630","12008","47661","29727","17933"
"Employment-population ratio","46.7","54","60","57.7","63.1","70.4","70.5","70.1"
"Unemployed","369","928","737","436","301","941","633","308"
"Unemployment rate","5.1","3.4","2.7","2.9","2.4","1.9","2.1","1.7"
"Black or African American","","","","","","","",""
"Civilian noninstitutional population","2616","9460","8213","5041","3172","8607","5385","3222"
"Civilian labor force","1032","5610","5535","3243","2291","6733","4179","2553"
"Participation rate","39.5","59.3","67.4","64.3","72.2","78.2","77.6","79.2"
"Employed","936","5269","5287","3085","2202","6568","4064","2504"
"Employment-population ratio","35.8","55.7","64.4","61.2","69.4","76.3","75.5","77.7"
"Unemployed","96","341","248","159","89","164","115","49"
"Unemployment rate","9.3","6.1","4.5","4.9","3.9","2.4","2.8","1.9"
"Asian","","","","","","","",""
"Civilian noninstitutional population","1157","2685","2088","1119","969","9272","5132","4139"
"Civilian labor force","452","1510","1380","717","663","7052","3721","3330"
"Participation rate","39.1","56.2","66.1","64.1","68.4","76.1","72.5","80.5"
"Employed","436","1464","1339","698","641","6877","3636","3241"
"Employment-population ratio","37.7","54.5","64.1","62.3","66.2","74.2","70.8","78.3"
"Unemployed","16","46","41","20","22","175","86","89"
"Unemployment rate","3.6","3","3","2.8","3.3","2.5","2.3","2.7"
"Hispanic or Latino ethnicity","","","","","","","",""
"Civilian noninstitutional population","9207","12315","8087","4825","3262","8228","5689","2540"
"Civilian labor force","5363","8513","5969","3510","2459","6582","4540","2042"
"Participation rate","58.3","69.1","73.8","72.8","75.4","80","79.8","80.4"
"Employed","5098","8152","5764","3385","2380","6419","4414","2005"
"Employment-population ratio","55.4","66.2","71.3","70.2","72.9","78","77.6","78.9"
"Unemployed","265","361","205","125","79","163","126","37"
"Unemployment rate","4.9","4.2","3.4","3.6","3.2","2.5","2.8","1.8"
"","","","","","","","",""
"Footnotes:","","","","","","","",""
"(1) Includes persons with a high school diploma or equivalent.","","","","","","","",""
"(2) Includes persons with bachelor`s, master`s, professional, and doctoral degrees.","","","","","","","",""
"NOTE: Estimates for the above race groups (White, Black or African American, and Asian) do not sum to totals because data are not presented for all races. Persons whose ethnicity is identified as Hispanic or Latino may be of any race. Updated population controls are introduced annually with the release of January data.","","","","","","","",""
