"","","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct"
"Bay 1","Customer","Company A","Company A","Company A","Company A","Company A","Company A","Company A","Company A","Company A","Company A"
"","Model","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"","Work type","Check","Check","Check","Check","Check","Check","Check","Check","Check","Check"
"","Data 1","8","  5 ","  4 ","  6 ","  3 ","  41 ","  2 ","  20 ","  20 ","  5 "
"","Data 2","  3 ","  2 ","  6 ","  7 ","  9 ","0","  3 ","  3 ","  1 ","  3 "
"","Data 3","7","  0 ","  0 ","  0 ","  0 ","  0 ","  0 ","  0 ","  0 ","  0 "
"","Data 4","5","  8 ","  4 ","  3 ","  2 ","  5 ","  5 ","  2 ","  2 ","  1 "
"","Data 5","  242 ","  242 ","  242 ","  242 ","  242 ","  140 ","  140 ","  140 ","  140 ","  140 "
"","Data 6","55.71","  57 ","  57 ","  57 ","  57 ","  58 ","  58 ","  59 ","  59 ","  60 "
"","Data 7","","  0 ","0","0","  0 ","  0 ","  0 ","  0 ","  0 ","  0 "
"","Data 8","8","8","8","8","8","8","8","8","8","8"
"","Data 9","4","4","4","4","4","4","4","4","4","4"
"Bay 2","Customer","Company A","Company A","Company A","Company A","Company A","Company A","Company A","Company A","Company A","Company A"
"","Model","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"","Work type","Check","Check","Check","Check","Check","Check","Check","Check","Check","Check"
"","Data 1","8","  5 ","  4 ","  6 ","  3 ","  41 ","  2 ","  20 ","  20 ","  5 "
"","Data 2","  1 ","  1 ","  1 ","  1 ","  118 ","  117 ","  116 ","  115 ","  113 ","  112 "
"","Data 3","0","  0 ","  0 ","  1 ","  0 ","  0 ","  0 ","  3 ","  0 ","  0 "
"","Data 4","1","  1 ","  1 ","  242 ","  1 ","  1 ","  1 ","  1 ","  1 ","  1 "
"","Data 5","  242 ","  242 ","  242 ","  242 ","  242 ","  140 ","  140 ","  140 ","  140 ","  140 "
"","Data 6","55.71","  57 ","  57 ","  57 ","  57 ","  58 ","  58 ","  59 ","  59 ","  60 "
"","Data 7","0","0","0","0","  0 ","  0 ","  0 ","0","  0 ","  0 "
"","Data 8","8","8","8","8","8","8","8","8","8","8"
"","Data 9","4","4","4","4","4","4","4","4","4","4"
"Bay 3","Customer","Company B","Company B","Company B","Company B","Company B","Company B","Company B","Company B","Company B","Company B"
"","Model","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"","Work type","Overhaul","Overhaul","Overhaul","Overhaul","Overhaul","Overhaul","Overhaul","Overhaul","Overhaul","Overhaul"
"","Data 1","4","  3 ","  56 ","  2 ","  3 ","  5 ","  5 ","  3 ","  2 ","  5 "
"","Data 2","  1 ","  1 ","  1 ","  1 ","  118 ","  117 ","  116 ","  115 ","  113 ","  112 "
"","Data 3","2","  0 ","  0 ","  0 ","  0 ","  1 ","  0 ","  0 ","  0 ","  0 "
"","Data 4","77","  6 ","  42 ","  2 ","  2 ","  4 ","  5 ","  6 ","  1 ","  5 "
"","Data 5","  242 ","  6 ","  242 ","  242 ","  243 ","  140 ","  140 ","  140 ","  140 ","  140 "
"","Data 6","55.71","  57 ","  57 ","  57 ","  57 ","  58 ","  61 ","  59 ","  59 ","  60 "
"","Data 7","1","  0 ","0","  1 ","  0 ","  0 ","  0 ","  0 ","  0 ","  0 "
"","Data 8","8","8","8","8","8","8","8","8","8","8"
"","Data 9","4","4","4","4","4","4","4","4","4","4"
