"Table 2: Individual insolvency rolling 12-month rate per 10,000 adults, England and Wales, not seasonally adjusted, 1 January 2012 to 30 June 2022 [p][note 6][note 7]","","","","","","","","","","","","","","","","","",""
"Back to contents","","","","","","","","","","","","","","","","","",""
"This worksheet contains one table. Some cells refer to notes which can be found in the Notes worksheet.","","","","","","","","","","","","","","","","","",""
"Some shorthand is used in this table, [r] = revised, [p] = provisional. See Notes worksheet for further details.","","","","","","","","","","","","","","","","","",""
"Sources: Insolvency Service, Office for National Statistics (population estimates)","","","","","","","","","","","","","","","","","",""
"Year","Quarter","Total individual insolvencies ","Column1","Bankruptcies  [note 2][note 3]","r_bankruptcies","Debt relief orders [note 5]","r_dros","Individual voluntary arrangements ","r_ivas","","","","","","","","",""
"2012","Q1","26.7","","8.7","","6.8","","11.3","","","","","","","","","",""
"2012","Q2","26.0","","8.0","","7.0","","11.1","","","","","","","","","",""
"2012","Q3","25.5","","7.5","","7.0","","10.9","","","","","","","","","",""
"2012","Q4","24.6","","7.1","","7.0","","10.5","","","","","","","","","",""
"2013","Q1","23.7","","6.6","","6.8","","10.3","","","","","","","","","",""
"2013","Q2","23.3","","6.2","","6.6","","10.5","","","","","","","","","",""
"2013","Q3","22.9","[r]","5.8","","6.4","[r]","10.6","","","","","","","","","",""
"2013","Q4","22.5","[r]","5.5","","6.2","[r]","10.9","","","","","","","","","",""
"2014","Q1","22.5","[r]","5.3","","6.0","[r]","11.2","","","","","","","","","",""
"2014","Q2","22.7","[r]","5.0","","6.0","[r]","11.7","","","","","","","","","",""
"2014","Q3","22.2","","4.8","","6.0","","11.5","","","","","","","","","",""
"2014","Q4","21.7","","4.5","","5.9","","11.3","","","","","","","","","",""
"2015","Q1","20.6","","4.2","","5.8","","10.6","","","","","","","","","",""
"2015","Q2","18.7","","3.9","","5.6","","9.3","","","","","","","","","",""
"2015","Q3","18.0","","3.6","","5.3","","9.0","","","","","","","","","",""
"2015","Q4","17.6","","3.5","","5.3","","8.8","","","","","","","","","",""
"2016","Q1","17.5","","3.3","","5.4","","8.8","","","","","","","","","",""
"2016","Q2","18.4","","3.3","","5.6","","9.6","","","","","","","","","",""
"2016","Q3","19.3","","3.3","","5.8","","10.3","","","","","","","","","",""
"2016","Q4","19.7","","3.3","","5.7","","10.7","","","","","","","","","",""
"2017","Q1","20.6","","3.3","","5.6","","11.7","","","","","","","","","",""
"2017","Q2","20.5","","3.3","","5.4","","11.7","","","","","","","","","",""
"2017","Q3","21.0","","3.3","","5.4","","12.3","","","","","","","","","",""
"2017","Q4","21.4","","3.3","","5.4","","12.8","","","","","","","","","",""
"2018","Q1","21.8","","3.3","","5.5","","13.0","","","","","","","","","",""
"2018","Q2","23.1","","3.4","","5.7","","14.1","","","","","","","","","",""
"2018","Q3","22.9","","3.5","","5.8","","13.6","","","","","","","","","",""
"2018","Q4","24.7","","3.6","","6.0","","15.2","","","","","","","","","",""
"2019","Q1","25.5","","3.6","","6.0","","15.9","","","","","","","","","",""
"2019","Q2","25.9","","3.6","","6.0","","16.3","","","","","","","","","",""
"2019","Q3","27.3","","3.6","","5.9","","17.7","","","","","","","","","",""
"2019","Q4","26.1","","3.6","","5.9","","16.7","","","","","","","","","",""
"2020","Q1","25.4","","3.6","","5.9","","15.9","","","","","","","","","",""
"2020","Q2","25.8","","3.2","","5.4","","17.2","","","","","","","","","",""
"2020","Q3","23.2","","2.9","","4.9","","15.3","","","","","","","","","",""
"2020","Q4","23.7","","2.7","","4.4","","16.7","","","","","","","","","",""
"2021","Q1","23.5","","2.3","","3.8","","17.5","","","","","","","","","",""
"2021","Q2","22.6","[r]","2.3","","3.7","","16.7","","","","","","","","","",""
"2021","Q3","24.1","","2.1","","3.9","","18.0","","","","","","","","","",""
"2021","Q4","23.3","","1.9","","4.3","","17.2","","","","","","","","","",""
"2022","Q1","24.1","","1.6","[r]","4.8","","17.6","","","","","","","","","",""
"2022","Q2","24.4","","1.5","","5.1","","17.9","","","","","","","","","",""
"Change in rate per 10,000 adults, latest quarter (2022 Q2) compared with:","","","","","","","","","","","","","","","","","",""
"2022","Q1","0.4","","-0.1","","0.3","","0.2","","","","","","","","","",""
"2021","Q2","1.8","","-0.8","","1.4","","1.2","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
