"Table 4. Real Gross Output by Commodity","","","","","","","","","","","","","","","","","","","","",""
"","Billions of chained (2012) dollars","","","","","","","","","","","","","","","","","","","",""
"","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Total Economy","  21,628.9 ","  22,792.6 ","  23,954.8 ","  25,025.4 ","  25,018.4 ","  25,181.8 ","  25,753.9 ","  26,690.2 ","  27,743.0 ","  28,362.3 ","  28,917.5 ","  28,533.6 ","  26,952.0 ","  27,832.0 ","  28,439.1 ","  29,186.8 ","  29,797.7 ","  30,666.6 ","  31,368.6 ","  31,972.4 ","  32,792.6 "
"","","","","","","","","","","","","","","","","","","","","",""
"Digital Economy ","  630.1 ","  740.8 ","  884.6 ","  1,025.1 ","  1,038.3 ","  1,000.8 ","  1,025.7 ","  1,088.1 ","  1,177.1 ","  1,259.3 ","  1,349.6 ","  1,418.4 ","  1,392.1 ","  1,493.2 ","  1,583.0 ","  1,658.4 ","  1,716.7 ","  1,808.6 ","  1,898.4 ","  2,024.2 ","  2,154.2 "
"Digital-Enabling Infrastructure","  582.5 ","  688.1 ","  824.2 ","  959.5 ","  974.0 ","  933.6 ","  951.2 ","  1,005.0 ","  1,080.5 ","  1,149.6 ","  1,223.6 ","  1,285.4 ","  1,253.0 ","  1,335.6 ","  1,403.2 ","  1,452.0 ","  1,493.6 ","  1,563.6 ","  1,629.1 ","  1,729.8 ","  1,830.9 "
"Hardware","  50.5 ","  65.4 ","  83.6 ","  109.3 ","  106.2 ","  102.0 ","  109.8 ","  115.6 ","  128.9 ","  144.8 ","  161.4 ","  163.3 ","  136.9 ","  139.7 ","  140.4 ","  129.0 ","  127.4 ","  127.1 ","  132.2 ","  127.5 ","  135.1 "
"Software","  86.7 ","  98.8 ","  119.8 ","  125.6 ","  134.6 ","  134.4 ","  134.9 ","  157.7 ","  168.0 ","  175.2 ","  184.7 ","  190.2 ","  187.9 ","  195.1 ","  204.8 ","  208.8 ","  221.2 ","  233.2 ","  241.9 ","  259.0 ","  276.6 "
"Telecommunications","  290.4 ","  325.8 ","  380.5 ","  444.6 ","  458.7 ","  425.7 ","  428.8 ","  443.8 ","  477.0 ","  502.5 ","  518.5 ","  545.1 ","  540.5 ","  566.8 ","  585.6 ","  601.0 ","  615.7 ","  647.6 ","  685.6 ","  733.4 ","  757.5 "
"Support Services","  187.9 ","  222.3 ","  259.0 ","  277.6 ","  276.2 ","  276.1 ","  278.1 ","  290.5 ","  306.3 ","  323.0 ","  353.5 ","  382.3 ","  386.4 ","  433.2 ","  472.2 ","  513.2 ","  529.2 ","  555.6 ","  569.6 ","  609.9 ","  660.4 "
"E-Commerce & Digital Media","  48.4 ","  51.2 ","  57.1 ","  59.9 ","  57.7 ","  62.4 ","  71.1 ","  80.2 ","  94.4 ","  108.1 ","  125.1 ","  132.2 ","  138.6 ","  157.4 ","  179.7 ","  206.4 ","  223.1 ","  245.1 ","  269.4 ","  294.2 ","  322.9 "
"","","","","","","","","","","","","","","","","","","","","",""
"Addendum:","","","","","","","","","","","","","","","","","","","","",""
"ICT Sector","  640.9 ","  755.6 ","  899.9 ","  1,054.9 ","  1,059.9 ","  1,030.0 ","  1,053.6 ","  1,112.8 ","  1,198.1 ","  1,290.2 ","  1,376.8 ","  1,455.5 ","  1,418.3 ","  1,520.0 ","  1,612.3 ","  1,684.9 ","  1,744.2 ","  1,840.6 ","  1,926.2 ","  2,058.9 ","  2,190.3 "
"","","","","","","","","","","","","","","","","","","","","",""
