"Densitometry","","","","","","","","","","","","","","",""
"EMSA","","","","","","","","","","","","","","",""
"Expt-1","","","","","","","","","","","","","","",""
"","","","Pr1","","","","Pr2","","","","Oct-01","","","Pr1/Oct1","Pr2/Oct1"
"","","","Area","Intensity","Intensity/Area","","Area","Intensity","Intensity/Area","","Area","Intensity","Intensity/Area","",""
"Set1","Uninf","DC- SAG ","0.04","37.71","942.75","","0.04","24.58","614.5","","0.02","182.3","9115","0.10342841470104","0.067416346681295"
"Set2","Uninf","DC + SAG","0.04","159.44","3986","","0.04","131.33","3283.25","","0.02","192.23","9611.5","0.41471154346356","0.34159600478593"
"Set3","LDPm 24h","DC- SAG ","0.04","40.75","1018.75","","0.04","20.72","518","","0.02","188.47","9423.5","0.10810739109673","0.05496896057728"
"Set4","LDPm 24h","DC + SAG","0.04","147.07","3676.75","","0.04","123.81","3095.25","","0.02","177.84","8892","0.41348965362123","0.34809379217274"
"","","","","","","","","","","","","","","",""
"Expt-2","","","","","","","","","","","","","","",""
"","","","Pr1","","","","Pr2","","","","Oct-01","","","Pr1/Oct1","Pr2/Oct1"
"","","","Area","Intensity","Intensity/Area","","Area","Intensity","Intensity/Area","","Area","Intensity","Intensity/Area","",""
"Set1","Uninf","DC- SAG ","0.07","48.05","686.42857142857","","0.07","44.21","631.57142857143","","0.06","149.64","2494","0.27523198533624","0.25323633864131"
"Set2","Uninf","DC + SAG","0.07","161.11","2301.5714285714","","0.07","185.64","2652","","0.06","153.99","2566.5","0.896774373104","1.0333138515488"
"Set3","LDPm 24h","DC- SAG ","0.07","33.5","478.57142857143","","0.07","51.98","742.57142857143","","0.06","159.54","2659","0.17998173319723","0.27926717885349"
"Set4","LDPm 24h","DC + SAG","0.07","137.07","1958.1428571429","","0.07","179.31","2561.5714285714","","0.06","151.83","2530.5","0.77381658057414","1.0122787704293"
"","","","","","","","","","","","","","","",""
"Expt-3","","","","","","","","","","","","","","",""
"","","","Pr1","","","","Pr2","","","","Oct-01","","","Pr1/Oct1","Pr2/Oct1"
"","","","Area","Intensity","Intensity/Area","","Area","Intensity","Intensity/Area","","Area","Intensity","Intensity/Area","",""
"Set1","Uninf","DC- SAG ","0.04","24.99","624.75","","0.04","41.93","1048.25","","0.05","162.87","3257.4","0.1917940688893","0.32180573463498"
"Set2","Uninf","DC + SAG","0.04","118.45","2961.25","","0.04","165.39","4134.75","","0.05","168.21","3364.2","0.88022412460615","1.2290440520778"
"Set3","LDPm 24h","DC- SAG ","0.04","32.65","816.25","","0.04","31.31","782.75","","0.05","159.4","3188","0.2560382685069","0.24553011292346"
"Set4","LDPm 24h","DC + SAG","0.04","92.09","2302.25","","0.04","112.71","2817.75","","0.05","144.71","2894.2","0.79547025084652","0.97358510123696"
