"Table 1 (UK private sector): Number and percentage of businesses in the private sector and their associated employment and turnover, by number of employees, UK, start 2024","","","","","","","","","",""
"This worksheet contains 1 table. Some cells refer to Notes which can be found in the Notes worksheet.","","","","","","","","","",""
"","","","","","","","","","",""
"Employee size band","Business
number","Employment
number
(thousands)
[Note 6] [Note 8]","Employees 
number
(thousands)
[Note 8]","Working Proprietors 
number
(thousands)
[Note 3]","Turnover 
(£ millions)
[Note 1][Note 4]
[Note 7]","Businesses
percentage","Employment
percentage","Employees
percentage","Working Proprietors
percentage
 [Note 3]","Turnover
percentage
[Note 1][Note 4]"
"All businesses","5,498,990","27,754","23,798","3,956","5,272,607","100.0","100.0","100.0","100.0","100.0"
"All employers","1,427,165","23,315","22,887","428","4,906,594","26.0","84.0","96.2","10.8","93.1"
"With no employees (unregistered) [Note 2]","2,870,855","3,154","0","3,154","124,024","52.2","11.4","0.0","79.7","2.4"
"With no employees (registered [Note 2] [Note 5]","1,200,970","1,285","911","374","241,988","21.8","4.6","3.8","9.5","4.6"
"1","124,220","275","124","151","27,995","2.3","1.0","0.5","3.8","0.5"
"2 to 4","770,185","2,132","1,994","138","347,064","14.0","7.7","8.4","3.5","6.6"
"5 to 9","266,860","1,798","1,745","53","304,088","4.9","6.5","7.3","1.3","5.8"
"10 to 19","141,900","1,944","1,916","27","289,327","2.6","7.0","8.1","0.7","5.5"
"20 to 49","78,000","2,373","2,350","23","491,236","1.4","8.6","9.9","0.6","9.3"
"50 to 99","25,410","1,764","1,756","8","429,630","0.5","6.4","7.4","0.2","8.1"
"100 to 199","10,160","1,427","1,422","5","331,642","0.2","5.1","6.0","0.1","6.3"
"200 to 249","2,180","486","485","1","165,159","0.0","1.8","2.0","0.0","3.1"
"250 to 499","4,205","1,457","1,453","5","360,135","0.1","5.2","6.1","0.1","6.8"
"500 to 999","2,115","1,459","1,455","5","467,182","0.0","5.3","6.1","0.1","8.9"
"1000 or more","1,930","8,199","8,187","12","1,693,136","0.0","29.5","34.4","0.3","32.1"
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
