"Consolidated data ","","","","","","","","","","","","","","","",""
"","","","Runx1/b-actin (fold change)","","","","","","","","","Runx3/b-actin (fold change)","","","",""
"","","","Expt-1","Expt-2","Expt-3","Mean","SD","","","","","Expt-1","Expt-2","Expt-3","Mean","SD"
"Set1","Uninf","DC- SAG ","1","1","1","1","0","","Set1","Uninf","DC- SAG ","1","1","1","1","0"
"Set2","Uninf","DC + SAG","0.96212085573599","0.96575697617751","1.1629200642762","1.0302659653966","0.11489620448534","","Set2","Uninf","DC + SAG","1.0253707744807","1.1341072275782","1.1020841648487","1.0871873889692","0.055877898195586"
"Set3","LDPm 24h","DC- SAG ","1.105153842535","0.99712875776123","1.1035790602254","1.0686205535072","0.0619187179217","","Set3","LDPm 24h","DC- SAG ","1.1880693830453","1.1381272466222","0.95575574296258","1.0939841242101","0.12228601017429"
"Set4","LDPm 24h","DC + SAG","0.9766173319138","1.1183007922038","1.3234574922491","1.1394585387889","0.17438538323429","","Set4","LDPm 24h","DC + SAG","1.2225119854016","1.0487155724967","0.94831821049191","1.0731819227967","0.13872457703146"
"","","","","","","","","","","","","","","","",""
"Statistics","Onway ANOVA","","","","","","","","Statistics","Onway ANOVA","","","","","",""
"Set1 Vs Set2","p=0.710","NS","","","","","","","Set1 Vs Set2","p=0.064","NS","","","","",""
"Set3 Vs Set4","p=0.553","NS","","","","","","","Set3 Vs Set4","p=0.862","NS","","","","",""
"Set2 Vs Set4","p=0.430","NS","","","","","","","Set2 Vs Set4","p=0.859","NS","","","","",""
